N	3gram	Savitsky_P	EvropaiE
1	с точки зрения	3	16
2	в то же	7	15
3	то же время	7	14
4	в отношении к	5	12
5	и в то	2	8
6	с одной стороны	3	8
7	в том что	4	6
8	одной стороны и	2	6
9	европы и азии	1	6
10	так же как	1	5
11	для того чтобы	1	5
12	само по себе	1	4
13	не только в	4	4
14	и в этом	1	4
15	друг с другом	1	3
16	в последние годы	1	3
17	можно думать что	1	3
18	в применении к	1	3
19	в этом смысле	1	3
20	в некотором смысле	1	3
21	заключает в себе	2	3
22	хотя бы и	1	3
23	между тем в	1	3
24	во всяком случае	1	3
25	в известном смысле	1	3
26	и в частности	1	2
27	в расчете на	1	2
28	но в то	1	2
29	не может быть	1	2
30	в большинстве случаев	1	2
31	по сравнению с	1	2
32	заключается в том	2	2
33	в определенном смысле	1	2
34	в северной америке	2	2
35	и значительная часть	1	2
36	с другой стороны	1	2
37	вслед за тем	1	2
38	в частности в	1	2
39	или хотя бы	1	2
40	и т д	1	1
41	было бы неправильно	1	1
42	в грехе и	1	1
43	которая помогла бы	1	1
44	и не только	2	1
45	именно потому что	1	1
46	чуть ли не	1	1
47	в области техники	1	1
48	в эту эпоху	1	1
49	в определенный момент	1	1
50	в значительной мере	2	1
51	русская революция есть	4	1
52	но и в	2	1
53	мы отнюдь не	1	1
54	том числе и	1	1
55	большей степени чем	1	1
56	с разных точек	1	1
57	в полной мере	2	1
58	в этом мире	1	1
59	и тем более	1	1
60	и тем самым	1	1
61	образ россии не	1	1
62	во многих случаях	1	1
63	поскольку они являются	1	1
64	в качестве общего	1	1
65	ибо то что	1	1
66	старого света в	2	1
67	не явятся ли	1	1
68	в последние тысячелетия	1	1
69	в отличие от	1	1
70	экономическое знание в	1	1
71	и на путях	1	1
72	не только это	2	1
73	только в виде	1	1
74	не более как	1	1
75	остается открытым для	1	1
76	между прочим на	1	1
77	в каком смысле	1	1
78	другие народы мира	1	1
79	в гораздо большей	4	1
80	нужно помнить что	2	1
81	но также и	1	1
82	которую мы именуем	1	1
83	в пределах российского	1	1
84	эти последние в	1	1
85	untergang des abendlandes	1	1
86	же время в	1	1
87	та или иная	1	1
88	в том числе	2	1
89	насколько можно судить	1	1
90	долго на коротко	1	1
91	весьма вероятно что	1	1
92	закрывать глаза на	1	1
93	следует понимать что	1	1
94	и в качестве	1	1
95	гораздо большей степени	4	1
96	пределах российского мира	1	1
97	по количеству осадков	1	1
98	что в этом	1	1
99	более или менее	1	1
100	на долго на	1	1
101	к востоку от	1	1
102	на коротко ли	1	1
103	но нужно помнить	1	1
104	лесной и земледельческий	1	1
105	но в северной	1	1
