N	3gram	Tiupa_Disk	Sotsiolo
1	по отношению к	13	2
2	дело не в	1	2
3	в том что	18	2
4	не в том	3	2
5	это и есть	1	1
6	и в то	2	1
7	в то же	7	1
8	друг от друга	1	1
9	что в них	2	1
10	в конечном счете	2	1
11	сказать и о	2	1
12	с одной стороны	12	1
13	в связи с	1	1
14	то же самое	2	1
15	отношению к субъекту	1	1
16	и должно было	1	1
17	далеко еще не	3	1
18	то что в	1	1
19	все это по	1	1
20	по крайней мере	3	1
21	о том как	1	1
22	то же время	9	1
23	в противном случае	1	1
24	только то что	2	1
25	в наше время	4	1
26	это как будто	1	1
27	в строгом значении	3	1
28	а с другой	4	1
29	во всяком случае	2	1
30	а в том	2	1
31	в том и	1	1
32	именно в том	1	1
33	тем более не	1	1
