N	3gram	Ircho_Kome	SlovoVZh
1	по отношению к	5	11
2	в том что	13	4
3	то ни было	4	3
4	до сих пор	3	3
5	этой точки зрения	1	3
6	бы то ни	4	3
7	имеет в виду	1	3
8	тем не менее	2	3
9	то же самое	2	2
10	в отношении к	1	2
11	в данном случае	1	2
12	в зависимости от	1	2
13	с одной стороны	5	2
14	с другой стороны	6	2
15	со всех сторон	1	1
16	сих пор не	1	1
17	сам по себе	1	1
18	и таким образом	2	1
19	о том что	6	1
20	чтобы убедиться в	1	1
21	в высшей степени	1	1
22	мы не найдем	1	1
23	и тот же	1	1
24	но уже в	1	1
25	вовсе не отражает	1	1
26	а между тем	1	1
27	и та же	1	1
28	как и в	2	1
29	как мы уже	1	1
30	он имеет в	1	1
31	в том же	1	1
32	ни в коем	1	1
33	следует отметить что	1	1
34	но прежде всего	1	1
35	в так называемой	1	1
36	во всяком случае	4	1
37	в коем случае	1	1
38	и независимо от	1	1
39	имеем дело с	1	1
40	подобно тому как	1	1
41	с самого начала	2	1
42	нуждается в предварительном	1	1
43	же как и	1	1
44	одна и та	1	1
45	и в каком	1	1
46	по аналогии с	1	1
47	у нее не	1	1
48	можно было бы	3	1
49	в этом отношении	3	1
50	так же как	1	1
51	то же время	5	1
52	степень его близости	1	1
53	и прежде всего	1	1
54	более или менее	1	1
55	но и в	2	1
56	в то же	5	1
57	и на события	1	1
58	в чем не	1	1
59	в значительной степени	1	1
60	то время как	6	1
61	его близости к	1	1
62	одному и тому	1	1
63	том что в	1	1
64	мы имеем дело	1	1
65	ни в чем	1	1
66	в частности в	2	1
67	в то время	8	1
68	в этом смысле	2	1
69	или хотя бы	1	1
70	или может быть	2	1
71	включая сюда и	1	1
72	но все же	1	1
73	не обходится без	1	1
74	и тому же	1	1
75	и здесь мы	1	1
76	к тому же	12	1
