N	4gram	Propp_Morf	KFilosof
1	один и тот же	1	3
2	уже не может быть	1	2
3	есть на самом деле	1	2
4	бы то ни было	2	2
5	в то же время	1	2
6	ни к чему не	2	2
7	и ни к чему	1	1
8	может быть рассмотрена как	1	1
9	в том случае когда	1	1
10	какого бы то ни	1	1
11	с точки зрения его	1	1
12	не может войти в	1	1
13	и небо и землю	1	1
14	к чему не обязывающий	1	1
15	вопрос о том кто	1	1
16	в целом может быть	1	1
17	и тем не менее	2	1
18	во всех этих случаях	1	1
19	по отношению к которой	1	1
20	до сих пор не	1	1
