N	2gram	Tiupa_Narr	Formalny
1	и в	22	95
2	и не	34	78
3	может быть	24	66
4	в этом	23	61
5	не может	16	57
6	вовсе не	2	53
7	таким образом	5	52
8	и его	12	51
9	так и	12	50
10	точки зрения	8	47
11	в нем	9	42
12	в его	12	42
13	прежде всего	7	41
14	с точки	2	40
15	как и	15	39
16	и т	3	37
17	в самом	8	35
18	не в	12	35
19	а не	27	34
20	в процессе	2	34
21	но и	39	33
22	то же	12	32
23	самом деле	4	32
24	не только	50	30
25	в пределах	2	28
26	в том	20	26
27	отнюдь не	6	26
28	если бы	9	26
29	то что	14	25
30	при этом	31	24
31	в своей	8	24
32	лишь в	3	24
33	на самом	1	24
34	с помощью	2	23
35	было бы	2	23
36	связи с	3	23
37	в ней	5	23
38	в то	9	22
39	и ее	3	22
40	и с	3	21
41	что в	6	21
42	как бы	11	21
43	между ними	3	20
44	с тем	1	20
45	не менее	6	20
46	входит в	2	20
47	как мы	3	20
48	и от	3	20
49	же время	7	20
50	место в	3	20
51	в их	1	20
52	по себе	4	19
53	художественное произведение	1	19
54	хотя бы	4	19
55	т д	1	19
56	не могут	1	19
57	все это	1	19
58	все же	10	18
59	в связи	3	18
60	т п	2	18
61	должна быть	2	18
62	только в	23	18
63	и все	7	18
64	с его	6	18
65	все эти	3	18
66	как раз	9	17
67	как в	9	17
68	более того	1	17
69	во всяком	2	16
70	с другой	6	16
71	так же	2	16
72	всяком случае	2	16
73	в искусстве	1	16
74	совершенно не	1	16
75	потому что	7	16
76	именно в	5	15
77	все время	2	15
78	должно быть	1	15
79	с другими	1	15
80	его в	1	15
81	бы в	2	15
82	во всех	2	15
83	и на	5	15
84	так как	1	15
85	но в	10	15
86	в литературе	8	15
87	в жизни	9	14
88	только на	4	14
89	в своем	7	14
90	в ее	4	14
91	в этой	8	14
92	что он	7	14
93	вместе с	3	14
94	еще не	6	14
95	языка и	1	14
96	произведения и	1	14
97	и потому	2	14
98	жизни и	7	14
99	в целом	5	14
100	в результате	4	13
101	тем что	1	13
102	языка как	1	13
103	что и	3	13
104	ни в	1	13
105	могут быть	1	13
106	для них	2	13
107	сводится к	10	13
108	со стороны	14	13
109	до конца	2	13
110	того что	7	13
111	она не	2	13
112	а в	19	13
113	там где	1	12
114	уже не	11	12
115	к тому	13	12
116	в действительности	2	12
117	по отношению	5	12
118	как это	7	12
119	и здесь	3	12
120	оно не	4	12
121	того чтобы	7	12
122	и для	4	12
123	отношению к	5	12
124	в корне	1	11
125	никогда не	8	11
126	что они	1	11
127	так сказать	4	11
128	лишь для	1	11
129	то ни	1	11
130	между тем	5	11
131	литературного произведения	1	11
132	зависимости от	3	11
133	они не	3	11
134	произведения как	1	11
135	это и	2	11
136	для него	8	11
137	этом отношении	5	11
138	в основе	1	11
139	в общем	1	11
140	но не	7	11
141	в большинстве	1	11
142	произведение как	1	11
143	слова и	1	11
144	не как	1	10
145	язык как	2	10
146	другой стороны	2	10
147	в своих	2	10
148	в первом	4	10
149	раз и	2	10
150	в зависимости	3	10
151	бы то	1	10
152	не было	3	10
153	большинстве случаев	1	10
154	здесь и	1	10
155	он не	8	10
156	если же	2	10
157	главным образом	1	10
158	с ее	3	10
159	мы видели	1	10
160	как о	2	10
161	в слове	4	10
162	не является	7	10
163	и теперь	1	10
164	тем же	3	10
165	друг друга	2	10
166	мы не	5	10
167	и как	4	10
168	на фоне	2	10
169	не о	2	10
170	еще более	1	9
171	и даже	4	9
172	не могло	3	9
173	ни было	1	9
174	но ведь	1	9
175	бы ни	1	9
176	или иного	3	9
177	отношения к	1	9
178	в свою	4	9
179	и до	1	9
180	здесь не	4	9
181	но это	2	9
182	ничего не	8	9
183	у нас	4	9
184	быть и	3	9
185	и к	7	8
186	без исключения	1	8
187	в данном	17	8
188	одной стороны	5	8
189	была бы	1	8
190	с одной	5	8
191	ясно что	2	8
192	же как	2	8
193	между собой	3	8
194	в сторону	1	8
195	в других	2	8
196	сих пор	3	8
197	и является	2	8
198	до сих	3	8
199	что это	4	8
200	с этим	1	8
201	роль в	4	8
202	на литературу	1	8
203	это не	6	8
204	должен быть	1	8
205	не следует	3	8
206	для того	4	8
207	в области	4	8
208	для этого	1	8
209	в той	4	7
