N	3gram	Medvedev_I	Psycholo
1	для того чтобы	1	70
2	с другой стороны	1	20
3	а с другой	1	7
4	что в основе	1	5
5	по отношению к	1	3
6	все это было	1	3
7	что при такой	1	2
8	кто иной как	1	2
9	в значительной мере	1	2
10	только для того	1	2
11	другой стороны он	1	2
12	и со всеми	1	1
13	жил в этом	1	1
14	создавал эти произведения	1	1
15	а для других	1	1
16	в первую очередь	1	1
17	и в целом	1	1
18	человеке и создавал	1	1
19	и создавал эти	1	1
20	не сомневаюсь что	1	1
21	в этом человеке	1	1
22	я не сомневаюсь	1	1
23	не кто иной	1	1
24	чтобы доказать что	1	1
25	этом человеке и	1	1
