N	4gram	Savitsky_E	Freidism
1	в то же время	14	6
2	мы можем сказать что	1	5
3	один и тот же	1	3
4	но в то же	2	3
5	заключается в том что	2	2
6	бы то ни было	4	2
7	на всем своем протяжении	1	2
8	чтобы ответить на этот	1	1
9	и связанное с ним	1	1
10	того что мы знаем	1	1
11	от того в какой	1	1
12	так и со стороны	1	1
13	в переводе на язык	1	1
14	каких бы то ни	2	1
15	так же как не	1	1
16	на основании того что	1	1
17	ответить на этот вопрос	1	1
18	в гораздо большей степени	1	1
19	дело в том что	1	1
20	прежде всего отметить что	1	1
21	и в то же	8	1
