N	4gram	Vygotskiy_	RusskieA
1	состоит в том что	2	26
2	в том что в	2	8
3	не что иное как	2	4
4	до тех пор пока	2	3
5	но вместе с тем	1	3
6	так же как и	1	3
7	что в этом случае	2	2
8	вместе с тем и	1	2
9	может быть только человек	1	2
10	и т д и	1	2
11	привело к тому что	1	2
12	каждый из этих элементов	1	1
13	а как раз наоборот	1	1
14	о том что на	1	1
15	мы видели что в	1	1
16	одна и та же	2	1
17	и что в этом	1	1
18	это приводит к тому	1	1
19	в то время как	4	1
20	в том что ее	1	1
21	одного и того же	2	1
22	например в том что	1	1
23	прав когда полагает что	1	1
24	сомнения в том что	1	1
25	до сих пор в	1	1
26	сводится к тому что	3	1
27	пишет для того чтобы	1	1
28	в том что на	1	1
29	дело в том что	2	1
30	приводит к тому что	1	1
