N	2gram	Voloshinov	EvropaiE
1	и в	3	37
2	точки зрения	1	23
3	не только	1	18
4	с точки	1	17
5	в то	1	16
6	то же	1	15
7	и не	1	14
8	но и	1	14
9	же время	1	14
10	не может	4	9
11	к тому	1	8
12	и на	1	6
13	может быть	1	6
14	несмотря на	1	4
15	в ней	1	4
16	по своим	1	3
17	во второй	1	3
18	не из	1	3
19	мы видим	1	2
20	если в	2	2
21	в его	1	2
22	с другими	1	2
23	если бы	1	2
24	и можно	1	2
25	и все	1	2
26	на месте	1	2
27	а не	1	2
28	бы в	1	2
29	в центре	2	1
30	один из	2	1
31	может не	1	1
32	права и	1	1
33	вполне понятно	1	1
34	для него	1	1
35	бы на	1	1
36	связи с	1	1
37	можно назвать	1	1
38	тому что	1	1
39	именно с	1	1
40	не менее	1	1
41	тех же	1	1
42	на примере	1	1
43	он в	1	1
44	с теми	1	1
