N	2gram	Kanaev_Sov	DiskursI
1	а не	3	60
2	может быть	12	56
3	не только	4	49
4	и в	7	49
5	как и	6	47
6	при этом	3	46
7	и не	6	44
8	в том	4	44
9	том что	1	40
10	в этом	7	38
11	в себе	3	37
12	и т.п	1	32
13	но не	1	31
14	отличие от	2	28
15	но в	3	28
16	в отличие	2	27
17	не может	17	27
18	такого рода	2	24
19	отнюдь не	3	23
20	еще не	3	23
21	все же	3	19
22	в нем	3	19
23	прежде всего	5	19
24	то же	3	17
25	в данном	1	17
26	с другой	1	17
27	в мире	1	17
28	по отношению	1	17
29	отношению к	1	17
30	точки зрения	12	16
31	только в	1	16
32	о том	1	15
33	роль в	2	15
34	в его	2	15
35	не менее	2	14
36	одной стороны	1	14
37	с одной	2	14
38	не в	3	14
39	не является	1	14
40	это не	4	14
41	или иной	2	14
42	как бы	4	13
43	в целом	4	13
44	в своих	1	12
45	в своем	1	12
46	того же	1	12
47	и все	3	12
48	данном случае	1	12
49	не было	1	11
50	что в	2	11
51	с его	1	11
52	той или	1	10
53	вследствие этого	1	10
54	а в	4	10
55	же время	1	10
56	и т.д	3	10
57	уже не	2	9
58	в то	1	9
59	еще в	1	9
60	и даже	2	8
61	в одном	3	8
62	из них	4	8
63	хотя и	1	8
64	он не	1	8
65	если в	1	8
66	жизни в	1	8
67	человека в	1	8
68	таким образом	11	7
69	одной из	1	7
70	его в	1	7
71	к этому	1	7
72	в этой	3	7
73	могут быть	2	7
74	ни в	1	7
75	в процессе	1	7
76	приводит к	2	7
77	той же	2	7
78	но это	1	7
79	и для	1	7
80	и его	1	7
81	именно в	1	6
82	конечном счете	1	6
83	одна из	3	6
84	крайней мере	1	6
85	никогда не	1	6
86	с точки	5	6
87	в конечном	1	6
88	не знает	1	6
89	во всех	1	6
90	собственно и	1	6
91	по крайней	1	6
92	что же	5	6
93	дело в	1	6
94	времени и	2	6
95	и может	1	6
96	одного из	1	6
97	можно говорить	1	5
98	из двух	3	5
99	по своим	1	5
100	выбора между	1	5
101	в другом	1	5
102	но они	1	5
103	говорить о	2	5
104	свою очередь	2	5
105	сказать что	1	5
106	несмотря на	1	5
107	для своего	1	5
108	так сказать	2	5
109	на этом	2	5
110	с ее	1	5
111	во втором	1	5
112	один из	1	5
113	в свою	2	5
114	ничего не	6	5
115	здесь в	1	5
116	в ней	1	5
117	и потому	3	5
118	из этих	2	5
119	стороны и	1	5
120	же самое	2	5
121	в самом	2	4
122	и к	3	4
123	и составляет	1	4
124	в результате	6	4
125	и само	1	4
126	в первом	3	4
127	ни одна	2	4
128	и до	1	4
129	отличается от	3	4
130	во всяком	2	4
131	между двумя	1	4
132	только на	1	4
133	точка зрения	1	4
134	по преимуществу	1	4
135	указать на	1	4
136	тем не	2	4
137	аналогии с	1	4
138	связи с	1	4
139	по себе	1	4
140	и это	1	4
141	и есть	2	4
142	опирается на	1	4
143	с ним	1	4
144	не могут	2	4
145	не более	1	4
146	можно назвать	2	4
147	к другому	1	4
148	свое время	1	4
149	принципиально не	2	4
150	тот или	2	4
151	в данной	1	4
152	и во	2	4
153	этом случае	1	4
154	в свое	1	4
155	мы имеем	1	4
156	или в	1	4
157	в какой	1	4
158	но уже	1	4
159	на его	2	4
160	а на	2	4
161	может иметь	2	4
162	и прежде	1	4
163	но все	2	3
164	их в	4	3
165	с этим	2	3
166	в действительности	1	3
167	вопрос о	4	3
168	различия между	1	3
169	базируется на	1	3
170	к которому	1	3
171	в которой	2	3
172	к чему	2	3
173	по аналогии	1	3
174	в области	3	3
175	между собой	3	3
176	как у	1	3
177	но как	1	3
178	действия в	1	3
179	и что	2	3
180	то ни	2	3
181	было бы	3	3
182	и от	1	3
183	и по	2	3
184	не случайно	1	3
185	обоих случаях	1	3
186	вместе с	4	3
187	не имеет	1	3
188	это и	1	3
189	и более	1	3
190	идет о	1	3
191	в первых	1	3
192	в обоих	1	3
193	тем же	2	3
194	как мы	2	3
195	может оказаться	1	3
196	то она	1	3
197	всяком случае	2	3
198	жизни не	1	3
199	жизни но	1	3
200	они не	1	3
201	уже в	3	3
202	мы не	9	3
203	а о	1	3
204	как целого	1	3
205	не подлежит	3	3
206	все эти	5	3
207	мере в	1	3
208	том случае	1	3
209	она не	1	3
210	в начале	1	3
211	в большинстве	1	3
212	с человеком	1	3
213	жизни и	4	3
214	и наконец	5	3
215	мы можем	6	2
216	еще более	2	2
217	в некоторых	2	2
218	те же	1	2
219	в предыдущей	1	2
220	под углом	1	2
221	представление о	1	2
222	одной и	1	2
223	с помощью	4	2
224	углом зрения	1	2
225	самого начала	3	2
226	жизни как	1	2
227	в нашем	2	2
228	он сам	1	2
229	выбор между	1	2
230	все перечисленные	1	2
231	своего развития	1	2
232	к нему	1	2
233	бы то	1	2
234	этих двух	2	2
235	в такого	1	2
236	на язык	1	2
237	должно быть	1	2
238	не стремится	1	2
239	ни было	1	2
240	не соответствует	1	2
241	в третьем	2	2
242	у него	2	2
243	и развития	1	2
244	что она	3	2
245	как его	1	2
246	но для	1	2
247	же как	1	2
248	предыдущей главе	1	2
249	а потом	1	2
250	в каждом	8	2
251	в пьесе	1	2
252	и пространства	2	2
253	не приходится	1	2
254	в новое	1	2
255	от конца	1	2
256	развития в	2	2
257	мы видели	4	2
258	а потому	1	2
259	его с	1	2
260	на ее	1	2
261	и при	1	2
262	и должно	1	2
263	потом и	1	2
264	из которых	2	2
265	поэтому в	1	2
266	к различным	1	2
267	позиции в	1	2
268	сами по	1	2
269	если бы	1	2
270	самом деле	2	2
271	ни о	1	2
272	но отнюдь	1	2
273	и они	2	2
274	же остается	1	2
275	от его	1	2
276	со сцены	1	2
277	не имеют	1	2
278	заключать в	1	2
279	стадии развития	1	2
280	и вся	1	2
281	совпадают с	1	2
282	к одному	1	2
283	новое время	1	2
284	на их	2	2
285	не представляет	1	2
286	и той	1	2
287	не знаем	2	2
288	на этот	2	2
289	в и	2	2
290	читателя что	1	2
291	только о	1	2
292	во внутреннем	1	2
293	могли быть	1	2
294	это делает	1	2
295	значение в	2	2
296	может не	3	2
297	в первый	1	2
298	все это	3	2
299	себя самого	1	2
300	что с	1	2
301	наших дней	1	2
302	по существу	1	2
303	так в	1	2
304	к концу	1	2
305	по его	1	2
306	вовсе не	1	2
307	и вообще	1	2
308	с самого	3	2
309	мы должны	4	2
310	быть и	2	2
311	и их	1	2
312	в науке	2	2
313	к области	1	2
314	заключает в	1	2
315	с понятием	1	2
316	как их	1	2
317	теоретического познания	1	2
318	такой же	2	2
319	и только	1	2
320	же это	4	2
321	которая и	1	2
322	есть не	1	2
323	еще аристотелем	1	1
324	прекрасно но	1	1
325	кроме того	1	1
326	в миниатюре	1	1
327	это пока	1	1
328	этом направлении	1	1
329	ценность и	1	1
330	каждая наука	1	1
331	на которых	1	1
332	оно приобретает	1	1
333	равно как	1	1
334	целого можно	1	1
335	форму и	1	1
336	любого другого	1	1
337	при таком	3	1
338	в природе	1	1
339	нужды в	1	1
340	другое дело	1	1
341	есть то	1	1
342	одной единственной	1	1
343	в самый	1	1
344	и нет	1	1
345	в такой	1	1
346	оно имеет	1	1
347	осуществляется в	1	1
348	которой он	2	1
349	раз и	1	1
350	наука не	1	1
351	развития с	1	1
352	научной мысли	1	1
353	в этот	1	1
354	что вся	1	1
355	немного в	1	1
356	которых она	1	1
357	и те	1	1
358	не что	1	1
359	так же	1	1
360	отметить что	1	1
361	природы но	1	1
362	и ответственности	1	1
363	друг на	1	1
364	некоторое время	2	1
365	и еще	1	1
366	почему и	1	1
367	на второй	1	1
368	остаток и	1	1
369	следующим образом	3	1
370	быть в	1	1
371	произойти в	1	1
372	на котором	2	1
373	иначе его	1	1
374	или нет	1	1
375	в системе	3	1
376	случае когда	1	1
377	одна наука	1	1
378	в заключение	1	1
379	подлежит сомнению	2	1
380	на них	1	1
381	совершенно иными	1	1
382	только не	1	1
383	жизни т.е	1	1
384	и мы	3	1
385	заложена в	1	1
386	она и	1	1
387	что иное	1	1
388	очередь на	1	1
389	но еще	1	1
390	разумеется всегда	1	1
391	в совершенно	1	1
392	подчеркнуть что	1	1
393	между различными	1	1
394	по мнению	2	1
395	на многочисленные	1	1
396	одному и	1	1
397	и будет	2	1
398	xix века	1	1
399	поставленный вопрос	1	1
400	состояния в	1	1
401	чем в	1	1
402	природы не	1	1
403	их по	1	1
404	что его	1	1
405	и чисто	1	1
406	быть только	1	1
407	в конце	3	1
408	в таком	2	1
409	человек и	1	1
410	необходимости и	1	1
411	в связи	1	1
412	ситуации которая	1	1
413	с жизнью	1	1
414	между ними	1	1
415	и именно	2	1
416	из четырех	2	1
417	и следовательно	1	1
418	из одного	2	1
419	как одной	1	1
420	жизни где	1	1
421	сих пор	1	1
422	описания и	1	1
423	должен был	1	1
424	что такое	2	1
425	целом может	1	1
426	ведь в	1	1
427	очень часто	1	1
428	в скрытом	1	1
429	не дает	2	1
430	человека как	1	1
431	или же	2	1
432	в развитии	4	1
433	не будет	1	1
434	красоты в	1	1
435	которых по	1	1
436	но только	1	1
437	научного знания	1	1
438	этом смысле	1	1
439	не способна	1	1
440	уже может	1	1
441	когда мы	3	1
442	как известно	2	1
443	был прежде	1	1
444	и несколько	1	1
445	функций и	1	1
446	известном смысле	1	1
447	природы и	1	1
448	мы называем	3	1
449	начала мы	1	1
450	до наших	1	1
451	процесса и	1	1
452	оно может	1	1
453	там где	1	1
454	нам только	1	1
455	на эту	1	1
456	до сих	1	1
457	он уже	1	1
458	почти не	1	1
459	ним и	1	1
460	если же	2	1
461	но такая	1	1
462	системы а	1	1
463	что это	2	1
464	это уже	1	1
465	в область	1	1
466	мы в	1	1
467	утверждает что	1	1
468	принципиальные различия	1	1
469	смысле можно	1	1
470	для них	1	1
471	из нескольких	1	1
472	его таким	1	1
473	можно было	1	1
474	со всеми	2	1
475	необходимо отметить	2	1
476	и действительно	1	1
477	вполне последовательно	1	1
478	всей ситуации	1	1
479	может стать	1	1
480	для каждого	1	1
481	он осуществляет	1	1
482	дело идет	1	1
483	своего предмета	2	1
484	том как	1	1
485	зависимости от	4	1
486	в известном	1	1
487	которая не	1	1
488	жизненной практике	1	1
489	обладает способностью	1	1
490	его и	1	1
491	не допускает	1	1
492	функционируют как	1	1
493	все три	1	1
494	то и	2	1
495	и если	1	1
496	это то	1	1
497	на друга	1	1
498	это только	1	1
499	не быть	1	1
500	принципиального различия	1	1
501	развития и	1	1
502	между ним	1	1
503	какую бы	1	1
504	в новых	2	1
505	перед глазами	1	1
506	как например	1	1
507	всех трех	1	1
508	может ли	1	1
509	нет и	4	1
510	он в	3	1
511	в споре	1	1
512	на две	3	1
513	характерное для	1	1
514	но если	1	1
515	здесь и	1	1
516	для этих	1	1
517	так называемое	1	1
518	значении в	1	1
519	точку зрения	4	1
520	тот же	2	1
521	он должен	2	1
522	в дальнейшем	4	1
523	то они	1	1
524	поэтому что	1	1
525	на какое-нибудь	1	1
526	так как	4	1
527	же был	1	1
528	одинаково возможны	1	1
529	этот процесс	1	1
530	процесс развития	1	1
531	же мере	1	1
532	для нас	3	1
533	и всегда	1	1
534	на самом	1	1
535	что каждый	1	1
536	в ином	1	1
537	в виде	2	1
538	область теоретического	1	1
539	этого не	1	1
540	без остатка	1	1
541	скрытом виде	1	1
542	же в	1	1
543	о жизни	2	1
544	себе в	1	1
545	при которой	1	1
546	для науки	1	1
547	случае не	1	1
548	цель и	1	1
549	этот раз	1	1
550	человек с	1	1
551	задача науки	1	1
552	науки в	1	1
553	и могут	1	1
554	отказавшись от	1	1
555	наука еще	2	1
556	в условиях	5	1
557	для нашей	1	1
558	должен быть	1	1
559	целого и	1	1
560	присущие каждому	1	1
561	мысли в	1	1
562	этой системы	1	1
563	такого случая	1	1
564	искать в	1	1
565	в будущем	1	1
566	такие же	2	1
567	это как	1	1
568	ни изменить	1	1
569	и ни	1	1
570	с совершенно	2	1
571	одни и	1	1
572	независимо от	1	1
573	когда этот	1	1
574	энтелехия не	1	1
575	первые два	2	1
576	иного типа	1	1
577	свою задачу	1	1
578	и особенно	1	1
579	которые в	1	1
580	не можем	7	1
581	важную роль	1	1
582	таким же	1	1
583	только таким	1	1
584	иное как	1	1
585	в основаниях	1	1
