N	2gram	Potebnia_M	StatiiOP
1	и в	58	103
2	в том	38	89
3	том что	21	77
4	в этом	18	76
5	что в	34	74
6	не только	32	60
7	и т	10	51
8	о том	6	47
9	но и	26	46
10	то что	24	44
11	что он	5	42
12	в его	7	42
13	и не	34	41
14	может быть	47	38
15	было бы	21	32
16	т д	6	32
17	в этой	3	31
18	вовсе не	13	31
19	тем что	15	29
20	все это	3	29
21	таким образом	21	28
22	в г	2	28
23	а в	11	27
24	а не	38	27
25	но в	12	26
26	что это	5	25
27	так и	17	25
28	этом отношении	1	24
29	и его	7	24
30	все же	11	23
31	точки зрения	8	23
32	не в	23	23
33	так что	23	23
34	потому что	89	23
35	для того	8	22
36	в которой	5	22
37	как в	18	22
38	того что	15	22
39	прежде всего	8	22
40	у нас	3	22
41	в области	1	22
42	того чтобы	4	21
43	до сих	5	20
44	это не	10	20
45	в своей	3	19
46	сих пор	5	19
47	т п	6	19
48	в то	6	19
49	только в	36	19
50	в котором	5	18
51	с другой	13	18
52	он не	4	18
53	об этом	1	18
54	не может	30	18
55	в самом	5	17
56	как на	5	17
57	между прочим	5	17
58	самом деле	2	17
59	как бы	12	17
60	в данном	1	17
61	в этих	10	16
62	с этим	11	16
63	сказать что	5	16
64	можно было	1	16
65	если бы	23	16
66	в ней	9	16
67	другой стороны	7	15
68	с тем	9	15
69	как и	16	15
70	по поводу	7	15
71	из этих	8	15
72	у него	3	15
73	и на	8	15
74	например в	4	15
75	в отношении	1	15
76	для него	13	15
77	то же	13	14
78	но все	4	14
79	так например	5	14
80	к тому	5	14
81	с точки	4	14
82	между тем	7	14
83	и что	13	14
84	была бы	3	14
85	в течение	2	14
86	в той	1	13
87	именно в	2	13
88	во всяком	9	13
89	в своем	3	13
90	из них	2	13
91	в нем	26	13
92	в языке	36	13
93	вместе с	12	13
94	со стороны	11	13
95	всяком случае	7	13
96	но это	7	13
97	дело в	3	13
98	что касается	2	13
99	жизни и	3	13
100	тому что	4	13
101	в своих	4	12
102	не менее	10	12
103	хотя бы	4	12
104	что у	2	12
105	в первой	1	12
106	ни в	2	12
107	как например	4	12
108	так как	29	12
109	что они	6	12
110	того времени	2	12
111	в них	7	11
112	в другом	3	11
113	никогда не	7	11
114	не было	7	11
115	и с	3	11
116	и по	8	11
117	из его	1	11
118	того как	12	11
119	вопрос о	5	11
120	все эти	3	11
121	это было	3	11
122	на то	5	11
123	на эти	1	10
124	не столько	3	10
125	в виду	2	10
126	связь с	2	10
127	так же	7	10
128	в целом	3	10
129	что такое	3	10
130	что и	16	10
131	это слово	1	10
132	но он	3	10
133	во всех	12	10
134	а как	3	10
135	в каком	7	10
136	в истории	8	10
137	же время	4	10
138	ничего не	2	10
139	ответ на	2	10
140	на вопрос	3	10
141	на самом	2	10
142	по словам	1	10
143	но не	19	10
144	во второй	1	10
145	в начале	2	10
146	с этой	3	9
147	можно сказать	1	9
148	в одном	13	9
149	говорит что	1	9
150	внимание на	3	9
151	несмотря на	5	9
152	его жизни	1	9
153	и это	3	9
154	в чем	6	9
155	в каждом	6	9
156	и тем	5	9
157	во время	5	9
158	вряд ли	2	9
159	такого рода	1	9
160	времени и	3	9
161	что же	3	9
162	и для	8	9
163	для нас	29	9
164	что мы	11	9
165	там где	8	9
166	по этому	2	9
167	место в	3	9
168	и об	1	8
169	в результате	1	8
170	и даже	4	8
171	в речи	1	8
172	по его	7	8
173	еще более	2	8
174	к которому	5	8
175	что она	3	8
176	к этому	3	8
177	связи с	6	8
178	одним из	2	8
179	и др	1	8
180	могут быть	17	8
181	в общем	1	8
182	к сожалению	1	8
183	должен был	1	8
184	заключается в	3	8
185	в которых	2	8
186	не имеет	9	8
187	тем не	11	8
188	совершенно не	1	8
189	и более	3	8
190	мы имеем	1	8
191	при помощи	2	8
192	той же	3	8
193	в их	3	8
