N	3gram	Bakhtin_Fr	Sotsiolo
1	по отношению к	1	2
2	в том что	8	2
3	в конце концов	1	2
4	это и есть	2	1
5	должна быть строго	1	1
6	и в то	3	1
7	конечно не в	1	1
8	в то же	14	1
9	по существу это	1	1
10	друг от друга	1	1
11	отношению к которому	1	1
12	ровно ничего не	2	1
13	как бы он	1	1
14	в конечном счете	1	1
15	дает нам право	1	1
16	с одной стороны	2	1
17	в связи с	5	1
18	то же самое	3	1
19	на первый план	3	1
20	в частности так	1	1
21	поставить и разрешить	1	1
22	то что в	1	1
23	о том как	2	1
24	в этой области	1	1
25	то же время	14	1
26	только то что	1	1
27	бы он ни	1	1
28	а с другой	1	1
29	это вовсе не	1	1
30	том что это	1	1
31	и никак не	1	1
32	выдвигает на первый	1	1
33	в лучшем случае	1	1
34	тем более не	1	1
