N	2gram	Tiupa_Vved	OGranits
1	и в	23	13
2	и его	9	12
3	прежде всего	11	9
4	может быть	25	8
5	и не	24	8
6	не может	14	8
7	в его	9	7
8	и т.п	14	7
9	и их	1	7
10	точки зрения	1	7
11	таким образом	6	6
12	не только	32	6
13	мы должны	1	6
14	только в	9	6
15	то что	9	6
16	как бы	8	6
17	хотя бы	2	5
18	и т.д	6	5
19	в процессе	1	5
20	все же	10	5
21	и наконец	2	5
22	мы можем	2	4
23	не является	7	4
24	произведения как	1	4
25	мы не	6	4
26	то же	8	4
27	еще и	2	4
28	было бы	4	4
29	все это	3	4
30	в сознании	5	4
31	в школе	1	4
32	лишь в	4	4
33	в своей	10	4
34	на фоне	3	4
35	в двух	1	4
36	но в	14	4
37	что в	6	3
38	к одному	2	3
39	и то	1	3
40	т.п и	2	3
41	связана с	1	3
42	в искусстве	1	3
43	и уже	1	3
44	так и	14	3
45	не как	2	3
46	говорить о	5	3
47	одно и	1	3
48	в одном	5	3
49	не столько	5	3
50	отношению к	11	3
51	по отношению	11	3
52	превращается в	1	3
53	в пределах	3	3
54	в их	2	3
55	в ее	1	3
56	здесь мы	2	3
57	самом деле	6	3
58	не в	12	3
59	что же	6	3
60	и все	8	3
61	но для	1	3
62	в себе	15	3
63	языка как	1	3
64	похожим на	1	3
65	да и	3	3
66	но и	31	3
67	и для	8	3
68	как и	21	3
69	точку зрения	2	3
70	никогда не	6	3
71	как системы	1	3
72	в области	5	2
73	к сожалению	1	2
74	своего рода	20	2
75	истории литературы	1	2
76	в самом	6	2
77	во всем	1	2
78	нет ничего	2	2
79	и к	2	2
80	что они	2	2
81	того или	1	2
82	функцию в	1	2
83	материалом для	1	2
84	форм и	1	2
85	из тела	1	2
86	мы видим	1	2
87	иное как	1	2
88	в данном	22	2
89	и этот	1	2
90	и наиболее	1	2
91	а как	1	2
92	в своих	5	2
93	в этом	27	2
94	что иное	1	2
95	в целях	1	2
96	данном случае	15	2
97	героя и	5	2
98	человеческой речи	1	2
99	которое мы	1	2
100	с одной	9	2
101	в произведении	1	2
102	мог бы	2	2
103	в течение	2	2
104	которое может	2	2
105	входит в	2	2
106	для себя	2	2
107	наконец в	1	2
108	одной стороны	9	2
109	роль в	2	2
110	в другом	2	2
111	при этом	43	2
112	несмотря на	2	2
113	между тем	3	2
114	для него	5	2
115	в этот	3	2
116	и тем	3	2
117	с помощью	1	2
118	те же	2	2
119	в том	21	2
120	общения и	1	2
121	в которую	1	2
122	в отношении	1	2
123	к анализу	1	2
124	вслед за	3	2
125	литературного произведения	1	2
126	другой стороны	3	2
127	во времени	2	2
128	не что	1	2
129	но так	2	2
130	не на	3	2
131	так же	2	2
132	в них	4	2
133	самого начала	1	2
134	а в	15	2
135	мира если	1	2
136	если бы	10	2
137	мы понимаем	1	2
138	от своего	2	2
139	а также	12	2
140	соответствии с	8	2
141	еще в	3	2
142	в ней	5	2
143	с самого	1	2
144	тем что	2	2
145	и др	2	2
146	могут быть	5	2
147	вовсе не	1	2
148	в действительности	1	2
149	же слово	1	2
150	можно вслед	1	2
151	его на	1	2
152	в связи	1	2
153	имеет место	6	2
154	объект и	1	2
155	в зависимости	1	2
156	во всей	1	2
157	с ними	2	2
158	все эти	1	2
159	с другой	10	2
160	как в	8	2
161	не менее	4	2
162	нуждается в	1	2
163	и социально	1	2
164	не имеет	3	2
165	там где	1	2
166	в структуре	1	2
167	том что	16	2
168	в нем	9	2
169	уже в	2	2
170	или иного	1	2
171	зависимости от	1	2
172	не мог	2	2
173	а не	31	2
174	всей своей	4	2
175	в чем	2	2
176	в целом	4	2
177	пути к	1	2
178	и ее	2	2
179	тот же	1	2
180	собственно говоря	1	2
181	к тому	9	2
182	кажется что	1	2
183	слова и	3	2
184	бы в	4	2
185	более того	1	2
186	этого термина	1	1
187	в особенности	3	1
188	его к	1	1
189	всего в	1	1
190	только одно	1	1
191	не дано	1	1
192	себе в	1	1
193	как к	1	1
194	в каждой	1	1
195	момент как	1	1
196	появляется и	1	1
197	к которому	2	1
198	и наоборот	1	1
199	но такой	1	1
200	из вас	1	1
201	и застывает	1	1
202	находятся в	1	1
203	наполнения и	1	1
204	то он	2	1
205	к счастью	1	1
206	миром с	1	1
207	№ из	1	1
208	ее и	2	1
209	самые слова	1	1
210	о влиянии	1	1
211	зрения и	1	1
212	от более	1	1
213	еще одну	1	1
214	только к	1	1
215	и он	4	1
216	мышления в	1	1
217	один из	3	1
218	со времен	2	1
219	и здесь	2	1
220	осуществляется в	1	1
221	общения в	1	1
222	в цепь	1	1
223	этого необходимо	1	1
224	приближается к	1	1
225	может входить	1	1
226	она и	1	1
227	отличие от	11	1
228	слово но	1	1
229	что мы	2	1
230	на этом	1	1
231	к слову	1	1
232	они не	3	1
233	автору и	1	1
234	только что	1	1
235	сознания с	1	1
236	как средство	1	1
237	художественного высказывания	2	1
238	которые не	2	1
239	указать на	1	1
240	того как	1	1
241	и уж	1	1
242	картины мира	12	1
243	которой он	1	1
244	и который	2	1
245	понимаем всю	1	1
246	разных местах	1	1
247	сводятся к	2	1
248	не могу	2	1
249	и вот	3	1
250	говоря и	1	1
251	на том	1	1
252	такого рода	23	1
253	это все	1	1
254	но при	7	1
255	эти слова	2	1
256	более или	2	1
257	внимание на	4	1
258	здесь она	1	1
259	потому что	7	1
260	в значительной	2	1
261	нам удалось	1	1
262	на первом	1	1
263	и остаются	1	1
264	явления но	1	1
265	от первого	1	1
266	того чтобы	2	1
267	и если	1	1
268	же как	1	1
269	автора и	1	1
270	всю совокупность	1	1
271	бы мы	2	1
272	и более	5	1
273	мы имеем	8	1
274	и у	2	1
275	также и	6	1
276	для которой	1	1
277	это и	1	1
278	уже у	1	1
279	для того	1	1
280	совсем не	1	1
281	мира это	2	1
282	тому как	3	1
283	тому что	2	1
284	все то	1	1
285	литературы как	1	1
286	быть не	4	1
287	ее исследования	1	1
288	которых он	1	1
289	он и	2	1
290	своем составе	1	1
291	его и	1	1
292	не всегда	2	1
293	в своем	9	1
294	в разных	2	1
295	говорить не	1	1
296	осмысления и	1	1
297	на самый	1	1
298	речи и	1	1
299	особенностей и	1	1
300	этом отношении	7	1
301	сознании не	2	1
302	с языком	2	1
303	в вечности	1	1
304	исследования в	1	1
305	тем не	3	1
306	в напряженном	1	1
307	в другой	1	1
308	как это	2	1
309	в художественной	2	1
310	вследствие этого	5	1
311	что такое	23	1
312	воплощенной в	1	1
313	объединены в	1	1
314	своей истории	2	1
315	только на	2	1
316	и через	2	1
317	общения с	1	1
318	из того	1	1
319	об этом	5	1
320	не имеем	1	1
321	только потому	1	1
322	не приходится	1	1
323	сюда относятся	1	1
324	в науке	1	1
325	и что	2	1
326	шкловского и	1	1
327	говоря словами	1	1
328	на самом	5	1
329	в различных	1	1
330	для них	3	1
331	и тот	1	1
332	можно было	2	1
333	в этой	2	1
334	людей и	1	1
335	иметь в	1	1
336	в начале	3	1
337	ни одна	1	1
338	в виду	3	1
339	в нашей	1	1
340	что к	1	1
341	возникает весьма	1	1
342	и до	1	1
343	сводится к	6	1
344	среде и	1	1
345	истории и	1	1
346	с их	2	1
347	и есть	2	1
348	подобно тому	3	1
349	и вполне	1	1
350	не хотят	2	1
351	но это	4	1
352	не вполне	4	1
353	по себе	2	1
354	в совершенно	1	1
355	в истории	1	1
356	все равно	2	1
357	косвенной речи	1	1
358	по своей	4	1
359	же время	4	1
360	же самые	1	1
361	и иных	1	1
362	его в	1	1
363	о литературе	1	1
364	на основе	2	1
365	со всеми	1	1
366	то или	1	1
367	как то	1	1
368	каждый из	1	1
369	а на	4	1
370	письма к	2	1
371	нуждаются в	1	1
372	связь с	1	1
373	а лишь	3	1
374	или иное	1	1
375	однако если	1	1
376	событий и	2	1
377	не было	5	1
378	связи с	2	1
379	этого процесса	1	1
380	речевого взаимодействия	1	1
381	же не	1	1
382	он весь	1	1
383	как известно	2	1
384	их исторической	1	1
385	что касается	5	1
386	это они	2	1
387	о возможности	1	1
388	состоит в	23	1
389	не знает	2	1
390	или в	3	1
391	в основе	6	1
392	взаимодействия и	1	1
393	материале и	1	1
394	на то	3	1
395	ни о	2	1
396	исторической поэтики	1	1
397	этого произведения	1	1
398	их по	1	1
399	же самое	2	1
400	и глубоко	1	1
401	из нее	1	1
402	сознания не	2	1
403	вся эта	1	1
404	вопрос в	1	1
405	в отличие	11	1
406	их в	3	1
407	произведение как	1	1
408	заключается в	2	1
409	одним из	5	1
410	элементов в	1	1
411	не совсем	1	1
412	и чисто	1	1
413	пространство и	2	1
414	объекта и	1	1
415	отношение к	5	1
416	если говорить	1	1
417	природы и	1	1
418	сказать что	1	1
419	на себя	5	1
420	прямая речь	1	1
421	в конечном	2	1
422	значения как	1	1
423	в эпоху	1	1
424	ему в	2	1
425	или менее	2	1
426	бытия то	2	1
427	почти вся	1	1
428	из живой	1	1
429	преображения и	1	1
430	конечном счете	2	1
431	он говорит	1	1
432	к другим	1	1
433	в конце	3	1
434	или нет?	1	1
435	обратимся к	2	1
436	одной из	1	1
437	мы это	1	1
438	например в	2	1
439	свести к	1	1
440	данной ситуации	2	1
441	в контексте	4	1
442	в образе	1	1
443	о теории	1	1
444	по мере	2	1
445	и ряд	1	1
446	бы что	1	1
447	целая система	1	1
448	к этому	3	1
449	в одной	2	1
450	и как	2	1
451	как о	2	1
452	вплоть до	2	1
453	до конца	5	1
454	что он	2	1
455	столь же	3	1
456	времени в	3	1
457	звучит один	1	1
458	в словесной	1	1
459	что она	2	1
460	или даже	2	1
461	не существует	3	1
462	далеко не	5	1
463	и о	4	1
464	бы быть	1	1
465	что без	1	1
466	в мире	9	1
467	на который	1	1
468	вместе с	2	1
469	которого является	1	1
470	же остается	1	1
471	науке о	1	1
472	который в	5	1
473	одна из	5	1
474	на эту	1	1
475	и языка	1	1
476	в которых	2	1
477	внимание к	2	1
478	но не	9	1
479	так в	5	1
480	постановка вопроса	2	1
481	в лирике	1	1
482	в ряду	2	1
483	но если	1	1
484	с его	1	1
485	что до	2	1
486	ли не	2	1
487	при таком	2	1
488	стиля мы	1	1
489	себя и	1	1
490	оно может	1	1
491	по поводу	5	1
492	говорить и	2	1
493	на всем	1	1
494	быть и	2	1
495	в то	5	1
496	и ценностных	1	1
497	нам как	1	1
498	тут же	3	1
499	один и	1	1
500	делая его	1	1
501	о художественном	1	1
502	отнюдь не	14	1
503	только с	1	1
504	группируются в	1	1
505	о которых	2	1
506	может и	1	1
507	и оно	2	1
508	когда в	2	1
509	его внутреннее	1	1
510	воздействия на	1	1
511	или их	1	1
512	для этого	2	1
513	с ее	3	1
514	они характеризуют	1	1
515	из него	2	1
516	и это	2	1
517	того же	1	1
518	научно не	1	1
519	из одного	1	1
520	в едином	3	1
521	в виде	1	1
522	связанная с	1	1
523	что вообще	1	1
524	само по	1	1
525	как для	3	1
526	и становится	1	1
527	и слушателю	1	1
528	к нему	2	1
529	до его	1	1
530	едва ли	4	1
531	не можем	2	1
532	сливаются в	2	1
533	встречаются в	1	1
534	счете к	1	1
535	как все	1	1
536	угадывается в	1	1
537	тем более	3	1
538	то можно	1	1
539	особенно в	3	1
540	не входит	2	1
541	в несколько	1	1
542	внутренней речи	1	1
543	его можно	1	1
544	обратиться к	2	1
545	на материале	1	1
546	и сами	2	1
547	и особенно	1	1
548	еще не	8	1
