N	2gram	Losev_Vlad	Hudozhes
1	в качестве	7	31
2	то есть	5	26
3	и в	56	23
4	не только	35	20
5	в том	26	20
6	при этом	5	19
7	может быть	12	19
8	в частности	4	18
9	и не	33	16
10	тогда как	1	15
11	но и	26	14
12	а не	5	13
13	но не	5	13
14	а в	20	13
15	я в	4	13
16	в себе	5	13
17	в этом	30	12
18	то же	10	12
19	такого рода	4	12
20	так и	11	12
21	и его	12	12
22	сводится к	1	11
23	представляет собой	1	11
24	как бы	5	11
25	точки зрения	4	11
26	в его	18	11
27	по отношению	1	10
28	но в	19	10
29	своего рода	1	9
30	в душе	1	9
31	том что	22	9
32	с другой	3	9
33	не в	12	9
34	не может	12	9
35	особого рода	2	8
36	себя в	6	8
37	в области	3	8
38	в то	15	8
39	что в	24	7
40	в самом	3	7
41	только в	11	7
42	в своей	7	7
43	же время	7	7
44	я и	2	7
45	не столько	4	7
46	как это	11	7
47	по своей	4	7
48	лишь в	3	7
49	отношение к	7	7
50	другой стороны	3	6
51	более или	5	6
52	уже не	6	6
53	можно сказать	10	6
54	с ее	1	6
55	с его	15	6
56	мы имеем	2	6
57	а также	12	6
58	или менее	5	6
59	в нем	7	6
60	ни в	4	5
61	не на	1	5
62	что он	22	5
63	не менее	9	5
64	того чтобы	4	5
65	для того	4	5
66	со стороны	5	5
67	я с	1	5
68	как к	4	5
69	для него	16	5
70	того что	6	5
71	прежде всего	5	5
72	с другими	1	5
73	в их	2	5
74	а на	1	5
75	или иначе	3	5
76	между ними	2	5
77	и одновременно	1	5
78	тем самым	2	5
79	то что	30	5
80	место в	2	5
81	для себя	6	4
82	так или	3	4
83	по пути	1	4
84	не следует	1	4
85	например в	1	4
86	отношения к	4	4
87	еще не	2	4
88	в данном	1	4
89	говорить о	1	4
90	сказать что	14	4
91	в своем	10	4
92	к тому	5	4
93	на почве	1	4
94	и то	13	4
95	это не	3	4
96	в отношении	5	4
97	его в	3	4
98	и как	7	4
99	в этих	5	4
100	так в	1	4
101	в себя	1	4
102	личности в	1	4
103	он не	13	4
104	и тем	2	4
105	и что	11	4
106	далеко не	1	4
107	со своей	5	4
108	и о	6	4
109	в силу	1	4
110	хотя и	9	4
111	в той	2	3
112	и к	10	3
113	человеческой жизни	1	3
114	и на	7	3
115	в момент	2	3
116	с этой	4	3
117	даже в	4	3
118	была бы	1	3
119	о чем	6	3
120	однако при	1	3
121	если бы	2	3
122	оказывается в	1	3
123	и сам	7	3
124	а именно	4	3
125	в жизни	4	3
126	как и	7	3
127	к его	5	3
128	их в	3	3
129	никто не	1	3
130	себя и	1	3
131	тем не	8	3
132	и того	1	3
133	в противоположность	1	3
134	к нему	6	3
135	потому что	16	3
136	одной стороны	1	3
137	искусства и	1	3
138	в стихотворении	3	3
139	отношении к	2	3
140	в одном	2	3
141	всех без	1	3
142	известной степени	2	3
143	во всей	1	3
144	из этих	5	3
145	и для	4	3
146	таким образом	6	3
147	на языке	1	3
148	произведения как	2	3
149	с одной	1	3
150	том числе	1	3
151	в произведении	2	3
152	как раз	7	3
153	и притом	5	3
154	связи с	7	3
155	но он	7	3
156	в таком	2	3
157	в связи	9	3
158	или даже	1	3
159	по своему	5	3
160	во всех	4	3
161	в русской	1	3
162	как уже	2	3
163	личности и	2	3
164	в свою	3	3
165	в которой	8	3
166	не будет	1	3
167	одно и	1	3
168	к области	1	3
169	говоря о	2	3
170	этом смысле	4	3
171	того же	11	3
172	человека с	2	3
173	что можно	4	3
174	и прежде	1	3
175	в целом	3	3
176	и другие	2	2
177	один из	4	2
178	таковы например	1	2
179	жизни а	1	2
180	и который	2	2
181	с ним	10	2
182	строго говоря	1	2
183	жить и	1	2
184	из которых	1	2
185	не как	1	2
186	в году	54	2
187	одно из	1	2
188	том и	1	2
189	по себе	3	2
190	в них	5	2
191	самом деле	1	2
192	заключается в	1	2
193	на свою	3	2
194	все эти	6	2
195	имеет дело	1	2
196	именно в	4	2
197	в порядке	2	2
198	из тех	1	2
199	либо в	1	2
200	субъект и	1	2
201	с ними	2	2
202	как в	6	2
203	никем не	1	2
204	роль в	1	2
