N	3gram	Nazirov_Vr	Myslijsy
1	в том что	2	47
2	не может быть	2	19
3	тем не менее	1	18
4	по крайней мере	1	17
5	в свою очередь	1	14
6	а между тем	1	13
7	то же время	4	13
8	в то же	4	13
9	с другой стороны	1	12
10	и в этом	1	12
11	до сих пор	1	12
12	во всяком случае	1	12
13	в то время	1	10
14	то что я	1	10
15	на то что	1	9
16	о том что	1	9
17	в этом смысле	1	7
18	и то же	1	7
19	не только не	1	7
20	с точки зрения	2	7
21	одно и то	1	7
22	в нем самом	1	6
23	не было бы	1	6
24	и то что	1	5
25	в том же	1	4
26	или по крайней	1	4
27	и в самом	1	4
28	далеко не все	1	4
29	и что в	2	4
30	в этом отношении	1	4
31	точно так же	1	3
32	в связи с	3	3
33	но это не	1	3
34	с первого раза	1	3
35	равно как и	1	3
36	заключается в том	1	3
37	ответ на это	1	3
38	не вдаваясь в	1	3
39	на первый взгляд	1	3
40	о том как	1	2
41	что в ней	1	2
42	только при помощи	1	2
43	и все что	1	2
44	но при этом	1	2
45	что в нем	1	2
46	а тем более	1	2
47	и не может	1	2
48	не только от	1	2
49	для нас весьма	1	2
50	а следовательно и	1	2
51	же время и	1	2
52	так же как	1	2
53	что для нас	1	2
54	служит для него	1	2
55	их и не	1	1
56	это дает нам	1	1
57	с тех пор	1	1
58	в той же	1	1
59	еще не знал	1	1
60	от того как	1	1
61	его отношение к	1	1
62	еще один пример	1	1
63	все что ни	1	1
64	у него в	1	1
65	как и у	3	1
66	что они не	1	1
67	но как в	1	1
68	но и от	1	1
69	по объему и	1	1
70	к вопросу о	1	1
71	все же не	1	1
72	что у него	1	1
73	и о том	2	1
74	над тем что	1	1
75	имело бы смысла	1	1
76	во время сна	1	1
77	в ответ на	1	1
78	мыслей и чувств	1	1
79	не знали что	1	1
80	в мире а	1	1
81	в это время	1	1
82	может быть иначе	1	1
83	нет ничего общего	1	1
84	на свое место	1	1
85	тем более что	1	1
86	ее тем что	1	1
87	одним из первых	1	1
88	и во всей	1	1
89	не имело бы	1	1
90	речь идет о	1	1
91	с тою же	1	1
92	давно уже не	1	1
93	и все же	5	1
94	в примечании к	2	1
95	то что они	1	1
96	может быть и	1	1
