N	2gram	Voloshinov	VLabPisa
1	таким образом	8	32
2	в этом	10	29
3	не только	28	26
4	и в	42	26
5	может быть	13	23
6	и не	14	20
7	хотя бы	18	20
8	объективной действительности	2	19
9	художественного творчества	5	19
10	не может	13	17
11	в процессе	6	17
12	в его	6	15
13	в том	3	15
14	этом отношении	2	14
15	в силу	1	14
16	все это	4	13
17	прежде всего	22	13
18	в качестве	4	12
19	вот что	1	12
20	в частности	3	12
21	как это	5	12
22	что в	1	11
23	с другой	1	11
24	из них	3	11
25	то же	16	10
26	не могут	1	10
27	в художественном	1	10
28	о том	4	10
29	но и	16	10
30	для него	3	9
31	об этом	3	9
32	к этому	2	9
33	творчества в	1	8
34	другой стороны	1	8
35	только в	7	8
36	все эти	3	8
37	вместе с	5	8
38	том что	3	8
39	ни один	2	8
40	было бы	7	8
41	в своем	1	8
42	произведения и	1	7
43	в основном	1	7
44	это не	3	7
45	говорит о	1	7
46	в конечном	1	7
47	не было	2	7
48	по отношению	2	7
49	очевидно что	2	7
50	тому что	5	7
51	как и	12	7
52	их в	3	7
53	во всех	6	7
54	а не	7	7
55	то что	9	7
56	художественное произведение	1	7
57	главным образом	3	7
58	отношению к	2	7
59	же в	1	7
60	в нем	6	7
61	из этих	2	7
62	один из	4	6
63	художественное творчество	3	6
64	у него	1	6
65	более или	1	6
66	все же	9	6
67	это и	1	6
68	бы и	2	6
69	не в	6	6
70	между тем	3	6
71	так и	7	6
72	художественного произведения	1	6
73	в себе	10	6
74	или менее	1	6
75	в зависимости	7	6
76	том же	2	6
77	и его	7	6
78	в то	9	6
79	утверждать что	1	5
80	даже в	1	5
81	в результате	1	5
82	в их	2	5
83	связи с	3	5
84	одним из	1	5
85	конечном счете	1	5
86	как говорит	1	5
87	зависимости от	7	5
88	к тому	4	5
89	перед нами	3	5
90	не является	5	5
91	он говорит	2	5
92	действующих лиц	1	5
93	и при	2	5
94	в одном	4	5
95	в пределах	2	5
96	же время	7	5
97	как бы	30	5
98	в целом	4	5
99	сказать что	3	5
100	и есть	1	5
101	никогда не	7	5
102	в самом	5	4
103	ее в	1	4
104	в ее	3	4
105	как раз	1	4
106	можно сказать	4	4
107	что для	1	4
108	в этой	6	4
109	что он	2	4
110	равно как	2	4
111	в виду	3	4
112	по существу	1	4
113	в романе	1	4
114	с тем	8	4
115	с ними	1	4
116	в своей	2	4
117	является не	1	4
118	одном из	1	4
119	роль в	3	4
120	должен быть	2	4
121	с его	8	4
122	для его	1	4
123	в связи	2	4
124	это только	1	4
125	когда он	1	4
126	в нашей	2	4
127	в сознании	5	4
128	одна из	1	4
129	отнюдь не	10	4
130	во время	1	4
131	муки слова	3	4
132	и к	4	3
133	видели что	3	3
134	что оно	3	3
135	и он	2	3
136	что у	3	3
137	и художника	1	3
138	этот процесс	2	3
139	мы имеем	2	3
140	действительной жизни	2	3
141	того что	4	3
142	никак не	1	3
143	но как	2	3
144	что и	3	3
145	у нас	4	3
146	его в	4	3
147	в форме	6	3
148	творчества и	1	3
149	если бы	4	3
150	или в	2	3
151	из приведенных	1	3
152	это мы	1	3
153	именно в	1	3
154	в конце	6	3
155	или иная	1	3
156	например в	1	3
157	разума и	1	3
158	между ними	3	3
159	и как	10	3
160	в слове	4	3
161	же и	1	3
162	в которых	2	3
163	и художественного	1	3
164	мира и	1	3
165	вовсе не	2	3
166	бы в	6	3
167	с этим	2	3
168	а в	5	3
169	в котором	3	3
170	даже и	2	3
171	она не	1	3
172	в противоположность	1	3
173	говорить не	1	3
174	в значительной	2	3
175	его не	2	3
176	но даже	2	3
177	того чтобы	7	3
178	для того	9	3
179	тому как	1	3
180	так называемые	4	3
181	и их	5	3
182	как он	1	3
183	вслед за	1	3
184	этот вопрос	2	3
185	так же	4	3
186	при помощи	1	3
187	процесс не	1	3
188	человека и	2	3
189	с работой	1	3
190	при всем	2	3
191	образом не	1	3
192	нет и	3	3
193	та или	1	3
194	образом в	1	3
195	деятельности человека	2	3
196	и от	7	3
197	точки зрения	11	3
198	жизни и	3	3
199	что без	1	3
200	что говорит	1	3
201	и по	1	3
202	всех этих	1	3
203	мы видели	5	3
204	мы наблюдаем	1	2
205	в особенности	1	2
206	к сожалению	1	2
207	отметить что	1	2
208	представить себе	3	2
209	и весь	1	2
210	только не	1	2
211	все его	1	2
212	и этот	2	2
213	из которых	3	2
214	на вопрос	1	2
215	если в	1	2
216	также что	1	2
217	должно быть	2	2
218	того как	1	2
219	зависит от	2	2
220	тогда когда	1	2
221	смысле слова	1	2
222	говорить о	1	2
223	да и	4	2
224	хотя и	3	2
225	связанное с	1	2
226	о чем	2	2
227	что при	1	2
228	нашей схеме	1	2
229	одном и	2	2
230	для многих	1	2
231	с более	1	2
232	что такое	4	2
233	а затем	1	2
234	для них	2	2
235	с другими	2	2
236	из многочисленных	1	2
237	по себе	1	2
238	всего сказанного	1	2
239	в своих	2	2
240	и даже	3	2
241	и наконец	5	2
242	и слова	1	2
243	в которой	7	2
244	не о	1	2
245	короче говоря	3	2
246	а о	1	2
247	что его	1	2
248	всех его	2	2
249	мысль о	1	2
250	но не	2	2
251	в ней	8	2
252	но вот	3	2
253	вот это	1	2
254	точном смысле	2	2
255	в жизни	2	2
256	понимать как	1	2
257	в последнем	1	2
258	свидетельствуют о	1	2
259	же как	1	2
260	на эти	2	2
261	что мы	11	2
262	слова не	2	2
263	и просто	1	2
264	на этом	1	2
265	другом месте	1	2
266	не менее	1	2
267	так сказать	4	2
268	ли не	2	2
269	бы не	2	2
270	может не	1	2
271	на то	1	2
272	о муках	1	2
273	в точном	2	2
274	себе и	2	2
275	в чем	1	2
276	наиболее существенные	1	2
277	так например	1	2
278	могло бы	1	2
279	с чрезвычайной	2	2
280	сих пор	2	2
281	еще не	3	2
282	с реальной	1	2
283	нам остается	1	2
284	все они	1	2
285	иметь в	1	2
286	в каждом	4	2
287	и потому	2	2
288	понятно что	1	2
289	еще и	2	2
290	обычно и	1	2
291	того или	5	2
292	до сих	1	2
293	человека в	2	2
294	а к	3	2
295	в словесном	1	2
296	было в	4	2
297	лица и	1	2
298	в течение	1	2
