N	2gram	Vygotskiy_	Retstnzi
1	не может	31	4
2	и в	33	3
3	если в	4	2
4	в центре	2	2
5	один из	4	2
6	этой проблемы	1	1
7	несмотря на	3	1
8	может быть	15	1
9	не только	28	1
10	точки зрения	27	1
11	с точки	12	1
12	событий и	1	1
13	может не	3	1
14	для него	9	1
15	с теми	1	1
16	ситуации и	1	1
17	в ней	2	1
18	тех же	1	1
19	в каждом	1	1
20	связи с	9	1
21	не из	1	1
22	эта вторая	1	1
23	поставить в	1	1
24	исследования во	1	1
25	в анализе	1	1
26	лежащие в	2	1
27	если бы	13	1
28	в школе	16	1
29	исходя из	2	1
30	на примере	5	1
31	в его	15	1
32	и тому	2	1
33	ничего кроме	3	1
34	еще большим	1	1
35	влияния на	4	1
36	не менее	4	1
37	и социальной	1	1
38	речь и	4	1
39	но и	14	1
40	впадает в	1	1
41	мы видим	6	1
42	к тому	14	1
43	анализа и	1	1
44	во второй	4	1
45	тому что	14	1
46	вопрос что	2	1
47	почти с	1	1
48	приведут к	1	1
49	в то	5	1
50	из этих	2	1
51	и больше	1	1
52	он в	3	1
53	то же	12	1
54	при анализе	4	1
55	а не	14	1
56	бы в	6	1
57	в системе	4	1
58	и не	18	1
59	на нее	2	1
60	и все	2	1
61	и на	11	1
