N	2gram	Nazirov_Vr	IolandNe
1	и с	6	3
2	что в	7	2
3	оба они	1	2
4	достоевского а	1	2
5	он не	3	2
6	творчества достоевского	1	2
7	ничего не	1	2
8	о достоевском	2	2
9	и не	5	2
10	в этом	8	2
11	говорить о	1	1
12	и наказания	2	1
13	а в	2	1
14	и о	3	1
15	же это	1	1
16	за границей	2	1
17	мертвого дома	1	1
18	это было	1	1
19	что для	1	1
20	из мертвого	1	1
21	для него	2	1
22	вплоть до	1	1
23	с героем	1	1
24	тем что	3	1
25	только что	1	1
26	бы его	1	1
27	не слишком	1	1
28	того же	1	1
29	преступления и	1	1
30	жизни и	1	1
31	с другой	1	1
32	в целом	1	1
33	было не	1	1
34	в эту	2	1
35	другой стороны	1	1
36	я не	3	1
37	себя в	1	1
38	знать и	1	1
39	после смерти	2	1
40	и сам	1	1
41	того что	1	1
42	а с	2	1
43	из подполья	3	1
44	а также	2	1
45	так и	1	1
46	о творчестве	1	1
47	же писатель	1	1
48	к достоевскому	6	1
49	произведения это	1	1
50	бы в	1	1
51	достоевского с	9	1
52	и в	8	1
53	никогда не	2	1
54	и и	1	1
55	все это	4	1
56	и дети	2	1
57	как о	1	1
58	в них	2	1
59	все ясно	1	1
60	во многом	4	1
