N	4gram	Propp_Isto	Vladivir
1	в то время как	4	5
2	то это значит что	2	4
3	и вместе с тем	2	4
4	в том что он	1	3
5	совершенно так же как	1	2
6	один и тот же	1	2
7	как мы увидим ниже	1	2
8	с одной стороны и	1	2
9	бы то ни было	1	2
10	но вместе с тем	2	2
11	того ни с сего	1	1
12	с этой точки зрения	3	1
13	и не могло быть	1	1
14	с того ни с	1	1
15	вместе со своим отцом	1	1
16	состоит в том что	1	1
17	не в этом а	1	1
18	то он не только	1	1
19	но тем не менее	2	1
20	точно так же в	1	1
21	вместе с тем и	1	1
22	с другой стороны оно	1	1
23	между прочим и в	1	1
24	ни за что не	1	1
25	а в том что	1	1
26	по вопросу о том	1	1
27	все же можно наблюдать	1	1
28	с другой стороны мы	1	1
29	все больше и больше	2	1
30	есть вместе с тем	1	1
31	как мы уже знаем	1	1
32	мы уже знаем что	4	1
33	не только во время	1	1
34	этом а в том	1	1
35	как мы видели и	1	1
36	в этом а в	1	1
37	ни с того ни	1	1
38	а в том чтобы	1	1
39	и т д в	3	1
40	что у него есть	2	1
41	вопрос о том почему	1	1
42	и то и другое	2	1
43	о том как эта	1	1
44	о том что в	2	1
45	в данном случае даже	1	1
46	так же как и	1	1
47	и не может быть	1	1
