N	2gram	Berdyaev_N	UchenyiS
1	и в	16	14
2	не только	5	10
3	а не	17	10
4	и не	11	8
5	прежде всего	4	8
6	то что	4	7
7	вот почему	2	7
8	в этом	7	7
9	не может	16	7
10	может быть	7	6
11	перестает быть	4	5
12	хотя бы	2	5
13	и только	1	5
14	все это	5	5
15	с другой	3	4
16	в этой	1	4
17	в россии	3	4
18	конечно не	3	4
19	что такое	3	4
20	но и	3	4
21	было бы	1	3
22	и формы	2	3
23	для этого	2	3
24	это не	4	3
25	как и	7	3
26	в своей	3	3
27	в области	1	3
28	в то	2	3
29	у нас	1	3
30	другой стороны	2	3
31	но в	2	3
32	все они	2	2
33	в самом	1	2
34	могут быть	2	2
35	не в	6	2
36	это было	3	2
37	для всех	1	2
38	и с	2	2
39	до сих	1	2
40	но не	2	2
41	по существу	2	2
42	тем что	1	2
43	в себе	2	2
44	в его	1	2
45	в конце	1	2
46	должна быть	3	2
47	мы не	2	2
48	что она	2	2
49	не есть	3	2
50	что он	1	2
51	не могут	1	2
52	что мы	1	2
53	в том	8	2
54	это уже	1	2
55	том что	2	2
56	и через	1	2
57	но это	6	2
58	этом смысле	2	2
59	и для	4	2
60	не столько	1	2
61	не случайно	1	2
62	с его	6	2
63	и у	1	2
64	превращается в	1	2
65	сих пор	1	2
66	только в	1	2
67	формы и	2	2
68	по себе	1	2
69	что все	2	2
70	вопроса о	1	2
71	в той	1	1
72	было и	1	1
73	все в	1	1
74	что в	9	1
75	к лицу	3	1
76	была уже	1	1
77	не было	4	1
78	и даже	2	1
79	но тут	1	1
80	всего что	1	1
81	и потому	4	1
82	и бессодержательной	1	1
83	и формального	1	1
84	но он	1	1
85	отказаться от	1	1
86	в которой	1	1
87	можно сказать	1	1
88	этого не	1	1
89	и быть	1	1
90	изжит и	1	1
91	и техники	1	1
92	нет и	2	1
93	как на	1	1
94	равно как	2	1
95	быть не	1	1
96	механическое сцепление	1	1
97	он в	1	1
98	и все	4	1
99	и возвращается	1	1
100	слова а	1	1
101	что этот	1	1
102	же как	2	1
103	сказать что	3	1
104	от вопроса	1	1
105	она должна	1	1
106	но для	2	1
107	переходит в	1	1
108	так много	1	1
109	она не	3	1
110	быть в	2	1
111	смысле и	1	1
112	приобретает характер	1	1
113	в своем	1	1
114	нам далеко	1	1
115	с тем	3	1
116	в значительной	1	1
117	для себя	1	1
118	в последние	1	1
119	одной стороны	2	1
120	но также	1	1
121	себе нового	1	1
122	гораздо больше	1	1
123	их в	1	1
124	не для	1	1
125	он может	1	1
126	в ней	5	1
127	споров о	1	1
128	это значит	1	1
129	а это	1	1
130	в этот	1	1
131	в период	1	1
132	он и	1	1
133	природе и	2	1
134	но если	1	1
135	не значит	3	1
136	только для	1	1
137	так и	2	1
138	и вся	1	1
139	в нем	5	1
140	он не	8	1
141	последние годы	1	1
142	и истории	1	1
143	все что	1	1
144	если нет	2	1
145	и что	2	1
146	в известном	1	1
147	и это	2	1
148	с одной	2	1
149	за пределы	3	1
150	тут мы	1	1
151	должно быть	4	1
152	не ставит	2	1
153	себя на	1	1
154	в виду	1	1
155	к созданию	2	1
156	реакцией против	2	1
157	нужно будет	1	1
158	уже не	2	1
159	о том	4	1
160	вверх ногами	1	1
161	этого конечно	1	1
162	обращение к	2	1
163	у него	2	1
164	в котором	1	1
165	не существует	3	1
166	приводит к	1	1
167	никогда не	6	1
168	человека и	3	1
