N	2gram	Tiupa_Anal	UchenyiS
1	и в	30	14
2	не только	30	10
3	а не	25	10
4	и не	33	8
5	прежде всего	8	8
6	то что	11	7
7	в этом	31	7
8	не может	26	7
9	может быть	33	6
10	эстетического объекта	11	6
11	в искусстве	2	6
12	хотя бы	4	5
13	то же	12	5
14	художественного творчества	2	5
15	в художественном	4	5
16	и только	1	5
17	все это	2	5
18	художественное произведение	5	5
19	в конечном	6	4
20	с другой	7	4
21	в этой	12	4
22	конечном счете	5	4
23	но и	29	4
24	в их	8	4
25	бы то	3	3
26	было бы	4	3
27	не о	3	3
28	и то	4	3
29	только к	1	3
30	или точнее	2	3
31	истории литературы	4	3
32	и т.д	4	3
33	для этого	2	3
34	очевидно что	1	3
35	произведения искусства	3	3
36	это не	7	3
37	как и	23	3
38	то ни	3	3
39	для него	5	3
40	в своей	7	3
41	все же	4	3
42	ни было	4	3
43	в области	4	3
44	в частности	32	3
45	в то	10	3
46	не как	2	3
47	у нас	1	3
48	другой стороны	2	3
49	не следует	6	3
50	но в	11	3
51	же время	7	3
52	литературы и	1	2
53	все они	2	2
54	таким образом	5	2
55	в самом	12	2
56	если не	2	2
57	же не	3	2
58	не приходится	2	2
59	материал для	1	2
60	должна была	2	2
61	в противном	1	2
62	могли бы	2	2
63	его и	3	2
64	если бы	6	2
65	самом деле	3	2
66	могут быть	12	2
67	является в	1	2
68	не в	17	2
69	это было	1	2
70	бы и	1	2
71	для всех	1	2
72	и с	2	2
73	в противовес	3	2
74	до сих	1	2
75	их и	1	2
76	же самое	3	2
77	художественном творчестве	1	2
78	одним из	3	2
79	еще ничего	1	2
80	крайней мере	4	2
81	но не	13	2
82	по существу	1	2
83	мы и	1	2
84	тем что	2	2
85	более чем	4	2
86	в себе	17	2
87	в его	15	2
88	искусства как	1	2
89	в конце	4	2
90	должна быть	1	2
91	мы не	1	2
92	ничего не	10	2
93	всех этих	2	2
94	материала и	1	2
95	говоря иначе	1	2
96	между тем	7	2
97	что она	1	2
98	не есть	8	2
99	художественного произведения	6	2
100	что он	3	2
101	на каждом	2	2
102	в широком	4	2
103	при таком	2	2
104	этом отношении	5	2
105	противном случае	1	2
106	о чем	3	2
107	фактов и	1	2
