N	2gram	Ircho_Kome	UchenyiS
1	и в	40	14
2	не только	12	10
3	а не	1	10
4	и не	19	8
5	прежде всего	8	8
6	то что	8	7
7	в этом	9	7
8	не может	3	7
9	может быть	16	6
10	в искусстве	1	6
11	хотя бы	2	5
12	то же	7	5
13	в художественном	1	5
14	и только	1	5
15	все это	7	5
16	стилистических приемов	1	5
17	с другой	7	4
18	в этой	9	4
19	конечно не	1	4
20	но и	14	4
21	в их	6	4
22	к сожалению	2	3
23	бы то	4	3
24	было бы	8	3
25	не о	1	3
26	и формы	2	3
27	этой области	2	3
28	для этого	2	3
29	очевидно что	1	3
30	это не	2	3
31	как и	12	3
32	то ни	4	3
33	для него	1	3
34	в своей	3	3
35	все же	7	3
36	ни было	4	3
37	в области	3	3
38	в частности	7	3
39	в то	14	3
40	у нас	3	3
41	другой стороны	6	3
42	не следует	2	3
43	но в	6	3
44	же время	5	3
45	таким образом	13	2
46	в самом	5	2
47	если не	1	2
48	же не	2	2
49	не приходится	1	2
50	материал для	2	2
51	должна была	3	2
52	если бы	4	2
53	могут быть	3	2
54	является в	1	2
55	не в	8	2
56	это было	5	2
57	бы и	1	2
58	для всех	5	2
59	и с	8	2
60	до сих	3	2
61	же самое	2	2
62	думается что	1	2
63	одним из	3	2
64	как таковой	1	2
65	но не	3	2
66	по существу	1	2
67	мы и	1	2
68	тем что	5	2
69	более чем	4	2
70	в себе	3	2
71	в его	8	2
72	в конце	7	2
73	даже и	1	2
74	мы не	4	2
75	мы получаем	1	2
76	и роль	1	2
77	ничего не	4	2
78	между тем	9	2
79	приемов и	1	2
80	что она	3	2
81	что он	11	2
82	конце концов	4	2
83	на эту	1	2
84	при таком	1	2
85	этом отношении	3	2
86	о чем	2	2
87	как раз	4	2
88	а его	1	2
89	не могут	1	2
90	а как	1	2
91	сводится к	1	2
92	в том	19	2
93	это уже	2	2
94	том что	19	2
95	надо было	3	2
96	нас в	3	2
97	но это	2	2
98	этом смысле	2	2
99	и для	4	2
100	и является	1	2
101	что и	10	2
102	не столько	1	2
103	не случайно	1	2
104	а между	1	2
105	смысле этого	1	2
106	с его	4	2
107	и у	3	2
108	превращается в	1	2
109	на первый	1	2
110	сих пор	3	2
111	только в	6	2
112	формы и	1	2
113	по себе	2	2
114	что все	1	2
115	не все	2	2
116	но конечно	1	2
117	было у	1	1
118	без труда	1	1
119	в той	2	1
120	было и	1	1
121	в г	28	1
122	что в	12	1
123	была уже	2	1
124	с которыми	1	1
125	не было	1	1
126	так или	4	1
127	бы только	1	1
128	было сделать	1	1
129	и даже	5	1
130	связанных с	2	1
131	первый план	1	1
132	более или	1	1
133	говорит он	1	1
134	лет с	1	1
135	первую очередь	6	1
136	и потому	1	1
137	частности все	1	1
138	буквальном смысле	1	1
139	но он	2	1
140	отказаться от	2	1
141	образом на	1	1
142	в которой	9	1
143	несомненно что	1	1
144	этого не	1	1
145	или меньшей	1	1
146	мы можем	6	1
147	иначе в	2	1
148	что же	2	1
149	или иначе	4	1
150	в данном	1	1
151	все его	1	1
152	иначе связанные	1	1
153	что под	1	1
154	подобным образом	1	1
155	больше чем	5	1
156	на положение	1	1
157	еще раз	1	1
158	нет и	2	1
159	как на	2	1
160	быть не	1	1
161	со своими	1	1
162	он в	1	1
163	и все	4	1
164	содержание и	1	1
165	из самых	2	1
166	такое что	1	1
167	же как	3	1
168	впечатление которое	1	1
169	сказать что	1	1
170	и эта	1	1
171	в исторической	1	1
172	достаточно ясно	1	1
173	время на	1	1
174	претендует на	1	1
175	данном случае	1	1
176	широкое развитие	1	1
177	его как	1	1
178	тезис о	1	1
179	г №	2	1
180	него не	1	1
181	один пример	1	1
182	то есть	1	1
183	и служит	1	1
184	от которой	2	1
185	и др	1	1
186	не делает	1	1
187	ее как	1	1
188	того как	3	1
189	в ноги	1	1
190	почти не	2	1
191	отсюда и	1	1
192	в таком	1	1
193	но прежде	1	1
194	то и	3	1
195	принципов и	1	1
196	которое мы	1	1
197	быть в	1	1
198	в течение	5	1
199	до конца	3	1
200	впрочем не	2	1
201	поэта не	1	1
202	в своем	6	1
203	говорить не	1	1
204	с тем	5	1
205	в наиболее	4	1
206	в значительной	1	1
207	для себя	2	1
208	стороны в	1	1
209	только как	1	1
210	что только	1	1
211	в последние	2	1
212	только при	3	1
213	еще одно	1	1
214	одной стороны	5	1
215	шаг к	1	1
216	именно к	1	1
217	относится к	2	1
218	он становится	1	1
219	время не	1	1
220	или по	3	1
221	мы имеем	1	1
