N	2gram	Losev_Prob	RusskieA
1	и в	62	79
2	в том	35	64
3	том что	25	59
4	что в	11	57
5	т е	1	54
6	не только	33	41
7	а а	1	40
8	во время	3	38
9	так как	14	34
10	и другие	4	33
11	в этом	25	33
12	как бы	11	31
13	но и	20	31
14	в других	2	30
15	как и	15	28
16	и на	4	28
17	может быть	39	28
18	в этот	1	26
19	и м	1	25
20	а н	1	25
21	о том	14	23
22	и т	20	23
23	при этом	9	22
24	т д	20	21
25	там же	1	20
26	это не	10	20
27	а в	9	20
28	как мы	12	20
29	из них	4	19
30	все это	9	18
31	с тем	9	17
32	таким образом	13	17
33	то что	42	17
34	вместе с	3	17
35	об этом	7	17
36	потому что	40	17
37	во многих	1	16
38	мы не	15	16
39	или на	1	15
40	будто бы	7	15
41	в них	6	14
42	и с	11	14
43	не менее	24	14
44	тем не	23	14
45	как это	4	14
46	и что	9	14
47	мы видели	2	14
48	и не	56	14
49	для нас	23	14
50	у нас	17	14
51	уже не	12	13
52	к этому	2	13
53	так что	21	13
54	и по	3	13
55	как в	10	13
56	в которых	3	13
57	еще не	12	13
58	не может	14	13
59	тем что	8	12
60	между собой	3	12
61	этом случае	8	12
62	мы имеем	7	12
63	в виде	20	12
64	следующим образом	1	11
65	не имеет	12	11
66	но это	13	11
67	далеко не	1	11
68	что на	2	11
69	все же	10	10
70	так например	1	10
71	том чтобы	1	10
72	его в	4	10
73	что и	11	10
74	так и	16	10
75	или в	7	10
76	а также	6	10
77	по существу	2	10
78	и других	1	10
79	то же	23	9
80	о чем	4	9
81	видно что	1	9
82	что они	8	9
83	с ней	5	9
84	и все	13	9
85	данном случае	12	9
86	земли и	1	9
87	но в	17	9
88	но не	6	9
89	в этих	6	8
90	представление о	1	8
91	так же	11	8
92	после этого	1	8
93	связи с	10	8
94	на себя	1	8
95	во всех	4	8
96	что это	3	8
97	подобно тому	3	8
98	их в	2	8
99	того чтобы	4	8
100	того что	10	8
101	ее в	2	8
102	в данном	14	8
103	не все	1	8
104	тому как	2	8
105	для того	5	8
106	же в	6	8
107	в это	1	7
108	настоящее время	4	7
109	в своем	7	7
110	на них	1	7
111	к нему	3	7
112	а и	2	7
113	не в	21	7
114	в свете	4	7
115	а с	2	7
116	было бы	14	7
117	только в	33	7
118	связанные с	2	7
119	из этих	1	7
120	а не	28	7
121	начиная с	1	7
122	до конца	1	7
123	в настоящее	4	7
124	ничего не	4	7
125	не можем	5	7
