N	3gram	Savitsky_E	Analitik
1	в том что	6	25
2	не может быть	2	19
3	в то же	15	16
4	в данном случае	2	14
5	в отличие от	1	14
6	то же время	14	14
7	той или иной	4	14
8	к тому же	1	13
9	того или иного	4	9
10	с другой стороны	2	9
11	в свою очередь	2	9
12	с одной стороны	8	9
13	с точки зрения	16	8
14	не только в	4	8
15	в этом отношении	3	8
16	во всяком случае	3	7
17	одного и того	1	6
18	в полной мере	1	6
19	и того же	1	6
20	не более чем	2	6
21	в той или	3	5
22	но и в	1	5
23	для того чтобы	5	4
24	не сводится к	1	4
25	тех или иных	1	4
26	и тем самым	1	4
27	в соответствии с	1	4
28	и в этом	4	4
29	большей или меньшей	1	4
30	и не в	1	4
31	в этом смысле	3	4
32	в известном смысле	3	4
33	из того что	2	4
34	в значительной степени	1	4
35	и тот же	1	3
36	хотя бы и	3	3
37	в том числе	1	3
38	бы то ни	4	3
39	речь идет о	1	3
40	как нам кажется	5	3
41	то ни было	4	3
42	следует оговориться что	1	3
43	в связи с	1	3
44	то есть в	1	3
45	можно сказать что	3	3
46	в противном случае	1	3
47	дело в том	1	3
48	не могут быть	1	3
49	между тем в	3	3
50	в применении к	3	2
51	с этой точки	5	2
52	более или менее	1	2
53	в частности в	2	2
54	можно было бы	3	2
55	совершенно очевидно что	1	2
56	друг с другом	3	2
57	того что в	2	2
58	смысле этого слова	1	2
59	и прежде всего	3	2
60	а тем более	2	2
61	тому или иному	2	2
62	как это случается	1	2
63	к тому что	1	2
64	в тех случаях	1	2
65	во многих отношениях	1	2
66	на то что	2	2
67	заключается в том	2	2
68	один и тот	1	2
69	этой точки зрения	5	2
70	на этот вопрос	1	2
71	не говоря уже	2	2
72	в одной из	1	2
73	но в то	2	2
74	в себе не	1	2
75	тех случаях когда	1	2
76	же время в	1	2
77	говоря уже о	1	2
78	что же касается	1	2
79	прежде всего в	2	2
80	значение лишь в	1	1
81	принадлежат к числу	1	1
82	в себе в	1	1
83	в общем строе	3	1
84	а не к	1	1
85	во всех этих	1	1
86	несмотря на то	1	1
87	то что с	1	1
88	то или иное	1	1
89	как и его	1	1
90	есть не только	2	1
91	та и другая	1	1
92	в том же	1	1
93	что мы знаем	1	1
94	друг от друга	2	1
95	в качестве одного	1	1
96	и в эту	1	1
97	в том случае	1	1
98	именно потому что	1	1
99	и в качестве	1	1
100	в отношении к	12	1
101	прежде всего к	2	1
102	может быть сведена	1	1
103	они относятся к	1	1
104	во второй его	1	1
105	само по себе	4	1
106	в этом мире	1	1
107	не имеет никаких	1	1
108	что как бы	1	1
109	и та и	1	1
110	что в этом	1	1
111	имеет место в	2	1
112	ли он в	1	1
113	мы не станем	1	1
114	что в качестве	1	1
115	выходит за пределы	1	1
116	мы видим как	1	1
117	учитывая то что	1	1
118	на этот раз	1	1
119	хотя бы с	1	1
120	том смысле что	1	1
121	с другой и	1	1
122	представляет собой своеобразный	1	1
123	в одном из	2	1
124	том случае если	1	1
125	в качестве таковой	2	1
126	то его можно	1	1
127	пределах одного и	1	1
128	в большинстве случаев	2	1
129	значение только в	1	1
130	качестве одного из	1	1
131	и далее в	1	1
132	можно утверждать что	1	1
133	не может остаться	1	1
134	в том смысле	1	1
135	бы столь же	1	1
136	ту или иную	3	1
137	в качестве объекта	1	1
138	быть сведена к	1	1
139	только в качестве	1	1
140	но как бы	1	1
141	сказать что в	2	1
142	только в том	2	1
143	того что мы	1	1
144	несмотря на его	1	1
145	существенное значение в	1	1
146	в то время	1	1
147	приводит нас к	2	1
148	и та же	1	1
149	то и другое	1	1
150	в большей или	1	1
151	отнюдь не исключает	1	1
152	хотя и не	1	1
153	или иначе говоря	1	1
154	в отношении которого	1	1
155	к тому или	1	1
156	и в частности	2	1
157	только тогда когда	1	1
158	всех этих случаях	1	1
159	или меньшей степени	1	1
160	также и в	1	1
161	как бы ни	3	1
162	в пределах одного	1	1
163	же как и	3	1
164	мог бы дать	1	1
165	так и в	2	1
166	во второй половине	2	1
167	одна и та	1	1
168	или хотя бы	2	1
169	между прочим и	2	1
170	том числе и	1	1
171	но и для	1	1
