N	2gram	Tiupa_Hudo	UchenyiS
1	и в	34	14
2	не только	22	10
3	а не	23	10
4	и не	15	8
5	прежде всего	12	8
6	то что	13	7
7	в этом	22	7
8	не может	10	7
9	может быть	12	6
10	в искусстве	1	6
11	хотя бы	2	5
12	то же	14	5
13	в художественном	6	5
14	и только	2	5
15	все это	2	5
16	художественное произведение	1	5
17	в конечном	5	4
18	с другой	4	4
19	в этой	11	4
20	конечном счете	4	4
21	но и	13	4
22	в их	2	4
23	к сожалению	1	3
24	бы то	1	3
25	было бы	8	3
26	не о	3	3
27	и то	2	3
28	по нашему	3	3
29	и т.д	3	3
30	это не	12	3
31	как и	16	3
32	то ни	2	3
33	для него	15	3
34	в своей	15	3
35	все же	5	3
36	в области	1	3
37	в частности	10	3
38	в то	12	3
39	не как	3	3
40	другой стороны	1	3
41	не следует	2	3
42	но в	6	3
43	же время	11	3
44	нашему мнению	1	3
45	литературы и	1	2
46	все они	2	2
47	в самом	7	2
48	же не	3	2
49	его и	2	2
50	если бы	7	2
51	самом деле	6	2
52	могут быть	1	2
53	не в	16	2
54	это было	2	2
55	бы и	2	2
56	для всех	1	2
57	и с	10	2
58	в противовес	2	2
59	до сих	3	2
60	их и	1	2
61	же самое	4	2
62	еще ничего	1	2
63	как таковой	1	2
64	но не	7	2
65	по существу	1	2
66	тем что	6	2
67	более чем	2	2
68	в себе	19	2
69	в его	17	2
70	в конце	5	2
71	мы не	2	2
72	ничего не	11	2
73	всех этих	1	2
74	между тем	14	2
75	что она	10	2
76	что он	14	2
77	в широком	1	2
78	конце концов	1	2
79	при таком	1	2
80	этом отношении	4	2
81	о чем	9	2
82	как раз	7	2
83	а его	3	2
84	не могут	1	2
85	а как	2	2
86	что мы	1	2
87	сводится к	7	2
88	в том	24	2
89	представляется нам	3	2
90	это уже	2	2
91	том что	31	2
92	и через	1	2
93	художественных произведений	1	2
94	нас в	2	2
95	но это	2	2
96	этом смысле	1	2
97	а о	2	2
98	и для	5	2
99	в системе	2	2
100	в итоге	1	2
101	что и	3	2
102	к области	2	2
103	в сторону	2	2
104	не столько	4	2
105	установку на	1	2
106	не случайно	14	2
107	а между	4	2
108	с его	9	2
109	и у	3	2
110	превращается в	6	2
111	на первый	1	2
112	сих пор	3	2
113	только в	8	2
114	формы и	1	2
115	по себе	3	2
116	что все	3	2
117	не все	2	2
118	нам представляется	3	2
119	верно и	1	1
120	первый взгляд	1	1
121	литературы в	1	1
122	было и	1	1
123	в г	3	1
124	признать что	2	1
125	что было	3	1
126	все в	2	1
127	что в	8	1
128	героя не	4	1
129	иначе говоря	2	1
130	художественного восприятия	2	1
131	не было	8	1
132	так или	3	1
133	и даже	4	1
134	смысла слов	1	1
135	более или	1	1
136	но тут	1	1
137	мы полагаем	1	1
138	всего что	1	1
139	первую очередь	2	1
140	и потому	3	1
141	но он	3	1
142	этом случае	1	1
143	в свое	1	1
144	в которой	2	1
145	автор видит	1	1
146	и существенным	1	1
147	можно сказать	9	1
148	литературного произведения	1	1
149	этого не	1	1
150	эти тенденции	1	1
151	пафос его	1	1
152	иначе в	1	1
153	бы послужить	1	1
154	что же	4	1
155	или иначе	3	1
156	в данном	3	1
157	и быть	4	1
158	у кого	1	1
159	все его	3	1
160	главное же	1	1
161	существует в	1	1
162	он уже	4	1
163	а для	1	1
164	еще раз	2	1
165	нет и	2	1
166	как на	2	1
167	у толстого	2	1
168	быть не	1	1
169	со своими	1	1
170	данного произведения	1	1
171	он в	2	1
172	и все	10	1
173	что этот	1	1
174	что угодно	1	1
175	двух первых	1	1
176	такое что	1	1
177	же как	4	1
178	поднимается до	1	1
179	сказать что	3	1
180	в сфере	2	1
181	как нам	3	1
182	и эта	3	1
183	претендует на	1	1
184	достоевского и	1	1
185	данном случае	3	1
186	он будет	3	1
187	но для	1	1
188	думает о	1	1
189	то есть	1	1
190	и служит	1	1
191	и всей	1	1
192	выхода в	1	1
193	нем но	1	1
194	и др	1	1
