N	2gram	Losev_Dial	SlovoVZh
1	не может	29	16
2	может быть	30	14
3	точки зрения	43	14
4	как бы	19	13
5	и его	8	13
6	таким образом	14	12
7	и в	34	12
8	в нашем	1	11
9	и не	50	10
10	так как	12	9
11	если бы	10	9
12	прежде всего	20	8
13	творца и	1	7
14	для нас	2	7
15	сказать что	7	7
16	все время	4	6
17	в ней	4	6
18	слова и	1	6
19	в том	17	6
20	в процессе	2	6
21	только в	10	6
22	в нем	7	6
23	при этом	7	6
24	можно сказать	5	5
25	что мы	10	5
26	хотя бы	9	5
27	должна быть	11	5
28	то же	9	5
29	а не	39	5
30	в виду	12	5
31	то что	25	5
32	мы ни	1	5
33	в жизни	4	5
34	как и	14	5
35	как в	2	5
36	отнюдь не	16	5
37	том что	18	5
38	и следовательно	2	5
39	но в	3	5
40	никогда не	9	5
41	в самом	9	4
42	и к	5	4
43	и на	6	4
44	не только	35	4
45	ни было	1	4
46	и является	2	4
47	на самом	2	4
48	за пределы	3	4
49	от того	9	4
50	его в	2	4
51	мы все	1	4
52	с другой	5	4
53	не в	11	4
54	отношение к	1	4
55	что не	8	4
56	так и	11	4
57	уже не	9	4
58	жизни и	8	4
59	в этом	14	4
60	все же	4	4
61	зависимости от	4	4
62	к нему	4	4
63	бы то	3	3
64	как к	2	3
65	и с	10	3
66	ее и	2	3
67	до сих	1	3
68	это как	3	3
69	и более	1	3
70	в котором	2	3
71	и по	2	3
72	и пр	16	3
73	мы не	11	3
74	то ни	4	3
75	или не	10	3
76	для него	4	3
77	отношении к	1	3
78	с ним	3	3
79	не должна	1	3
80	того что	22	3
81	быть и	7	3
82	и уже	5	3
83	когда он	3	3
84	тем не	10	3
85	в некоторых	3	3
86	имеет в	1	3
87	все это	13	3
88	он должен	3	3
89	ни в	20	3
90	в пределах	1	3
91	конечно не	6	3
92	по себе	31	3
93	так же	7	3
94	в них	6	3
95	в каком	9	3
96	этой точки	4	3
97	самом деле	7	3
98	только на	8	3
99	но для	3	3
100	в себе	8	3
101	слово в	2	3
102	ясно что	16	3
103	все эти	4	3
104	о том	11	3
105	в своей	4	3
106	здесь не	2	3
107	не менее	11	3
108	из этого	3	3
109	и проч	1	3
110	в такой	1	3
111	да и	4	3
112	но и	14	3
113	бы мы	1	3
114	ведь и	3	3
115	и для	5	3
116	точек зрения	1	3
117	точка зрения	5	3
118	художественное произведение	1	3
119	и ее	8	3
120	и наконец	2	3
121	сих пор	1	3
122	и вообще	7	3
123	не к	1	3
124	еще не	7	3
125	в особенности	9	2
126	что в	12	2
127	этих двух	1	2
128	все они	1	2
129	самое слово	2	2
130	нет ничего	14	2
131	перестает быть	2	2
132	но это	10	2
133	не так	1	2
134	и потому	6	2
135	смысл и	2	2
136	ни на	5	2
137	и то	7	2
138	мы можем	3	2
139	в данном	6	2
140	в душе	1	2
141	произведение и	1	2
142	в то	9	2
143	находит в	1	2
144	по природе	1	2
145	слово это	1	2
146	к слову	1	2
147	данном случае	3	2
148	со всех	1	2
149	зависит от	4	2
150	с одной	4	2
151	совпадает с	2	2
152	там где	1	2
153	в его	6	2
154	с этой	7	2
155	она не	10	2
156	это не	13	2
157	одной стороны	3	2
158	с точки	25	2
159	мы имеем	3	2
160	и дает	1	2
161	была бы	5	2
162	искусства и	1	2
163	вещи и	3	2
164	на него	1	2
165	кроме того	8	2
166	тогда когда	9	2
167	в себя	4	2
168	но тем	1	2
169	как это	8	2
170	те же	1	2
171	но все	1	2
172	но зато	2	2
173	от этой	1	2
174	если же	8	2
175	содержания и	1	2
176	одно и	6	2
177	и та	4	2
178	из него	1	2
179	и что	21	2
180	что и	8	2
181	в отношении	1	2
182	же самое	1	2
183	другой стороны	4	2
184	этой стороны	1	2
185	и вполне	1	2
186	но что	11	2
187	как не	4	2
188	в этих	3	2
189	социальной среды	1	2
190	есть уже	2	2
191	тому же	2	2
192	связь с	1	2
193	оно не	7	2
194	бы даже	1	2
195	как же	9	2
196	и притом	10	2
197	ко всем	1	2
198	имеем в	1	2
199	к ним	1	2
200	и здесь	3	2
201	как на	6	2
202	и все	17	2
203	но не	3	2
204	общего с	1	2
205	форму и	1	2
206	быть только	2	2
207	его как	6	2
208	допустим что	16	2
209	не есть	95	2
210	могут быть	5	2
211	с другими	1	2
212	из общей	1	2
213	стороны и	1	2
214	в своем	7	2
215	в корне	1	2
216	имеет место	1	2
217	вместе с	3	2
218	между ними	1	2
219	место в	2	2
220	в зависимости	3	2
221	такой же	1	2
222	мы никогда	1	2
223	и так	2	2
224	с его	7	2
225	себя и	3	2
226	на все	1	2
227	к этому	3	2
228	он не	8	2
229	в условиях	2	2
230	независимо от	3	2
231	эта последняя	1	2
232	в чем	11	2
233	делает его	1	2
234	и совершенно	2	2
235	точку зрения	1	2
236	как только	5	2
237	едва ли	2	2
238	ничего не	29	2
239	жизнью и	1	2
240	возможна только	2	2
241	или иным	1	1
242	такой взгляд	1	1
243	умирает в	1	1
244	бесконечное количество	1	1
245	все в	3	1
246	все стороны	1	1
247	и мир	1	1
248	хорошо и	2	1
249	уже сказали	2	1
250	на которую	1	1
251	это на	1	1
252	жизнь и	9	1
253	они являются	1	1
254	стоит ли	1	1
255	нам придется	1	1
256	то в	5	1
257	производственные отношения	3	1
258	же деле	1	1
259	во всяком	5	1
260	она имеет	1	1
261	нам не	1	1
262	от него	2	1
263	в стиле	1	1
264	это и	12	1
265	и тех	2	1
266	что они	2	1
267	и активное	1	1
268	то он	1	1
269	видения и	1	1
270	в искусстве	1	1
271	получилось бы	1	1
272	во всех	2	1
273	не зная	2	1
274	нами выше	1	1
275	или он	1	1
276	до степени	2	1
277	не является	1	1
278	слово есть	1	1
279	человеческого тела	1	1
280	только к	3	1
281	если оно	4	1
282	что оно	9	1
283	и он	3	1
284	явно не	1	1
285	коем случае	4	1
286	мы могли	1	1
287	моменты и	2	1
288	та же	5	1
289	по преимуществу	2	1
290	было в	2	1
291	близости к	1	1
292	с самого	1	1
293	на нечто	1	1
294	оно оказывается	1	1
295	в обществе	1	1
296	смысле она	1	1
297	опирается на	1	1
298	менее эта	1	1
299	так можно	1	1
300	основе своей	1	1
301	на эти	1	1
302	выдвигает на	1	1
303	на этом	3	1
304	в коем	4	1
305	она должна	3	1
306	другие области	1	1
307	которой он	1	1
308	мы воспринимаем	3	1
309	не имеют	2	1
310	бы но	1	1
311	ясное и	1	1
312	само собой	1	1
313	то есть	1	1
314	как одно	1	1
315	всех языках	1	1
316	но тот	1	1
317	в лучшем	2	1
318	должно быть	7	1
319	мы уже	6	1
320	ли он	1	1
321	нас не	1	1
322	этих обеих	1	1
323	значение и	1	1
324	мы берем	1	1
325	и уж	2	1
326	явление или	1	1
327	что называется	2	1
328	его содержания	1	1
329	и который	1	1
330	даже и	9	1
331	предмет в	2	1
332	и вот	13	1
333	от нее	3	1
334	отношение как	1	1
335	но при	1	1
336	она в	3	1
337	может идти	1	1
338	особого рода	3	1
339	только и	3	1
340	только как	7	1
341	что уже	3	1
342	от каких	1	1
343	того чтобы	1	1
344	сознание и	4	1
345	он как	1	1
346	в основе	6	1
347	и их	1	1
348	одна и	3	1
349	воззрение можно	1	1
350	не должно	2	1
351	ту же	1	1
352	а из	3	1
353	тому как	5	1
354	несмотря на	2	1
355	но то	3	1
356	это только	1	1
357	на что	2	1
358	это часто	1	1
359	в субъективизме	1	1
360	признать что	1	1
361	к общему	1	1
362	во многих	1	1
363	на одно	1	1
364	или может	1	1
365	что это	20	1
366	обычно не	2	1
367	хотя и	9	1
368	характерны для	1	1
369	и тогда	6	1
370	только его	2	1
371	этом отношении	2	1
372	его внутренней	2	1
373	близка к	1	1
374	это уже	2	1
375	явления в	1	1
376	о чем	2	1
377	мы должны	1	1
378	на другое	5	1
379	существует конечно	1	1
380	в ее	5	1
381	и тем	3	1
382	мимо цели	2	1
383	остается только	1	1
384	нашем случае	1	1
385	сам по	6	1
386	или просто	1	1
387	не требует	1	1
388	и во-вторых	2	1
389	такое понимание	2	1
390	бы только	3	1
391	в частности	3	1
392	говорит о	5	1
393	правда это	1	1
394	для нее	1	1
395	и больше	5	1
396	заложенная в	1	1
397	не как	1	1
398	со всей	1	1
399	и вся	1	1
400	самая структура	1	1
401	за ее	1	1
402	должны быть	7	1
403	в качестве	1	1
404	или иных	2	1
405	есть форма	1	1
406	потому не	1	1
407	в субъект	1	1
408	то мы	3	1
409	точками зрения	1	1
410	в науке	3	1
411	пор не	1	1
412	самом же	1	1
413	далее мы	1	1
414	в одном	3	1
415	одно из	8	1
416	у нас	7	1
417	я знаю	1	1
418	природе но	1	1
419	что каждый	1	1
420	в приведенном	1	1
421	и делает	2	1
422	быть ни	2	1
423	кто не	1	1
424	ценности и	1	1
425	в результате	7	1
426	и это	12	1
427	же он	2	1
428	момент если	1	1
429	как нечто	2	1
430	не бывает	1	1
431	этом смысле	1	1
432	подобно тому	5	1
433	во времени	1	1
434	далеко не	1	1
435	только то	2	1
436	слова не	1	1
437	и которые	1	1
438	уже и	3	1
439	и свободно	1	1
440	не вполне	2	1
441	к поэзии	1	1
442	явление но	2	1
443	у него	2	1
444	без того	3	1
445	чем не	1	1
446	не на	7	1
447	в истории	7	1
448	не могут	6	1
449	как чисто	2	1
450	все равно	5	1
451	что например	1	1
452	же время	5	1
453	не существует	10	1
454	говорить и	2	1
455	при помощи	6	1
456	в виде	11	1
457	чего же	1	1
458	знания и	2	1
459	и явления	1	1
460	она становится	2	1
461	совершенно ясно	2	1
462	входят в	1	1
463	от двух	1	1
464	и независимо	1	1
465	у нее	1	1
466	самого начала	1	1
467	увидели что	1	1
468	всей его	2	1
469	в конечном	1	1
470	приближения к	1	1
471	так мы	1	1
472	ко второму	2	1
473	кто является	1	1
474	жизни он	2	1
475	не было	6	1
476	когда мы	3	1
477	идет речь	4	1
478	как например	2	1
479	связи с	3	1
480	положения в	1	1
481	каждая вещь	1	1
482	связанных с	1	1
483	сами по	3	1
484	более или	1	1
485	бы по	1	1
486	все то	1	1
487	социальной ценности	1	1
488	что является	1	1
489	с ее	10	1
490	время как	6	1
491	давно пора	1	1
492	того кто	4	1
493	мы понимаем	3	1
494	было бы	13	1
495	это же	3	1
496	не знает	4	1
