N	2gram	Losev_Prob	EvropaiE
1	и в	62	37
2	в отношении	4	32
3	в пределах	3	25
4	точки зрения	14	23
5	что в	11	21
6	не только	33	18
7	с точки	9	17
8	в то	18	16
9	то же	23	15
10	хотя бы	6	15
11	в качестве	10	14
12	и не	56	14
13	но и	20	14
14	в своем	7	14
15	но в	17	14
16	в этом	25	12
17	в том	35	11
18	в их	2	11
19	в области	2	11
20	так и	16	10
21	в себе	23	9
22	т е	1	9
23	прежде всего	13	9
24	только в	33	9
25	в смысле	2	9
26	все более	1	9
27	так же	11	9
28	не может	14	9
29	отнюдь не	16	9
30	с одной	3	8
31	в ее	6	8
32	в своей	8	8
33	одной стороны	2	8
34	было бы	14	8
35	думать что	1	8
36	к тому	4	8
37	так как	14	7
38	того что	10	7
39	а также	6	7
40	как и	15	7
41	между прочим	4	7
42	по своему	6	7
43	также и	22	7
44	с другой	14	7
45	нам кажется	2	7
46	то есть	63	6
47	с этой	3	6
48	и даже	21	6
49	и на	4	6
50	том что	25	6
51	вовсе не	62	6
52	во всех	4	6
53	может быть	39	6
54	того чтобы	4	6
55	для того	5	6
56	стороны и	3	6
57	то что	42	6
58	как бы	11	6
59	на то	6	6
60	в той	8	5
61	как нам	1	5
62	этих областей	1	5
63	тем самым	9	5
64	в виде	20	5
65	этой точки	2	5
66	не в	21	5
67	но не	6	5
68	к которым	1	5
69	от этого	1	5
70	и потому	13	5
71	которую мы	1	5
72	же как	5	5
73	в частности	4	5
74	как мы	12	5
75	столь же	1	5
76	но если	12	5
77	и по	3	5
78	в самом	4	4
79	бы то	5	4
80	то в	4	4
81	на путях	1	4
82	мы не	15	4
83	в предыдущем	2	4
84	даже в	2	4
85	ни было	5	4
86	того или	8	4
87	для нас	23	4
88	не на	2	4
89	чем в	2	4
90	и притом	7	4
91	само по	5	4
92	в некотором	2	4
93	именно в	4	4
94	в процессе	2	4
95	по себе	36	4
96	не имеет	12	4
97	в каком	9	4
98	тем более	8	4
99	той или	22	4
100	не служит	1	4
101	вопрос о	2	4
102	но даже	7	4
103	то ни	7	4
104	или иного	5	4
