N	2gram	Tiupa_Hudo	Marksizm
1	точки зрения	7	69
2	может быть	12	64
3	и в	34	63
4	и не	15	55
5	как бы	11	53
6	не может	10	47
7	с точки	5	46
8	и его	8	41
9	в этом	22	39
10	как мы	5	32
11	в пределах	4	31
12	лишь в	5	30
13	не только	22	29
14	то же	14	28
15	в нем	5	28
16	но и	13	27
17	связи с	4	25
18	самом деле	6	25
19	в самом	7	24
20	как и	16	24
21	прежде всего	12	24
22	только в	8	23
23	так и	19	23
24	и т.п	2	23
25	в том	24	22
26	то что	13	22
27	а не	23	22
28	при этом	21	20
29	так сказать	3	20
30	для него	15	20
31	не в	16	19
32	если бы	7	19
33	том что	31	19
34	в его	17	19
35	в ее	16	18
36	в слове	1	18
37	и для	5	18
38	но в	6	18
39	вовсе не	2	18
40	все же	5	17
41	в сущности	2	17
42	и чужой	1	16
43	по отношению	15	16
44	речь в	2	16
45	слова и	1	16
46	и как	1	16
47	в то	12	16
48	во всех	2	15
49	в связи	3	15
50	отнюдь не	4	15
51	что он	14	15
52	же время	11	15
53	отношению к	15	15
54	в данном	3	14
55	хотя бы	2	14
56	в контексте	2	14
57	в смысле	1	14
58	в своей	15	13
59	так же	3	13
60	то ни	2	13
61	в направлении	1	13
62	что в	8	13
63	и здесь	1	13
64	не является	1	13
65	того чтобы	6	13
66	было бы	8	13
67	ничего не	11	13
68	мы не	2	13
69	слова в	2	13
70	для того	3	12
71	бы то	1	12
72	в результате	2	12
73	между тем	14	12
74	он не	8	12
75	в основе	3	12
76	высшей степени	2	12
77	является не	1	12
78	а в	11	12
79	в высшей	1	12
80	не столько	4	11
81	на материале	1	11
82	и того	1	11
83	чужое слово	1	11
84	к нему	2	11
85	мы уже	7	11
86	и что	3	11
87	и от	6	11
88	слова как	2	11
89	до сих	3	11
90	и на	6	11
91	и все	10	11
92	как в	11	11
93	еще не	10	11
94	друг друга	5	11
95	так как	2	11
96	на самом	2	11
97	авторской и	1	11
98	все эти	4	11
99	в ней	6	11
100	высказывания в	1	11
101	сих пор	3	11
102	именно в	9	10
103	во всяком	1	10
104	самого начала	1	10
105	с другой	4	10
106	сказать что	3	10
