N	4gram	Medvedev_F	Sotsiolo
1	ныне так называемым формальным	1	1
2	жанр поэтическая тематика художественный	1	1
3	целом все это предварительно	1	1
4	по существу это наиболее	1	1
5	так называемым формальным методом	1	1
6	элементы поэтической формы звук	1	1
7	в то же время	13	1
8	частности практикуются ныне так	1	1
9	какие в частности практикуются	1	1
10	ритм композиция жанр поэтическая	1	1
11	помощью тех методов какие	1	1
12	в частности практикуются ныне	1	1
13	методом по существу это	1	1
14	не выходит за пределы	1	1
15	и в то же	4	1
16	поэтика опираясь на психологию	1	1
17	психологию эстетику и лингвистику	1	1
18	называемым формальным методом по	1	1
19	имманентно с помощью тех	1	1
20	в целом все это	1	1
21	именно в том и	1	1
22	поэтической формы звук слово	1	1
23	не в том что	1	1
24	и какие в частности	1	1
25	предварительно изучается имманентно с	1	1
26	наиболее ценная часть нашей	1	1
27	какие выработала теоретическая поэтика	1	1
28	формы звук слово образ	1	1
29	формальным методом по существу	1	1
30	теоретическая поэтика опираясь на	1	1
31	методов какие выработала теоретическая	1	1
32	и лингвистику и какие	1	1
33	все это предварительно изучается	1	1
34	художественный стиль в целом	1	1
35	изучается имманентно с помощью	1	1
36	поэтическая тематика художественный стиль	1	1
37	эстетику и лингвистику и	1	1
38	лингвистику и какие в	1	1
39	слово образ ритм композиция	1	1
40	тех методов какие выработала	1	1
41	это предварительно изучается имманентно	1	1
42	ценная часть нашей работы	1	1
43	опираясь на психологию эстетику	1	1
44	композиция жанр поэтическая тематика	1	1
45	существу это наиболее ценная	1	1
46	выработала теоретическая поэтика опираясь	1	1
47	в том и заключается	1	1
48	практикуются ныне так называемым	1	1
49	образ ритм композиция жанр	1	1
50	на психологию эстетику и	1	1
51	стиль в целом все	1	1
52	звук слово образ ритм	1	1
53	с помощью тех методов	1	1
54	это наиболее ценная часть	1	1
55	том и заключается что	1	1
56	тематика художественный стиль в	1	1
