N	3gram	Berdyaev_M	Problema
1	о том что	3	39
2	в том что	3	37
3	во всяком случае	1	25
4	с точки зрения	1	25
5	в конце концов	3	23
6	сам по себе	1	21
7	сама по себе	1	21
8	на то что	1	19
9	для того чтобы	4	17
10	как будто бы	2	14
11	до сих пор	5	14
12	не что иное	4	14
13	что иное как	4	14
14	это значит что	3	13
15	на самом деле	1	13
16	можно было бы	1	13
17	не есть ни	1	13
18	не может быть	22	12
19	и в этом	1	12
20	в то время	2	12
21	то время как	2	12
22	есть не что	3	11
23	вместе с тем	5	10
24	не только в	2	10
25	может быть и	2	9
26	потому что он	3	8
27	только тогда когда	1	8
28	а может быть	1	7
29	когда мы говорим	1	7
30	но и в	4	7
31	это и есть	7	7
32	в самом деле	1	6
33	можно ли сказать	1	6
34	хотя бы даже	1	6
35	даже и в	1	6
36	в том смысле	2	6
37	есть прежде всего	4	6
38	в этом отношении	1	6
39	хотя бы и	2	5
40	ли сказать что	1	5
41	в чем не	2	5
42	имеем в виду	1	5
43	так же как	1	5
44	та или иная	1	5
45	том смысле что	1	5
46	в зависимости от	1	5
47	а вовсе не	1	5
48	несет с собой	1	5
49	только и можно	1	5
50	том что он	1	5
51	же как и	1	5
52	ни в чем	2	5
53	на том что	1	4
54	то в чем	1	4
55	и вместе с	4	4
56	не было бы	5	4
57	также и в	2	4
58	у нас не	2	4
59	не значит что	1	4
60	есть также и	1	4
61	не то чтобы	1	4
62	не потому что	1	4
63	и не было	2	4
64	вовсе не так	1	4
65	подобно тому как	2	4
66	есть то что	1	4
67	во всех этих	1	4
68	там и здесь	6	4
69	на эту тему	1	4
70	друг к другу	6	4
71	это не значит	2	3
72	потому что она	2	3
73	в отличие от	1	3
74	имел в виду	1	3
75	к тому что	1	3
76	ни к какому	2	3
77	но это не	3	3
78	вообще не существует	1	3
79	мы говорим что	1	3
80	если бы не	1	3
81	как и в	2	3
82	и когда мы	1	3
83	не сам по	1	3
84	с тем что	3	3
85	тем что он	2	3
86	жизни и в	1	3
87	что и в	3	3
88	прежде всего как	1	3
89	для нас в	1	3
90	по сравнению с	2	3
91	и есть то	1	3
92	не в той	1	3
93	хотя и в	1	3
94	бросается в глаза	1	3
95	том что в	1	3
96	и никогда не	3	3
97	порождает из себя	1	3
98	от того что	4	3
99	так как они	1	3
100	и ничего не	1	3
101	или лучше сказать	1	3
102	после того как	2	3
103	том что это	1	2
104	по отношению к	4	2
105	и т п	1	2
106	ни с чем	1	2
107	он видит в	1	2
108	и во многих	1	2
109	не может существовать	1	2
110	на заходящее солнце	1	2
111	не сама по	1	2
112	между тем как	2	2
113	и во всем	2	2
114	но также и	2	2
115	потому что не	1	2
116	всего того что	1	2
117	то нет и	3	2
118	не только для	1	2
119	ставить и решать	1	2
120	что в конце	1	2
121	в братьях карамазовых	5	2
122	с самим собою	2	2
123	потому что мы	1	2
124	может быть никакого	1	2
125	выходит за пределы	1	2
126	к учению о	2	2
127	что он не	3	2
128	как и во	2	2
129	а не только	3	2
130	в себе в	1	2
131	для этого необходимо	2	2
132	мы имеем в	1	2
133	и для всякой	1	2
134	друг на друга	1	2
135	все более и	1	2
136	то же что	1	2
137	в нем не	2	2
138	не может не	2	2
139	а не в	4	2
140	так как он	1	2
141	и в том	1	2
142	и не может	2	2
143	никогда не может	2	2
144	он должен быть	1	2
145	и потому в	1	2
146	тем что в	1	2
147	не может нас	1	2
148	одним из самых	1	2
149	в том случае	1	2
150	один из моментов	1	2
151	а следовательно и	1	2
152	в нем и	1	2
153	значение и не	1	2
154	и той же	2	2
155	только в этом	1	2
156	более и более	1	2
157	но в конце	1	2
158	одной и той	2	2
159	только и состоит	1	2
160	не мог быть	1	2
161	и другим и	1	2
162	и в самом	3	2
163	в себе и	2	2
164	и там и	6	2
165	значит также и	1	1
166	есть одно из	1	1
167	человека в этом	1	1
168	униженных и оскорбленных	1	1
169	есть знак того	1	1
170	что она не	1	1
171	что в мире	1	1
172	не остается на	1	1
173	преступлении и наказании	1	1
174	с тем он	2	1
175	но всегда в	1	1
176	новых и новых	1	1
177	своей борьбе с	1	1
178	записках из подполья	2	1
179	только и возможно	1	1
180	лучше сказать с	1	1
181	нет ничего кроме	1	1
182	раскольникова со свидригайловым	1	1
183	и в подростке	1	1
184	мере в какой	1	1
185	решения вопроса о	1	1
186	есть не только	4	1
187	и в обществе	1	1
188	в духе в	1	1
189	истории в которой	1	1
190	и есть настоящее	1	1
