N	2gram	Propp_Russ	Psycholo
1	то что	10	193
2	и в	59	190
3	в том	33	163
4	что в	35	123
5	потому что	15	114
6	том что	33	113
7	и что	8	108
8	может быть	14	107
9	таким образом	10	102
10	в этом	18	100
11	то есть	3	97
12	все время	1	86
13	как бы	18	80
14	для того	6	78
15	того чтобы	6	78
16	что он	2	76
17	не только	28	75
18	на то	2	73
19	и не	6	73
20	что она	4	71
21	самом деле	1	70
22	точки зрения	3	69
23	и т	13	69
24	не может	6	68
25	так же	7	63
26	так как	25	63
27	было бы	3	56
28	если бы	1	55
29	то же	6	54
30	о том	14	54
31	и мы	1	54
32	при этом	11	52
33	как и	19	51
34	что и	8	50
35	а не	3	50
36	что это	4	49
37	сказать что	1	46
38	только в	4	46
39	к тому	4	45
40	не в	2	45
41	в этой	4	43
42	показать что	1	43
43	никогда не	1	42
44	и все	4	42
45	вместе с	16	41
46	как это	11	40
47	но и	20	40
48	с и	1	40
49	как раз	1	39
50	того что	6	39
51	т п	1	38
52	и это	2	37
53	мы видим	2	37
54	и как	2	36
55	с тем	14	35
56	как на	2	34
57	и его	2	34
58	тому что	4	33
59	все же	7	33
60	что все	2	33
61	когда он	3	33
62	в себе	1	32
63	все это	12	32
64	он не	1	31
65	мы не	11	31
66	в его	3	31
67	для нас	12	31
68	в ней	3	31
69	мы увидим	8	30
70	как будто	6	30
71	никак не	1	30
72	как в	10	30
73	с одной	1	29
74	и для	3	29
75	одной стороны	1	29
76	с точки	3	29
77	в нем	3	29
78	увидим что	2	28
79	что они	8	28
80	мы можем	2	28
81	и то	2	28
82	что мы	1	28
83	в своих	3	27
84	в основе	1	27
85	и на	14	27
86	а в	16	27
87	с другой	1	27
88	все то	1	27
89	так что	4	26
90	только что	1	25
91	и здесь	3	25
92	жизни и	1	25
93	с таким	2	24
94	до конца	5	24
95	тем что	7	24
96	в целом	2	24
97	в своем	3	23
98	из этого	1	23
99	один из	10	23
100	что если	2	23
101	целый ряд	1	23
102	для этого	6	23
103	могут быть	3	23
104	с этим	4	22
105	из них	12	22
106	что у	3	22
107	между тем	9	22
108	и даже	1	22
109	когда мы	2	22
110	т д	12	22
111	в котором	2	21
112	том чтобы	3	21
113	в двух	2	21
114	в которых	8	21
115	в своей	1	21
116	ни в	1	21
117	в конце	1	21
118	что эта	1	21
119	как мы	11	21
120	в то	3	20
121	тот же	2	20
122	мы имеем	7	20
123	она не	4	20
124	несмотря на	4	20
125	на этом	6	20
126	там где	3	20
127	это не	14	20
128	все эти	5	20
129	в одном	4	19
130	что при	2	19
131	мы уже	2	19
132	в какой	3	19
133	мы должны	3	19
134	у него	2	19
135	с этой	2	18
136	в которой	3	18
137	можно было	3	18
138	но в	5	18
139	зависимости от	1	18
140	что с	2	18
141	на самом	3	18
142	но не	7	18
143	и есть	1	18
144	перед нами	2	18
145	видим что	1	18
146	в виду	3	17
147	во всяком	1	17
148	полагает что	8	17
149	время как	1	17
150	что для	4	17
151	из этих	6	17
152	но это	5	17
153	одна из	12	17
154	у нас	11	17
155	и о	4	17
156	и к	3	16
157	из которых	2	16
158	к этому	7	16
159	та же	4	16
160	обратиться к	1	16
161	говорит о	3	16
162	то это	1	16
163	в таком	5	16
164	же как	5	16
165	и тем	1	16
166	не имеет	9	16
167	так и	8	16
168	тому как	3	16
169	от того	1	16
170	в них	10	15
171	только на	4	15
172	что именно	3	15
173	во всех	6	15
174	мы знаем	1	15
175	не могут	1	15
176	и так	2	15
177	о котором	1	15
178	и потому	3	15
179	не просто	3	15
180	которых мы	1	15
181	утверждает что	1	15
182	далеко не	5	15
183	еще не	7	15
184	для него	1	15
185	в частности	2	15
186	не можем	5	15
187	в совершенно	1	14
188	но он	3	14
189	очевидно что	2	14
190	главным образом	5	14
191	то время	3	14
192	это и	1	14
193	это только	1	14
194	того как	6	14
195	прежде всего	2	14
196	что всякое	1	14
197	такой же	3	14
198	что на	5	14
199	эта теория	5	14
200	те же	1	14
201	в жизни	2	14
202	при таком	1	14
203	показывает что	9	14
204	должна быть	1	14
205	всяком случае	1	14
206	этом отношении	1	14
207	с той	2	14
208	или в	7	14
209	по существу	7	14
210	в области	3	14
211	прав когда	2	14
212	с ним	2	14
213	именно в	3	13
214	не могли	1	13
215	точка зрения	1	13
216	а с	6	13
217	могла бы	1	13
218	отнюдь не	3	13
219	этот вопрос	4	13
220	в той	1	13
221	и он	1	13
222	указывает что	1	13
223	могло бы	1	13
224	как он	2	13
225	должен был	3	13
226	и другие	24	12
227	в этих	3	12
228	их в	7	12
229	не менее	3	12
230	может служить	1	12
231	того же	1	12
232	тогда когда	4	12
233	в свою	3	12
234	состоит в	18	12
235	но если	2	12
236	это в	1	12
237	и очень	1	12
238	совершенно очевидно	2	12
239	и с	12	12
240	например в	3	12
241	что по	7	12
242	как только	2	12
243	что этот	4	12
244	что его	1	12
245	что не	1	12
246	и до	3	12
247	ничего не	4	12
248	об этом	11	12
249	что эти	2	12
250	в нашей	1	12
251	так например	7	11
252	не было	3	11
253	не будет	1	11
254	мы видели	3	11
255	подобно тому	3	11
256	поэзии и	1	11
257	и поэтому	3	11
258	но мы	1	11
259	на этот	3	11
260	уже в	2	11
261	на все	3	11
262	и других	9	11
263	отличие от	4	11
264	он должен	2	11
265	этой теории	1	11
266	исходя из	2	11
267	есть в	2	11
268	по поводу	1	11
269	его в	9	11
270	и из	3	11
271	этого слова	3	11
272	с его	1	11
273	думать что	3	11
274	но совершенно	1	11
275	во всем	2	10
276	только из	1	10
277	в другом	1	10
278	смысл и	1	10
279	в тех	5	10
280	не так	1	10
281	только тогда	3	10
282	данном случае	8	10
283	в их	5	10
284	в одной	1	10
285	от него	1	10
286	в данном	7	10
287	должно быть	2	10
288	в состоянии	1	10
289	тому же	1	10
290	и у	5	10
291	совсем не	1	10
292	и от	2	10
293	представить себе	1	10
294	здесь мы	3	10
295	не является	2	10
296	ее в	7	10
297	и их	4	10
298	думается что	1	9
299	но что	2	9
300	вопрос о	4	9
301	на него	1	9
302	внимание на	1	9
303	и следовательно	2	9
304	в чем	1	9
305	под влиянием	1	9
306	и та	1	9
307	в него	2	9
308	его и	2	9
309	на основании	1	9
310	в отличие	4	9
311	ответ на	2	9
312	в виде	10	9
313	по своему	2	9
314	по его	2	9
315	и по	10	9
316	в самых	1	9
317	и ее	3	9
318	которые не	3	9
319	о чем	7	9
320	точно так	1	9
321	но все	3	9
322	можно сказать	1	9
323	и другой	5	9
324	с в	12	9
325	совершенно другой	1	9
326	ту же	2	9
327	если же	1	9
328	в силу	2	9
329	каждого из	1	9
330	по этому	4	9
331	должен быть	2	9
332	с совершенно	1	9
333	именно это	1	9
334	и наконец	2	9
335	не к	3	9
336	себе и	1	8
337	будто бы	10	8
338	в москву	2	8
339	нас совершенно	1	8
340	в общем	1	8
341	он в	1	8
342	тем же	1	8
343	такое же	2	8
344	в такой	1	8
345	и таким	1	8
346	и вообще	1	8
347	этому поводу	3	8
348	место в	2	8
349	из всех	1	8
350	и другими	3	8
351	представление о	5	8
352	в собственном	1	8
353	с другом	1	8
354	большей частью	1	8
355	наряду с	1	8
356	согласиться с	1	8
357	по преимуществу	1	8
358	из того	1	8
359	уже давно	1	8
360	друг с	1	8
361	во время	23	8
362	к нему	3	8
363	верно что	1	8
364	и более	3	8
365	относится к	1	8
366	и во	2	8
367	жизнь и	2	8
368	которую мы	1	8
369	стороны и	1	8
370	не как	1	7
371	на которых	2	7
372	и там	2	7
373	от этого	2	7
374	во все	1	7
375	представляет собой	5	7
376	и те	3	7
377	свою очередь	2	7
378	на том	1	7
379	она в	4	7
380	только при	1	7
381	связи с	6	7
382	в каждом	2	7
383	должны быть	1	7
384	для чего	1	7
385	в особенности	3	7
386	принадлежат к	1	7
387	и при	2	7
388	имеет место	3	7
389	они не	1	7
390	который он	1	7
391	в течение	7	7
392	это имеет	4	7
393	к ним	4	7
394	дело и	1	7
395	того или	1	7
396	же в	5	7
397	все что	2	7
398	к этой	1	7
399	нас в	2	7
400	одно из	6	7
401	как они	2	7
402	если он	1	7
403	в руках	3	7
404	приходит к	1	7
405	в глаза	3	7
406	в нашем	2	7
407	в качестве	5	7
408	и эти	1	7
