N	4gram	Vinokur_Vv	Russkaja
1	в то же время	6	10
2	в течение очень долгого	1	1
3	то же время в	1	1
4	бы то ни было	1	1
5	это то же самое	1	1
6	дело в том что	3	1
7	не могут не быть	1	1
8	не трудно видеть что	5	1
9	себя между прочим и	1	1
10	заключается в том что	2	1
11	его можно было бы	1	1
12	и прежде всего в	1	1
13	но в то же	3	1
14	говорить о том что	1	1
15	можно было бы обозначить	1	1
16	одного и того же	2	1
17	в данном случае и	1	1
18	во всяком случае не	2	1
19	в том виде как	1	1
20	точно так же как	1	1
21	при беспристрастном взгляде на	1	1
22	также и то что	1	1
