N	2gram	Medvedev_I	StatiiOP
1	и в	1	103
2	в этом	2	76
3	что в	2	74
4	и не	2	41
5	пушкина и	1	33
6	тем что	1	29
7	все это	1	29
8	а в	1	27
9	так и	1	25
10	для того	1	22
11	того что	1	22
12	того чтобы	1	21
13	с другой	1	18
14	он не	2	18
15	если бы	1	16
16	другой стороны	1	15
17	по поводу	1	15
18	я не	1	15
19	для него	1	15
20	а с	1	13
21	жизни и	1	13
22	в них	1	11
23	никогда не	1	11
24	и с	3	11
25	все эти	1	11
26	это было	1	11
27	творчества пушкина	1	10
28	в целом	1	10
29	ничего не	2	10
30	и др	1	8
31	а также	1	8
32	и о	1	8
33	и очень	1	7
34	того же	1	7
35	в эту	1	7
36	что для	1	7
37	другое дело	1	7
38	отношению к	1	7
39	вплоть до	1	7
40	и сам	1	6
41	говорить о	1	6
42	по отношению	1	6
43	по существу	1	6
44	должен быть	2	6
45	стр и	7	5
46	не так	1	5
47	это был	1	5
48	во многом	1	5
49	только что	1	4
50	и без	1	4
51	и творчества	1	4
52	было не	1	4
53	очевидно что	1	4
54	могло бы	1	4
55	и тот	1	4
56	как о	1	4
57	в основе	1	4
58	более чем	1	4
59	в значительной	1	4
60	нисколько не	1	4
61	а по	1	4
62	же это	1	4
63	бы все	1	3
64	точно и	1	3
65	на котором	1	3
66	произведения и	1	3
67	что при	1	3
68	бы что	2	3
69	от этого	1	3
70	бы в	1	3
71	не дает	1	3
72	в первую	1	3
73	от нее	1	3
74	первую очередь	1	3
75	со всеми	1	3
76	то и	1	3
77	и и	1	3
78	неудивительно что	1	3
79	о жизни	1	3
80	жил в	1	3
81	есть только	1	2
82	доказать что	1	2
83	и еще	1	2
84	его произведения	1	2
85	видит в	1	2
86	то она	1	2
87	литература о	1	2
88	с жизнью	1	2
89	не случайно	1	2
90	художественного творчества	1	2
91	нам в	1	2
92	к нам	1	2
93	а если	1	2
94	тех же	1	2
95	у всех	1	2
96	и создавал	1	2
97	он с	1	2
98	самого себя	2	1
99	знакомство с	1	1
100	значительной мере	1	1
101	такая мелочь	1	1
102	так то	1	1
103	себя в	1	1
104	о ней	1	1
105	та и	1	1
106	допустил бы	1	1
107	то получается	1	1
108	это пушкин	1	1
109	оказывается для	1	1
110	на памяти	1	1
111	слишком много	1	1
112	сомневаюсь что	1	1
113	мы стали	1	1
114	и та	1	1
115	его личности	1	1
116	утверждает что	1	1
117	следовательно в	1	1
118	стр это	1	1
119	не сомневаюсь	1	1
120	автор не	1	1
121	знать и	1	1
122	и идей	1	1
123	не допустил	1	1
124	стороны он	1	1
125	не утверждал	2	1
126	аналогии и	1	1
127	что роман	1	1
128	г стр	1	1
129	и со	1	1
130	бы его	1	1
131	в руки	1	1
