N	3gram	Losev_Dial	Sotsiolo
1	дело не в	1	2
2	в том что	12	2
3	но ведь это	2	2
4	в конце концов	4	2
5	не в том	2	2
6	это и есть	3	1
7	и в то	3	1
8	в то же	7	1
9	друг от друга	1	1
10	ровно ничего не	3	1
11	а между тем	1	1
12	ни на что	3	1
13	сказать и о	1	1
14	все же это	1	1
15	с одной стороны	3	1
16	в связи с	3	1
17	то же самое	3	1
18	все это происходит	1	1
19	это дает нам	1	1
20	главным образом в	1	1
21	по крайней мере	11	1
22	то же время	8	1
23	только то что	6	1
24	как то что	1	1
25	эти два или	1	1
26	еще недостаточно глубоко	1	1
27	ведь это же	1	1
28	сама по себе	12	1
29	и стало быть	5	1
30	не должна быть	2	1
31	это вовсе не	2	1
32	во всяком случае	3	1
33	а в том	1	1
34	и в этом	4	1
35	в том и	1	1
36	не может не	1	1
37	именно в том	1	1
38	это происходит не	1	1
39	что все это	1	1
40	не было бы	2	1
