N	2gram	Vinokur_St	Morfolog
1	и т	36	62
2	может быть	16	61
3	т д	25	60
4	и пр	4	45
5	таким образом	16	26
6	т е	21	25
7	действующих лиц	1	22
8	могут быть	5	21
9	так как	7	20
10	мы имеем	2	19
11	не может	10	19
12	в этом	37	18
13	в этих	5	17
14	и в	61	17
15	представляют собой	1	16
16	и не	23	16
17	перед нами	1	14
18	с этим	6	14
19	прежде всего	11	14
20	по существу	3	13
21	при помощи	4	12
22	связи с	3	12
23	и др	1	12
24	а не	19	11
25	заметить что	1	11
26	что в	41	10
27	то же	7	10
28	а затем	1	10
29	вопрос о	9	10
30	не всегда	2	10
31	но если	5	10
32	этом случае	3	10
33	в том	56	10
34	так и	15	10
35	что и	8	10
36	то что	27	10
37	все же	12	9
38	с другой	11	9
39	но и	28	9
40	не только	36	8
41	в результате	5	8
42	мы не	3	8
43	в качестве	7	8
44	но не	5	8
45	представляет собою	3	8
46	в тех	5	8
47	а в	18	8
48	как мы	1	8
49	во втором	5	7
50	один из	1	7
51	и здесь	2	7
52	если в	2	7
53	не могут	2	7
54	не менее	8	7
55	том что	49	7
56	потому что	13	7
57	по отношению	3	7
58	точки зрения	16	7
59	г он	1	7
60	как это	6	7
61	тем не	4	7
62	и этим	1	7
63	образом мы	1	7
64	или же	3	7
65	а также	4	7
66	отношению к	3	7
67	и другие	3	6
68	о том	30	6
69	большей частью	1	6
70	как бы	8	6
71	не все	3	6
72	увидим ниже	1	6
73	но это	9	6
74	это не	8	6
75	с точки	10	6
76	в образе	3	6
77	в нашем	1	6
78	или в	1	6
79	и как	2	6
80	вовсе не	24	6
81	во всех	8	6
82	если мы	1	6
83	очень часто	3	6
84	также и	10	6
85	в форме	2	6
86	во время	5	6
87	они и	1	5
88	героя в	1	5
89	из которых	1	5
90	другой стороны	9	5
91	в первом	2	5
92	по их	1	5
93	что он	23	5
94	как в	15	5
95	со стороны	7	5
96	видно что	3	5
97	то это	3	5
98	это явление	2	5
99	ходе действия	1	5
100	хотя бы	8	5
101	было бы	21	5
102	в точности	1	5
103	к тому	9	5
104	ничего не	6	5
105	что они	9	5
106	не будем	1	5
107	хотя и	4	5
108	прежде чем	1	5
109	тому что	8	5
110	ясно что	10	5
111	все эти	7	5
112	одна из	1	5
113	между собой	1	5
114	на его	2	5
115	об этом	9	5
116	в других	2	5
117	там где	6	5
118	мы можем	1	5
119	между тем	7	5
120	он не	11	5
121	далеко не	1	5
122	в целом	5	5
123	раньше чем	4	5
124	и к	5	4
125	смысле слова	1	4
126	д но	4	4
127	в некоторых	3	4
128	на этом	1	4
129	как и	11	4
130	самом деле	14	4
131	но все	9	4
132	показать что	1	4
133	тем что	6	4
134	никто не	4	4
135	уже не	1	4
136	еще не	4	4
137	не является	5	4
138	а если	2	4
139	тех же	1	4
140	входит в	1	4
141	того чтобы	15	4
142	говорить о	3	4
143	на пути	1	4
144	так же	7	4
145	и наоборот	1	4
146	сказать что	9	4
147	на него	3	4
148	на котором	1	4
149	и для	4	4
150	из них	11	4
151	но в	16	4
152	к началу	1	4
153	несмотря на	4	4
154	на самом	8	4
155	его в	4	4
156	что его	1	4
157	с теми	1	4
158	случае не	3	4
159	к этому	4	4
160	в то	10	4
161	№ и	1	4
162	в руки	1	4
163	д как	1	4
164	можно было	14	4
165	этот вопрос	6	4
166	от того	1	4
167	в иных	2	4
168	могла бы	1	4
169	значит что	3	4
170	независимо от	1	4
171	всего это	1	3
172	то время	2	3
173	в последнем	1	3
174	для каждой	1	3
175	мы приходим	1	3
176	с этой	5	3
177	и при	1	3
178	по всему	1	3
179	что это	5	3
180	в сущности	2	3
181	в живых	1	3
182	одному из	1	3
183	ни в	5	3
184	с собой	1	3
185	только в	11	3
186	время как	2	3
187	из двух	3	3
188	если это	3	3
189	можно назвать	3	3
190	и другим	1	3
191	состоит из	1	3
192	то здесь	1	3
193	некоторые из	1	3
194	не существует	4	3
195	такие случаи	2	3
196	и что	8	3
197	для того	15	3
198	но эти	2	3
199	и тогда	2	3
200	целый ряд	3	3
201	а во	3	3
202	настоящее время	2	3
203	так например	12	3
204	здесь не	1	3
205	с его	3	3
206	в отдельных	2	3
207	кроме того	3	3
208	для этой	1	3
209	в настоящее	2	3
210	что при	3	3
211	с того	2	3
212	он должен	2	3
213	к нему	2	3
214	бы то	2	3
215	то в	3	3
216	очень многое	1	3
217	что эти	1	3
218	они не	2	3
219	или с	2	3
220	того что	14	3
221	с просьбой	1	3
222	что такое	2	3
223	ее в	2	3
224	но как	1	3
225	у нас	12	3
226	это и	5	3
227	же можно	1	3
228	и есть	1	3
229	в ином	1	3
230	в виде	3	3
231	а на	4	3
232	в таких	1	3
233	отдельных случаях	1	3
234	случается что	1	3
235	но для	3	3
236	а то	3	3
237	узнает о	1	3
238	к месту	1	3
239	в какой	4	3
240	приходим к	1	3
241	даже не	5	3
242	это было	2	3
243	и у	2	3
244	вопроса о	3	3
245	том случае	1	3
246	то ни	2	3
247	совсем не	3	3
248	если бы	11	3
249	и тем	3	3
250	не в	15	3
251	в которой	13	3
252	на нем	1	3
253	а по	1	3
254	и их	3	3
255	в начале	5	3
256	в пределах	1	3
257	в этой	13	3
258	к ней	1	3
259	не значит	3	3
260	же в	1	3
261	из другой	2	3
262	на то	5	3
263	и его	11	3
264	и по	6	3
265	и только	3	3
266	в один	1	3
267	можно указать	1	3
268	не так	2	2
269	от него	1	2
270	является в	1	2
271	а потому	2	2
272	которой все	1	2
273	и этот	1	2
274	самого себя	1	2
275	если он	1	2
276	должна быть	3	2
277	из таких	2	2
278	на работу	1	2
279	и дает	1	2
280	считаться с	2	2
281	не с	1	2
282	или нет	1	2
283	потому не	1	2
284	мы пока	1	2
285	точности соответствует	1	2
286	лишь на	1	2
287	и тот	1	2
288	не на	3	2
289	оно не	3	2
290	в своих	2	2
291	более или	2	2
292	это положение	2	2
293	в россии	7	2
294	но вот	1	2
295	вполне точно	1	2
296	например в	8	2
297	в числе	4	2
298	относятся к	3	2
299	с тем	3	2
300	очень важный	1	2
301	их в	2	2
302	вряд ли	8	2
303	обоих случаях	2	2
304	в которых	5	2
305	таких случаях	1	2
306	себя и	1	2
307	не имеет	5	2
308	когда в	1	2
309	роль в	1	2
310	в каком	4	2
311	к другому	1	2
312	где оно	1	2
313	но оно	1	2
314	во всяком	8	2
315	его и	1	2
316	можно сказать	2	2
317	ответить на	1	2
318	того как	8	2
319	в данном	16	2
320	сразу же	1	2
321	в основе	4	2
322	и более	4	2
323	вытекает из	2	2
324	что этот	3	2
325	что мы	5	2
326	в очень	4	2
327	как например	2	2
328	нельзя было	1	2
329	такую же	1	2
330	к отдельным	1	2
331	материала а	1	2
332	на той	1	2
333	одной стороны	2	2
334	д в	1	2
335	в другом	5	2
336	в каких	1	2
337	том как	4	2
338	ночи на	1	2
339	в середине	2	2
340	с большой	1	2
341	особое место	1	2
342	что многие	1	2
343	точно так	2	2
344	в одном	7	2
345	и когда	1	2
346	превращается в	2	2
347	то как	1	2
348	тогда как	1	2
349	в обоих	2	2
350	вот как	1	2
351	в глаза	1	2
352	что же	6	2
353	могут и	1	2
354	без всякого	2	2
355	в данной	2	2
356	тем же	3	2
357	одной из	4	2
358	на этот	5	2
359	что она	5	2
360	который в	1	2
361	что именно	2	2
362	а вовсе	1	2
363	по отдельным	1	2
364	всяком случае	8	2
365	следует еще	1	2
366	себя в	1	2
367	хотя эти	1	2
368	все известные	1	2
369	для него	10	2
370	не означает	1	2
371	в свое	3	2
372	ответ на	4	2
373	приведены в	1	2
374	элемент в	1	2
375	является результатом	1	2
376	может не	2	2
377	данном случае	7	2
378	на вопрос	7	2
379	в основу	5	2
380	с одной	3	2
381	и за	3	2
382	иных случаях	2	2
383	ни к	1	2
384	ни было	1	2
385	этом отношении	13	2
386	для нас	7	2
387	все это	13	2
388	то получается	1	2
389	чем в	3	2
390	но с	7	2
391	иногда и	2	2
392	не знает	2	2
393	что там	2	2
394	входить в	1	2
395	одним из	2	2
396	это еще	1	2
397	вообще не	5	2
398	очень много	1	2
399	представляют собою	1	2
400	также в	2	2
401	случаях когда	1	2
402	действующим лицам	1	2
403	у него	3	2
404	по своему	2	2
405	средство для	1	2
406	он приводит	1	2
407	к вопросу	1	2
408	в чем	4	2
409	или менее	2	2
410	и таким	1	2
411	и представляют	1	2
412	в одной	3	2
413	бы в	2	2
414	без всякой	3	2
415	случай в	1	2
416	а с	6	2
417	наука о	1	2
418	в наши	2	2
419	и даже	8	2
420	что пока	1	2
421	она не	3	2
422	что ни	2	2
423	ту же	1	2
424	не по	5	2
425	дело не	4	2
426	быть и	2	2
427	в частности	6	2
428	бы они	1	2
429	из этих	7	2
430	можно сделать	1	2
431	должны быть	4	2
432	или иные	1	2
433	что эта	5	2
434	один раз	1	2
435	в количестве	1	2
436	тем и	1	2
437	б в	3	2
438	ни одной	2	2
439	как их	1	2
440	из его	3	2
441	вопрос в	4	2
442	однако в	1	2
443	это можно	3	2
444	ее из	1	2
445	что о	3	2
446	как будто	5	2
447	право на	1	2
448	д и	2	2
449	если она	1	2
450	но они	3	2
451	в одну	1	2
452	что до	3	2
453	во второй	10	2
454	в той	9	1
455	еще несколько	2	1
456	в особенности	1	1
457	были бы	2	1
458	какого бы	1	1
459	изучение это	1	1
460	однако и	2	1
461	это утверждение	1	1
462	все что	1	1
463	ее появления	1	1
464	до сих	13	1
465	глаз а	1	1
466	еще раз	1	1
467	можно говорить	1	1
468	отвечает на	1	1
469	они их	1	1
470	всего надо	1	1
471	и на	7	1
472	сказкой о	1	1
473	зная о	1	1
474	наши дни	1	1
475	на эти	7	1
476	же и	4	1
477	в момент	1	1
478	себе представить	1	1
479	которые не	3	1
480	с толку	1	1
481	на анализе	1	1
482	не русская	1	1
483	которые также	1	1
484	за исключением	1	1
485	которые он	1	1
486	зрения их	2	1
487	до него	3	1
488	будущих поколений	1	1
489	на ее	1	1
490	с такой	1	1
491	на первом	1	1
492	приведем один	1	1
493	сверх того	1	1
494	после получения	1	1
495	могут вызвать	1	1
496	дело с	2	1
497	приводит в	2	1
498	в применении	3	1
499	большую роль	1	1
500	особый смысл	1	1
501	и далее	1	1
502	при этом	4	1
503	даже в	5	1
504	будет видно	1	1
505	работ по	2	1
506	ли считать	1	1
507	сюда относится	1	1
508	которым они	1	1
509	три дня	1	1
510	уже говорить	1	1
511	можно сомневаться	1	1
512	ни стало	1	1
513	в другой	1	1
514	те же	1	1
515	в приложении	1	1
516	которые по	1	1
517	но ведь	8	1
518	и рядом	1	1
519	в ф	1	1
520	не являются	3	1
521	остановиться на	1	1
