N	2gram	Trubetskoy	ViktorSh
1	конце концов	3	2
2	в конце	6	2
3	и в	26	2
4	в том	11	2
5	том что	7	2
6	но это	1	1
7	том же	1	1
8	по существу	2	1
9	а отсюда	1	1
10	главным образом	8	1
11	в самом	4	1
12	и т.д	6	1
13	именно в	2	1
14	ни к	1	1
15	самом деле	1	1
16	за свою	1	1
17	ясно что	3	1
18	крайней мере	5	1
19	и его	1	1
20	к чему	1	1
21	на одном	1	1
22	хотя бы	3	1
23	сказать чтобы	1	1
24	далеко не	4	1
25	тем более	1	1
26	по крайней	5	1
27	в которых	4	1
28	ибо никакой	1	1
29	к этому	3	1
30	только в	4	1
31	одном и	1	1
32	потому что	7	1
33	в значительной	3	1
34	в их	1	1
35	и только	4	1
36	то же	4	1
37	по своим	2	1
38	и том	1	1
39	и не	8	1
40	да и	1	1
41	в этом	15	1
42	так как	9	1
43	все это	6	1
44	совершенно ясно	1	1
