N	3gram	Bakhtin_fo	Tragedij
1	то же время	13	5
2	в то же	10	5
3	так и в	1	3
4	в том что	4	2
5	и как бы	2	2
6	и в частности	2	2
7	но в то	2	2
8	бросается в глаза	1	2
9	это очень важно	1	2
10	между этими двумя	3	2
11	в данном случае	2	2
12	и в дальнейшем	1	2
13	о том что	2	2
14	и в самом	1	2
15	но все же	3	2
16	в отличие от	3	2
17	понятно что в	2	1
18	но в конце	1	1
19	как своего рода	1	1
20	в этом романе	2	1
21	в одном из	1	1
22	все это мы	1	1
23	должно быть по	1	1
24	смысле этого слова	1	1
25	в конце концов	1	1
26	это как бы	1	1
27	в это же	1	1
28	этим объясняется и	1	1
29	и должно быть	2	1
30	с тем и	1	1
31	в той же	1	1
32	и вместе с	1	1
33	не может быть	4	1
34	в этом мире	7	1
35	роль в романе	1	1
36	и т п	18	1
37	имеют особое значение	1	1
38	что в таком	2	1
39	и в быту	1	1
40	же время он	1	1
41	в этом случае	1	1
42	по сравнению с	3	1
43	с помощью этих	1	1
44	с самого начала	3	1
45	но и на	1	1
46	у него нет	1	1
47	во всех видах	1	1
48	не могут быть	1	1
49	в высшей степени	1	1
50	об этом свидетельствует	1	1
51	романа и в	1	1
52	обстоит дело с	1	1
53	как и в	3	1
54	в связи с	12	1
55	и все же	1	1
56	в самом деле	1	1
57	во всяком случае	1	1
58	к тому что	1	1
59	и до конца	2	1
60	вместе с ними	1	1
61	прежде всего необходимо	4	1
62	в романе играет	1	1
63	всего необходимо отметить	3	1
64	ее к себе	1	1
65	по природе своей	2	1
66	из родного дома	1	1
67	полностью сохраняет свое	1	1
68	связан и с	1	1
69	романа прежде всего	3	1
70	и в этом	2	1
71	о золотом веке	1	1
