N	4gram	Tiupa_Vved	KFilosof
1	один и тот же	1	3
2	одна и та же	1	2
3	есть на самом деле	1	2
4	только по отношению к	1	2
5	в то же время	4	2
6	во всей его полноте	1	1
7	не само по себе	1	1
8	возможное смысловое единство возможных	1	1
9	же не может быть	1	1
10	дело в том что	1	1
11	смысловое единство возможных суждений	1	1
12	он не может быть	1	1
13	того мира в котором	1	1
14	могла бы и не	1	1
15	но в то же	1	1
16	если бы оно было	1	1
17	ее и вследствие этого	1	1
18	и в то же	1	1
19	одного и того же	1	1
20	гарантирует возможное смысловое единство	1	1
