N	4gram	Vinokur_Vv	Komedia
1	в то же время	6	16
2	бы то ни было	1	7
3	и в самом деле	3	7
4	не говоря уже о	1	6
5	в том что он	1	4
6	сомневаться в том что	1	3
7	состоит в том что	2	2
8	с этой точки зрения	2	2
9	с одной стороны и	3	2
10	в том что в	1	2
11	в до н э	2	2
12	мы имеем в виду	1	2
13	той мере в какой	6	1
14	представляет собой в самом	1	1
15	не что иное как	5	1
16	до н э и	1	1
17	точки зрения должен был	1	1
18	и за ее пределами	1	1
19	в той мере в	6	1
20	по меньшей мере две	1	1
21	но вместе с тем	1	1
22	только после того как	2	1
23	до тех пор пока	1	1
24	из дошедших до нас	1	1
25	представление о том что	1	1
26	не последнее место в	1	1
27	в зависимости от того	1	1
28	во-вторых и это особенно	1	1
29	случаях имеется в виду	1	1
30	ни к одной из	1	1
31	отдать себе отчет в	1	1
32	это в свою очередь	1	1
33	в связи с этим	1	1
34	именно потому что они	1	1
35	в собственном смысле слова	1	1
36	к концу iv в	1	1
37	с этой целью он	1	1
38	только в том что	1	1
39	то же самое что	2	1
40	по самой своей природе	2	1
41	сама по себе не	1	1
42	как мы уже знаем	2	1
43	одного и того же	2	1
44	в соответствии с этим	1	1
45	но все же это	1	1
46	в каждом из них	1	1
47	этой точки зрения должен	1	1
48	и в конце концов	1	1
49	и это особенно важно	1	1
50	как это было у	1	1
51	и т д все	2	1
52	вв до н э	1	1
53	было до сих пор	1	1
54	мы имеем дело с	1	1
55	в том виде как	1	1
