N	2gram	Losev_Prob	ViktorSh
1	конце концов	4	2
2	в конце	7	2
3	и в	62	2
4	в том	35	2
5	том что	25	2
6	в другом	4	1
7	все время	2	1
8	но это	13	1
9	что имеется	1	1
10	одно и	4	1
11	столь же	1	1
12	их как	1	1
13	по существу	2	1
14	заключается что	1	1
15	в самом	4	1
16	как же	3	1
17	о или	1	1
18	в теории	1	1
19	отношений но	3	1
20	чем больше	1	1
21	не одно	1	1
22	а значит	1	1
23	что слово	3	1
24	для них	4	1
25	образы которые	2	1
26	а только	9	1
27	именно в	4	1
28	и самым	2	1
29	ни к	3	1
30	имеется в	7	1
31	другое дело	5	1
32	самом деле	6	1
33	ясно что	11	1
34	речи и	1	1
35	говоря о	1	1
36	в частности	4	1
37	и то	17	1
38	их тем	1	1
39	крайней мере	9	1
40	и заключается	1	1
41	не хотел	1	1
42	время в	1	1
43	то чего	2	1
44	и его	12	1
45	даже не	3	1
46	хотя бы	6	1
47	по поводу	3	1
48	или без	1	1
49	далеко не	1	1
50	тем более	8	1
51	по крайней	9	1
52	в которых	3	1
53	к этому	2	1
54	только в	33	1
55	потому что	40	1
56	в значительной	2	1
57	в их	2	1
58	все дело	2	1
59	образом связаны	1	1
60	и почти	2	1
61	и только	10	1
62	то же	23	1
63	по своим	1	1
64	чего не	1	1
65	не будем	4	1
66	и не	56	1
67	гораздо более	6	1
68	я не	1	1
69	дело в	6	1
70	да и	9	1
71	в этом	25	1
72	так как	14	1
73	все это	9	1
74	значит и	4	1
75	совершенно ясно	1	1
