N	3gram	Medvedev_F	Stilisti
1	в то же	13	9
2	для того чтобы	3	7
3	в зависимости от	4	7
4	то же время	13	7
5	того или иного	6	5
6	с точки зрения	17	5
7	в свою очередь	6	4
8	то или иное	1	4
9	с самого начала	2	4
10	прежде всего в	5	4
11	но и в	4	3
12	бы мы ни	1	3
13	во внутренней речи	1	3
14	во всех своих	2	3
15	на самом деле	7	3
16	в конце концов	2	3
17	как мы видели	5	3
18	тех или иных	1	3
19	и тем самым	2	3
20	в этом случае	1	3
21	но все же	2	3
22	в той же	2	3
23	в самом деле	5	2
24	есть не что	1	2
25	может показаться что	1	2
26	и в сознании	1	2
27	все то что	1	2
28	чуть ли не	1	2
29	речевого общения в	2	2
30	вместе с тем	5	2
31	точном смысле этого	1	2
32	мы видим что	1	2
33	не может быть	11	2
34	по отношению к	4	2
35	и преломляется в	1	2
36	мы увидим что	1	2
37	и как бы	1	2
38	связи с этим	4	2
39	но при этом	1	2
40	что было в	1	2
41	не что иное	1	2
42	содержание и форму	1	2
43	смысле этого слова	4	2
44	что перед нами	2	2
45	но в то	3	2
46	с тем и	2	2
47	зависимости от того	1	2
48	и в то	4	2
49	возникновения и развития	1	2
50	у нас не	3	2
51	равно как и	1	2
52	в точном смысле	1	2
53	как мы увидим	3	2
54	в связи с	9	2
55	к тому что	3	2
56	понимать друг друга	1	2
57	что иное как	1	2
58	что же такое	1	2
59	в этом отношении	7	2
60	в значительной степени	3	2
61	тот или иной	1	2
62	или хотя бы	1	2
63	ничего не останется	2	2
64	каждое из этих	1	1
65	так и от	1	1
66	в том что	3	1
67	в том и	1	1
68	таким образом мы	1	1
69	совершенно иной но	1	1
70	мы наблюдаем в	1	1
71	ни на минуту	1	1
72	значение лишь в	1	1
73	мы уже знаем	1	1
74	но вместе с	1	1
75	происходит и в	1	1
76	отношение к миру	2	1
77	на другого человека	1	1
78	в большинстве случаев	5	1
79	как и от	1	1
80	но все эти	2	1
81	ни на кого	2	1
82	по крайней мере	1	1
83	как материал для	1	1
84	в социальной жизни	2	1
85	знаки идеологического общения	1	1
86	и в особенности	1	1
87	ничем не связанных	2	1
88	иное значение лишь	1	1
89	ни на один	2	1
90	в собственном смысле	1	1
91	или иное значение	2	1
92	образом мы приходим	1	1
93	в гораздо большей	1	1
94	хотя бы и	1	1
95	что же делает	1	1
96	в жизни и	1	1
97	как и в	1	1
98	и во всех	1	1
99	тем не менее	2	1
100	в процессе развития	1	1
101	можно говорить лишь	1	1
102	только в том	1	1
103	в своем развитии	1	1
104	было говорить о	2	1
105	в ней как	1	1
106	в литературном произведении	2	1
107	гораздо большей степени	1	1
108	при этом не	2	1
109	особое место в	2	1
110	более или менее	7	1
111	и всякий идеологический	1	1
112	по сравнению с	1	1
113	таким образом в	1	1
114	но даже и	2	1
115	на этот вопрос	1	1
116	тем что его	1	1
117	не останется как	1	1
118	мы приходим к	1	1
119	на один из	1	1
120	бы совершенно иной	1	1
121	именно так и	1	1
122	не говоря уже	1	1
123	которая могла бы	1	1
124	что же останется	1	1
125	в том насколько	1	1
126	имеет первостепенное значение	1	1
127	до сих пор	7	1
128	форм и типов	2	1
129	этого слова мы	1	1
130	с помощью которого	1	1
131	того что было	1	1
132	же время и	2	1
133	конечно таким же	1	1
134	иметь в виду	1	1
135	отражающих и преломляющих	1	1
136	прежде всего мы	1	1
137	здесь нет и	1	1
138	тем же самым	1	1
139	чтобы убедиться в	2	1
140	как и всякий	1	1
141	не должен забывать	1	1
142	между этими двумя	2	1
143	и от всех	1	1
144	как материалом для	1	1
145	вполне понятно что	1	1
146	мы имеем в	1	1
147	должно было быть	1	1
148	по себе не	1	1
149	отражается и преломляется	1	1
150	в пределах одного	1	1
151	и переживания по	1	1
152	основные направления его	1	1
153	через нее и	1	1
154	не только на	1	1
155	не только не	2	1
156	хотя бы в	4	1
157	влияние и на	2	1
158	прежде всего у	1	1
159	во всех их	1	1
160	не может не	1	1
161	в высшей степени	4	1
162	противоречия и конфликты	1	1
163	как раз и	4	1
164	тем что он	1	1
165	свою очередь определяет	1	1
166	между тем в	1	1
167	мы увидим дальше	1	1
168	вовсе не является	1	1
169	та или иная	1	1
170	языка и не	1	1
171	минуту не должен	1	1
172	в нем и	2	1
173	на минуту не	1	1
174	ведь может показаться	1	1
175	с другой стороны	4	1
176	этого еще мало	1	1
177	в самом широком	1	1
178	не может ведь	1	1
179	должен был бы	1	1
180	в виду что	1	1
181	нет и не	2	1
182	другого человека на	1	1
183	всего того что	1	1
184	слово как таковое	1	1
185	мы не можем	3	1
186	в последнем счете	2	1
187	теми или иными	1	1
188	и не может	5	1
189	если же он	1	1
190	и в этом	6	1
191	отнюдь не является	1	1
