N	4gram	Bakhtin_Pr	Hudozhes
1	в то же время	8	7
2	состоит в том что	1	4
3	мы имеем в виду	3	3
4	одно и то же	1	3
5	и не могло быть	1	2
6	в том числе и	13	2
7	в той или иной	1	2
8	и в то же	3	2
9	углом они сопоставлены или	1	1
10	в более или менее	1	1
11	не было и не	1	1
12	новый модус взаимоотношений человека	1	1
13	не что иное как	1	1
14	том под каким диалогическим	1	1
15	каким диалогическим углом они	1	1
16	было и не могло	1	1
17	они сопоставлены или противопоставлены	1	1
18	собственного сознания а в	1	1
19	наличии определенных языковых стилей	1	1
20	в том под каким	1	1
21	но в таком случае	1	1
22	той или иной форме	1	1
23	провозглашает веселую относительность всего	1	1
24	в этом смысле можно	1	1
25	или противопоставлены в произведении	1	1
26	не в самом наличии	1	1
27	определенных языковых стилей социальных	1	1
28	можно даже сказать что	1	1
29	с самим собою в	1	1
30	по отношению к нему	1	1
31	в таком случае это	1	1
32	модус взаимоотношений человека с	1	1
33	дело не в самом	1	1
34	в самом наличии определенных	1	1
35	диалогическим углом они сопоставлены	1	1
36	с точки зрения логики	1	1
37	во всей своей полноте	1	1
38	под каким диалогическим углом	1	1
39	самом наличии определенных языковых	1	1
40	в преступлении и наказании	4	1
41	сопоставлены или противопоставлены в	1	1
42	то же время оно	1	1
43	но в то же	3	1
44	взаимоотношений человека с человеком	1	1
45	одним и тем же	1	1
46	вольный фамильярный контакт между	1	1
47	мы имеем дело с	1	1
48	языковых стилей социальных диалектов	1	1
49	уходит своими корнями в	1	1
50	есть не что иное	1	1
