N	4gram	Trubetskoy	Marksizm
1	в то же время	2	15
2	бы то ни было	2	12
3	одного и того же	1	9
4	но в то же	1	9
5	все более и более	1	3
6	один и тот же	1	3
7	в том числе и	4	3
8	с нашей точки зрения	1	2
9	в том или ином	1	2
10	из одного и того	1	2
11	в самом деле если	1	2
12	с этой точки зрения	2	1
13	но тем не менее	1	1
14	так обстоит дело с	1	1
15	вместе с тем и	1	1
16	указывает на то что	1	1
17	и того же материала	1	1
18	ни к чему не	1	1
19	а вместе с тем	1	1
20	в связи с тем	1	1
21	тем не менее совершенно	1	1
22	в данном случае мы	1	1
23	с целью найти в	1	1
24	что один и тот	1	1
25	свидетельствует о том что	1	1
26	то же время он	1	1
27	до сих пор не	1	1
28	целью найти в нем	1	1
