N	3gram	Bakhtin_sl	KulturaY
1	и т п	49	93
2	и т д	7	42
3	для того чтобы	1	38
4	с точки зрения	11	36
5	в том что	4	33
6	можно было бы	2	25
7	тем не менее	2	19
8	во всяком случае	7	19
9	с другой стороны	5	17
10	в зависимости от	4	16
11	в русском языке	1	15
12	до сих пор	4	14
13	по отношению к	2	13
14	по крайней мере	1	13
15	в связи с	2	12
16	не может быть	11	11
17	в этом отношении	2	11
18	о том что	2	10
19	того или иного	2	9
20	не только в	3	8
21	в этом случае	4	8
22	т п и	1	7
23	в свою очередь	3	7
24	с одной стороны	7	7
25	хотя бы и	5	6
26	в отличие от	12	6
27	то же время	15	6
28	той или иной	13	6
29	этой точки зрения	1	6
30	в то же	15	6
31	т п но	2	6
32	в свое время	1	6
33	то или иное	1	5
34	с этой точки	1	5
35	так и в	5	5
36	речь идет о	1	5
37	более или менее	5	5
38	в данном случае	3	5
39	т п все	1	5
40	и в этом	2	5
41	но все же	1	5
42	т п в	2	5
43	как мы видели	2	5
44	мы говорим о	1	4
45	так или иначе	1	4
46	том что он	1	4
47	в первом случае	2	4
48	все же и	1	4
49	а в том	1	4
50	к тому что	2	4
51	в том и	2	4
52	на то что	1	4
53	именно в том	1	4
54	на этой почве	1	3
55	о котором идет	1	3
56	тех или иных	1	3
57	к языку как	1	3
58	в известном смысле	2	3
59	точки зрения на	4	3
60	те или иные	4	3
61	или меньшей степени	3	3
62	сама по себе	2	3
63	большей или меньшей	5	3
64	ни в какой	1	3
65	мы увидим что	1	3
66	в виду не	1	3
67	т п так	1	3
68	и не в	1	3
69	в то время	2	3
70	в большей или	3	3
71	в противном случае	1	3
72	в лучшем случае	3	3
73	не только как	1	3
74	в письменной речи	1	3
75	и в той	1	3
76	не могут быть	3	3
77	в какой мере	1	3
78	языка в его	1	3
79	уже не только	2	3
80	но с другой	1	3
81	что он не	1	2
82	в той или	12	2
83	как раз на	1	2
84	рано или поздно	2	2
85	это не значит	2	2
86	свое выражение в	3	2
87	и прежде всего	1	2
88	в применении к	1	2
89	а следовательно и	2	2
90	эта установка на	2	2
91	в большинстве случаев	11	2
92	уже не в	1	2
93	можно рассматривать с	1	2
94	и в другом	2	2
95	у нас в	1	2
96	в собственном смысле	2	2
97	не выходит за	3	2
98	вовсе не в	1	2
99	в том числе	1	2
100	и то же	2	2
101	может быть только	3	2
102	сами по себе	1	2
103	то же слово	2	2
104	как например в	1	2
105	выйти за пределы	1	2
106	иметь в виду	1	2
107	которые в таком	1	2
108	между тем как	1	2
109	п все это	1	2
110	и с ним	1	2
111	слов и выражений	1	2
112	и в то	6	2
113	каждый данный момент	4	2
114	хотя и не	1	2
115	а не с	1	2
116	и там где	5	2
117	том что оно	1	2
118	бы то ни	1	2
119	не должно быть	1	2
120	и в том	2	2
121	в одном из	1	2
122	лишь тогда когда	2	2
123	в узком смысле	13	2
124	в каждый данный	5	2
