N	2gram	Medvedev_V	formyVre
1	и в	2	148
2	в этом	1	73
3	и не	1	37
4	и его	1	36
5	то же	1	32
6	только в	1	23
7	в том	2	22
8	по существу	1	18
9	так как	1	17
10	в конце	2	14
11	все это	1	14
12	в самом	1	13
13	в их	1	13
14	в частности	1	13
15	время в	1	12
16	потому что	1	12
17	том что	2	9
18	и то	1	8
19	к этому	1	7
20	том же	1	7
21	именно в	1	6
22	в которых	1	6
23	хотя бы	1	5
24	одно и	1	5
25	далеко не	1	5
26	да и	1	5
27	и почти	1	5
28	и только	1	5
29	в другом	1	4
30	для них	1	4
31	и т.д	1	4
32	так в	1	4
33	на одном	1	4
34	тем более	1	4
35	с большой	1	4
36	говорили в	1	3
37	другом месте	1	3
38	все время	1	3
39	под влиянием	1	3
40	главным образом	1	3
41	все то	1	3
42	ни к	1	3
43	в значительной	1	3
44	не будем	1	3
45	но это	1	3
46	дело в	1	3
47	чего не	1	2
48	ясно что	1	2
49	я не	1	2
50	а только	1	2
51	чем больше	1	2
52	даже не	1	2
53	они на	1	2
54	самом деле	1	2
55	от других	1	2
56	и том	1	2
57	ведь это	1	2
58	и составляет	1	1
59	речи и	1	1
60	все дело	1	1
61	других и	1	1
62	гораздо более	1	1
63	значительной степени	1	1
64	как же	1	1
65	этом и	1	1
66	по своим	1	1
67	по поводу	1	1
68	же все	1	1
69	в устах	1	1
70	как говорили	1	1
71	бы уже	1	1
72	теснейшим образом	1	1
73	одном и	1	1
74	ведь дело	1	1
75	сводится к	1	1
76	к созданию	1	1
77	же месте	1	1
78	здесь достаточно	1	1
79	имеется в	1	1
80	совершенно ясно	1	1
81	в теории	1	1
82	конце концов	2	1
83	вращаясь в	1	1
84	говоря о	1	1
85	старых и	1	1
