N	2gram	Bakhtin_sl	Myshleni
1	в том	7	195
2	внутренней речи	3	191
3	в этом	21	167
4	то что	2	166
5	и в	69	162
6	том что	6	161
7	таким образом	16	147
8	точки зрения	24	143
9	с помощью	5	131
10	что в	3	119
11	мышления и	6	117
12	не только	37	116
13	того что	4	109
14	в процессе	14	101
15	так же	2	100
16	речи и	4	99
17	и речи	4	96
18	потому что	2	95
19	того чтобы	1	91
20	может быть	40	89
21	с точки	11	89
22	что он	2	86
23	не может	27	81
24	как и	8	79
25	для того	2	78
26	так как	7	78
27	и не	32	78
28	только в	9	75
29	в целом	3	74
30	как мы	15	72
31	речи в	5	70
32	но и	37	70
33	заключается в	1	67
34	в его	19	67
35	сказать что	4	65
36	как бы	16	64
37	вместе с	3	62
38	и что	2	60
39	было бы	3	60
40	письменной речи	1	60
41	в качестве	4	60
42	то же	17	58
43	в основе	8	58
44	в отношении	9	55
45	могли бы	2	54
46	между собой	3	53
47	что мы	1	53
48	в самом	6	52
49	в сущности	18	51
50	к тому	3	49
51	что они	2	48
52	тем что	1	48
53	мы можем	1	48
54	тогда когда	2	47
55	мы не	4	47
56	внутренняя речь	1	47
57	если бы	1	46
58	по отношению	2	45
59	но не	7	45
60	с другой	8	45
61	же как	2	43
62	тому что	2	42
63	как это	3	42
64	отношению к	2	42
65	не является	3	41
66	о том	5	40
67	по своей	2	40
68	одной стороны	7	40
69	никогда не	9	39
70	с одной	7	39
71	так и	22	39
72	мы видели	3	38
73	в области	1	38
74	и к	9	37
75	если мы	2	37
76	мы видим	2	37
77	не в	14	37
78	в этой	1	37
79	с самого	1	36
80	в своем	9	36
81	речи как	3	36
82	все эти	15	36
83	самого начала	1	36
84	как в	18	36
85	а не	29	36
86	и его	45	36
87	того же	7	35
88	с другом	2	35
89	можно было	2	35
90	в себе	3	35
91	в которой	4	35
92	друг с	2	35
93	он не	5	35
94	связи с	4	34
95	и как	3	34
96	приводит к	2	34
97	прежде всего	14	33
98	при этом	12	33
99	по себе	4	33
100	письменная речь	1	33
101	именно в	5	32
102	и на	17	32
103	той же	3	32
104	что оно	4	32
105	по своему	2	32
106	что и	2	32
107	и тем	3	32
108	но в	13	32
109	слова и	21	32
110	развития и	1	31
111	все же	10	31
112	и то	2	31
113	мысли и	1	30
114	на то	2	30
115	этом отношении	2	30
116	этого слова	2	29
117	между тем	5	29
118	как известно	1	29
119	могут быть	25	29
120	от того	1	29
121	с этим	5	28
122	к слову	2	28
123	с этой	3	27
124	в результате	4	27
125	другой стороны	5	27
126	этом случае	4	27
127	в то	17	27
128	и с	10	27
129	в своей	8	27
130	что все	2	27
131	речи но	2	27
132	перед нами	7	27
133	в их	6	26
134	в собственном	2	26
135	собственном смысле	2	26
136	для него	8	26
137	в частности	3	26
138	в чем	2	25
139	что она	1	25
140	еще не	9	25
141	уже в	2	25
142	все это	14	25
143	можно сказать	2	25
144	только не	2	25
145	мы уже	4	25
146	это не	8	25
147	в смысле	7	24
148	тот же	1	24
149	зависимости от	4	24
150	целый ряд	2	24
151	в сфере	2	24
152	на этот	1	24
153	того как	2	24
154	в какой	2	24
155	так что	2	24
156	в нем	44	24
157	в слове	11	24
158	оба эти	1	24
159	как уже	2	24
160	друг друга	3	23
161	речи к	1	23
162	речи с	1	23
163	бы в	1	23
164	ни в	4	23
165	как он	2	23
166	слова в	19	23
167	во всяком	9	22
168	уже сказано	2	22
169	не могут	7	22
170	то время	2	22
171	столь же	2	22
172	в известном	2	22
173	в зависимости	4	22
174	между ними	2	21
175	человеческой речи	2	21
176	к этому	3	21
177	и следовательно	8	21
178	и ее	3	21
179	с таким	3	21
180	на основании	1	21
181	в нашем	1	21
182	его в	7	21
183	все время	4	21
184	в свете	3	21
185	там где	10	21
186	и все	9	21
187	в истории	6	21
188	в сознании	3	21
189	и более	3	21
190	мышлении и	1	21
191	отношение к	8	21
192	в виду	2	20
193	не менее	4	20
194	в котором	2	20
195	в другом	4	20
196	из них	3	20
197	время как	2	20
198	речь и	3	20
199	из этих	3	20
200	и других	5	20
201	а в	10	20
202	как раз	3	20
203	на этом	4	20
204	должно быть	3	20
205	речи не	2	20
206	по существу	3	20
207	и их	6	20
208	но мы	2	19
209	в связи	2	19
210	во всех	25	19
211	а с	2	19
212	и по	3	19
213	один из	9	19
214	но если	1	19
215	независимо от	1	19
216	в данном	5	19
217	в той	13	19
218	мы и	2	19
219	словом и	9	19
220	как на	1	19
221	с ним	12	19
222	внутреннюю речь	1	19
223	в себя	3	19
224	мы говорили	2	19
225	речь в	2	19
226	во всем	3	18
