N	2gram	Voloshinov	BTomashe
1	у нас	4	3
2	все это	4	2
3	в ней	5	2
4	можно было	2	2
5	и не	42	2
6	вопрос о	6	1
7	говорить о	2	1
8	творчества и	1	1
9	о них	1	1
10	забывать что	1	1
11	со всем	1	1
12	и нет	1	1
13	не только	18	1
14	всего в	1	1
15	таким образом	29	1
16	не было	6	1
17	прежде всего	19	1
18	бы только	1	1
19	и в	32	1
20	на самом	10	1
21	так и	21	1
22	на которой	1	1
23	оно сплошь	1	1
24	по теории	1	1
25	в своей	5	1
26	во всяком	8	1
27	и потому	7	1
28	и во	2	1
29	также что	1	1
30	по нашему	1	1
31	за пределы	8	1
32	говорить об	2	1
33	же не	2	1
34	по крайней	1	1
35	как часть	1	1
36	в речи	1	1
37	с другой	6	1
38	значение слова	1	1
39	такое определение	1	1
40	точке зрения	2	1
41	совершенно не	6	1
42	не о	1	1
43	другой стороны	7	1
44	и полнее	1	1
45	крайней мере	1	1
46	всяком случае	4	1
47	кроме того	7	1
48	было бы	8	1
49	установка на	2	1
50	не следует	2	1
51	достаточно точно	1	1
52	и ее	4	1
53	одной из	5	1
54	в значительной	3	1
55	из ее	1	1
56	в пределах	7	1
57	в данном	8	1
58	теоретической и	1	1
59	должна быть	6	1
60	самостоятельная и	1	1
61	в области	3	1
62	является только	2	1
63	далеко не	5	1
64	тем более	3	1
65	еще лучше	1	1
66	то как	2	1
67	короче говоря	1	1
68	и более	6	1
69	что все	3	1
70	не все	3	1
71	значительной степени	3	1
72	его не	2	1
73	не учтен	1	1
74	и полно	1	1
75	от значения	2	1
76	также не	1	1
77	а не	15	1
78	отнюдь не	14	1
79	до конца	6	1
80	как всякий	1	1
81	не укладывается	1	1
82	и на	8	1
83	выходит за	1	1
84	по отдельным	1	1
85	между ними	6	1
86	еще не	7	1
87	к ней	1	1
88	все же	13	1
89	что в	5	1
