N	3gram	Tiupa_Narr	EvropaiE
1	с точки зрения	2	16
2	в то же	3	15
3	то же время	3	14
4	и в то	1	8
5	с одной стороны	7	8
6	в том что	8	6
7	так же как	2	5
8	этой точки зрения	2	5
9	с этой точки	1	5
10	того или иного	2	4
11	той или иной	4	4
12	само по себе	1	4
13	не только в	2	4
14	то ни было	3	4
15	бы то ни	3	4
16	друг с другом	1	3
17	в той или	2	3
18	можно было бы	2	3
19	в этом смысле	1	3
20	же как и	1	3
21	ту или иную	2	3
22	можно сказать что	4	3
23	и прежде всего	1	3
24	в известном смысле	2	3
25	в этом отношении	3	3
26	так и в	1	2
27	прежде всего к	1	2
28	как мы видели	1	2
29	не может быть	5	2
30	в данном случае	4	2
31	прежде всего в	1	2
32	по себе не	1	2
33	к тому чтобы	1	2
34	друг от друга	1	2
35	очевидно что в	1	2
36	в свою очередь	3	2
37	с другой стороны	4	2
38	или хотя бы	1	2
39	настоящего времени в	1	1
40	быть сведена к	1	1
41	не имеет значения	1	1
42	следует отметить что	1	1
43	качестве одной из	1	1
44	и не быть	1	1
45	и с точки	1	1
46	то есть в	2	1
47	дело в том	1	1
48	к тому или	1	1
49	так и для	1	1
50	речь идет о	2	1
51	не сводится к	2	1
52	то или иное	2	1
53	может быть сведена	1	1
54	или иной степени	1	1
55	том числе и	4	1
56	в качестве одной	1	1
57	качестве одного из	1	1
58	тех или иных	1	1
59	и тем более	1	1
60	и тем самым	3	1
61	в соответствии с	1	1
62	не кто иной	1	1
63	в отличие от	5	1
64	в себе не	1	1
65	как же обстоит	1	1
66	и того же	1	1
67	но само по	1	1
68	один и тот	1	1
69	не может не	2	1
70	его жизни но	1	1
71	в связи с	2	1
72	и не в	4	1
73	в том же	1	1
74	и тот же	1	1
75	же время в	1	1
76	только в качестве	1	1
77	и не было	1	1
78	в том числе	6	1
79	выступает в качестве	1	1
80	даже вовсе не	1	1
81	поскольку речь идет	1	1
82	то есть к	1	1
83	же обстоит дело	1	1
84	что в этом	1	1
85	более или менее	2	1
86	независимо от того	1	1
87	в значительной степени	2	1
88	кто иной как	1	1
89	в качестве одного	1	1
90	но от этого	1	1
91	в западной европе	1	1
92	к тому же	4	1
93	совершенно очевидно что	1	1
94	одного и того	1	1
95	а также и	1	1
96	может быть и	1	1
