N	4gram	Propp_Isto	Marksizm
1	на самом же деле	1	5
2	и не может быть	1	5
3	одной и той же	2	3
4	в связи с этим	1	3
5	с нашей точки зрения	1	2
6	так же как и	3	2
7	и в большинстве случаев	1	2
8	несмотря на то что	1	2
9	с этой точки зрения	1	1
10	но тем не менее	2	1
11	иначе обстоит дело с	1	1
12	не что иное как	6	1
13	имеют ничего общего с	1	1
14	мы не будем останавливаться	1	1
15	в свою очередь отражает	1	1
16	то же самое что	1	1
17	указывает на то что	1	1
18	во всех этих случаях	1	1
19	если бы это был	1	1
20	а в связи с	1	1
21	в каких формах осуществляется	1	1
22	в тех случаях когда	2	1
23	некоторые относящиеся сюда случаи	1	1
24	с другой стороны и	3	1
25	в соответствии с этим	1	1
26	на смену ему приходит	1	1
27	узком смысле этого слова	1	1
28	в узком смысле этого	1	1
29	ту роль которую в	1	1
30	это не совсем так	1	1
31	но и здесь мы	1	1
32	не будем останавливаться на	1	1
33	и как мы видели	1	1
34	до сих пор не	1	1
35	мы не будем здесь	1	1
36	не имеют ничего общего	1	1
