N	3gram	Berdyaev_V	Problema
1	в том что	2	37
2	и т д	2	33
3	по крайней мере	1	26
4	с другой стороны	1	25
5	в конце концов	1	23
6	то что мы	3	15
7	и в этом	1	12
8	бы то ни	1	11
9	вместе с тем	1	10
10	т д и	1	9
11	то и другое	1	9
12	д и т	1	8
13	но и в	2	7
14	так и в	1	6
15	есть прежде всего	1	6
16	хотя бы и	1	5
17	потому что оно	1	5
18	да и то	1	5
19	том что он	2	5
20	и вместе с	1	4
21	но все же	1	4
22	то ни стало	1	4
23	во что бы	1	4
24	и во всяком	1	4
25	и не было	1	4
26	что бы то	1	4
27	есть то что	1	4
28	во всем мире	1	3
29	к тому что	3	3
30	за то что	3	3
31	как и в	1	3
32	по сравнению с	1	3
33	и есть то	1	3
34	и никогда не	1	3
35	в известном смысле	1	3
36	не в силах	2	3
37	в одно целое	1	3
38	после того как	1	3
39	в сознании и	1	2
40	и что в	1	2
41	не могли бы	1	2
42	для себя своего	1	2
43	все равно не	1	2
44	есть еще и	1	2
45	тем что они	1	2
46	и то и	1	2
47	имеет своим предметом	1	2
48	для человека как	1	1
49	есть идея в	1	1
50	оно не имеет	1	1
51	и для человеческого	1	1
52	людей но и	1	1
53	и все это	1	1
54	так как она	1	1
55	а между тем	2	1
56	познания добра и	2	1
57	в прошлом и	1	1
58	в существе своем	2	1
59	и в вопросе	1	1
60	того что он	1	1
61	в этих словах	1	1
62	не имеет никакой	1	1
63	вслед за ним	1	1
64	на земле то	1	1
65	и можно ли	1	1
66	если оно не	1	1
67	добра и зла	2	1
68	легенда о великом	2	1
69	все тот же	2	1
70	с тем чтобы	1	1
71	им что они	1	1
72	в вопросе о	2	1
73	бы и не	2	1
74	в легенде о	1	1
75	и над ними	2	1
76	это одна из	1	1
77	и в сознании	1	1
78	в жизни и	1	1
79	мы же говорим	1	1
80	жизни в этом	1	1
81	но и тут	1	1
82	уже и не	1	1
83	и не любят	1	1
84	как бы и	2	1
85	самого себя и	1	1
86	не могут быть	1	1
87	тысячи лет назад	1	1
88	раз и навсегда	1	1
89	и они будут	1	1
90	еще не был	1	1
91	свою роль в	1	1
92	сознания так и	1	1
93	жизни и потому	1	1
94	о небе и	1	1
95	к людям и	1	1
96	любви к людям	1	1
97	о великом инквизиторе	4	1
98	то что я	2	1
99	все что было	1	1
