N	4gram	Voloshinov	Problemy
1	в то же время	1	26
2	но в то же	1	11
3	одно и то же	2	3
4	но тем не менее	1	2
5	с точки зрения своего	1	2
6	то же самое слово	1	1
7	выходит за пределы настоящей	1	1
8	в себя как свой	1	1
9	и то же слово	2	1
10	собственном смысле слова и	1	1
11	входит в нашу задачу	1	1
12	и не может быть	1	1
13	лишь с точки зрения	1	1
14	не может быть и	1	1
15	в собственном смысле слова	1	1
16	один и тот же	1	1
17	иметь в виду что	1	1
18	не чем иным как	2	1
19	и эта интонация в	1	1
20	не входит в нашу	1	1
21	на этом мы закончим	1	1
22	для него прежде всего	1	1
23	он и не является	1	1
24	ничего общего не имеет	1	1
25	во всей своей полноте	1	1
26	может быть и речи	1	1
27	него не может быть	1	1
