N	3gram	Vinokur_Vv	StatiiOP
1	в том что	15	47
2	и т д	39	32
3	о том что	13	29
4	в этом отношении	4	24
5	для того чтобы	22	19
6	до сих пор	7	19
7	и т п	5	19
8	с точки зрения	4	14
9	с другой стороны	5	13
10	во всяком случае	5	13
11	то обстоятельство что	1	11
12	не может быть	10	11
13	в самом деле	6	9
14	то же время	6	9
15	вместе с тем	3	9
16	в то же	6	9
17	дело в том	3	9
18	можно было бы	4	9
19	тем не менее	9	8
20	к тому что	1	8
21	на самом деле	1	8
22	не только в	4	8
23	не в том	2	7
24	в конце концов	2	7
25	в данном случае	4	7
26	но также и	10	7
27	в данном отношении	2	7
28	по этому поводу	3	7
29	но все же	4	7
30	заключается в том	3	7
31	и в этом	4	7
32	том что он	1	7
33	так же как	1	6
34	по отношению к	4	6
35	в этом смысле	10	6
36	том что в	1	6
37	по крайней мере	4	6
38	в том смысле	1	6
39	в том отношении	3	6
40	т д но	5	6
41	вопрос о том	5	6
42	в том же	1	5
43	нужно сказать что	1	5
44	с тем что	3	5
45	но и в	1	5
46	тем что в	1	5
47	в том чтобы	5	5
48	как раз в	1	5
49	в свое время	3	5
50	что же касается	2	5
51	то что в	1	5
52	тот факт что	1	5
53	в начале xix	2	5
54	с самого начала	1	5
55	обратить внимание на	2	5
56	после того как	2	5
57	мере в какой	6	4
58	в применении к	6	4
59	том отношении что	3	4
60	и творчества пушкина	1	4
61	дело не в	1	4
62	ставит себе целью	1	4
63	так или иначе	4	4
64	с одной стороны	4	4
65	тем или иным	2	4
66	жизни и творчества	2	4
67	в связи с	2	4
68	в другом месте	2	4
69	достаточно для того	1	4
70	того или иного	1	4
71	и в самом	3	4
72	на вопрос о	4	4
73	на тему о	1	4
74	и в том	4	4
75	в предисловии к	1	4
76	на эту тему	1	4
77	ответ на вопрос	2	3
78	только потому что	1	3
79	том смысле что	1	3
80	в той мере	6	3
81	что в ней	1	3
82	из этих двух	1	3
83	в том как	1	3
84	себе отчет в	1	3
85	можно сказать что	3	3
86	то или иное	1	3
87	говоря уже о	1	3
88	в том числе	1	3
89	не значит что	1	3
