N	3gram	Propp_Morf	EvropaiC
1	в том что	4	16
2	до сих пор	1	15
3	по отношению к	7	11
4	друг с другом	1	9
5	с точки зрения	6	8
6	более или менее	2	8
7	на то что	3	7
8	для того чтобы	3	7
9	на самом деле	4	7
10	а и в	1	7
11	сих пор не	1	5
12	не может быть	9	4
13	о том что	3	4
14	тем не менее	6	4
15	с другой стороны	5	4
16	в том случае	3	4
17	в этом случае	10	4
18	том случае если	2	4
19	в этой области	1	4
20	может быть и	2	4
21	в настоящее время	3	3
22	то ни было	2	3
23	в данном случае	2	3
24	в связи с	9	3
25	бы то ни	3	3
26	ответить на вопрос	1	2
27	в свою очередь	1	2
28	том что все	1	2
29	во всяком случае	2	2
30	и может быть	1	2
31	во всех этих	1	2
32	друг на друга	2	2
33	многие из таких	1	2
34	не более как	1	2
35	что же касается	1	2
36	он не может	1	2
37	как и в	3	2
38	в то время	3	2
39	в то же	1	2
40	но и его	1	2
41	заметим кстати что	1	2
42	том что он	1	2
43	в высшей степени	1	2
44	но все же	4	2
45	с одной стороны	2	2
46	то же время	1	2
47	как бы то	1	2
48	но так как	2	2
49	при таких условиях	1	2
50	что несмотря на	1	2
51	друг к другу	2	2
52	а в с	1	1
53	целый ряд вопросов	1	1
54	в научной литературе	2	1
55	таким образом мы	7	1
56	которые не могут	1	1
57	мы уже знаем	1	1
58	та же участь	1	1
59	что он может	1	1
60	а на самом	1	1
61	те элементы которые	1	1
62	на русском языке	1	1
63	мы видим что	11	1
64	а для того	1	1
65	на друга что	1	1
66	говорили лишь о	1	1
67	поясним нашу мысль	1	1
68	этой точки зрения	1	1
69	совершенно ясно что	1	1
70	с этой точки	1	1
71	во всей своей	1	1
72	могут рассматриваться как	1	1
73	то для того	1	1
74	точно так же	2	1
75	лишь о тех	1	1
76	лишь при помощи	1	1
77	только в том	1	1
78	или вовсе не	1	1
79	в этом и	1	1
80	независимо от того	4	1
81	мы можем определить	1	1
82	между тем мы	1	1
83	возможны три случая	1	1
84	состоит в том	3	1
85	должны рассматриваться как	2	1
86	во многих отношениях	1	1
87	хотя и не	2	1
88	так как эта	1	1
89	ни одна из	1	1
90	и что следовательно	1	1
91	иметь в виду	1	1
92	о том кто	1	1
93	нет а есть	1	1
94	одно и то	1	1
95	можно было бы	2	1
96	все эти вопросы	1	1
97	и таким образом	2	1
98	надо сказать что	1	1
99	в том или	1	1
100	которые могут быть	1	1
101	и в нашем	1	1
102	а потому что	1	1
103	с самого начала	1	1
104	образом мы видим	4	1
105	и то же	1	1
106	стоит в связи	1	1
107	тех случаях когда	2	1
108	тем что она	1	1
109	первый взгляд кажется	1	1
110	на первый взгляд	3	1
111	ясно что и	1	1
112	и затем уже	1	1
113	дело идет об	1	1
114	между тем в	1	1
115	взгляд кажется что	1	1
116	с тех пор	1	1
117	к тому что	4	1
118	правильнее было бы	1	1
119	вместо того чтобы	1	1
120	с тем как	1	1
121	мало того ведь	1	1
122	мы говорили лишь	1	1
123	приводит к тому	1	1
124	является одним из	1	1
125	из которых каждый	1	1
126	и пр эта	1	1
127	для этой цели	1	1
128	то время как	3	1
129	самого начала в	1	1
130	в тех случаях	2	1
131	по тем же	1	1
132	в другом случае	1	1
133	они вступают в	1	1
134	это было бы	1	1
