N	4gram	Medvedev_V	Vladivir
1	в то же время	5	9
2	и в то же	3	5
3	в то время как	1	5
4	не говоря уже о	1	4
5	и вместе с тем	1	4
6	только в том случае	1	3
7	с его точки зрения	1	2
8	говоря уже о том	1	2
9	уже о том что	1	2
10	с одной стороны и	2	2
11	одно и то же	1	2
12	не имеет ничего общего	1	2
13	но вместе с тем	1	2
14	в том случае если	1	2
15	к н н страхову	1	2
16	имеет ничего общего с	1	2
17	но в то же	1	2
18	до сих пор не	1	2
19	письме к н н	1	1
20	с этой точки зрения	1	1
21	в силу чего он	1	1
22	уже по одному тому	2	1
23	в письме к н	2	1
24	а в том что	1	1
25	в каждой из этих	1	1
26	нет и не может	1	1
27	письме к а а	1	1
28	мало чем отличается от	1	1
29	иметь в виду что	1	1
30	не чем иным как	1	1
31	из них не может	1	1
32	о том что и	1	1
33	мы имеем дело с	1	1
34	по этому поводу с	1	1
35	в письме к а	2	1
36	по одному тому что	2	1
37	сама по себе в	1	1
38	них не может быть	1	1
39	так же как и	1	1
40	говорит в письме к	1	1
41	еще из другого письма	1	1
42	и не может быть	2	1
43	не в том что	2	1
