N	3gram	Berdyaev_O	DiskursI
1	в том что	1	28
2	не может быть	2	12
3	по природе своей	1	10
4	о том что	1	9
5	в этом отношении	1	8
6	как и в	1	7
7	и все же	1	7
8	не в том	1	4
9	и прежде всего	1	4
10	и не может	1	4
11	как будто бы	1	3
12	в том случае	1	3
13	а не в	2	3
14	том что в	1	3
15	во всяком случае	1	3
16	заключает в себе	1	2
17	потому что в	1	2
18	в этом мире	2	2
19	в том плане	1	2
20	а не только	1	2
21	никогда не было	2	2
22	и в том	1	2
23	но и в	2	2
24	так и не	1	2
25	как и все	2	2
26	и то что	1	2
27	том случае если	1	2
28	прежде всего в	1	2
29	ошибочно было бы	1	1
30	в этот период	1	1
31	что же это	2	1
32	о том как	1	1
33	и заключается в	1	1
34	по сравнению с	1	1
35	не было и	1	1
36	веры а не	1	1
37	в самом деле	1	1
38	для того чтобы	3	1
39	в самую глубину	1	1
40	это не есть	1	1
41	у него в	5	1
42	в строгом смысле	1	1
43	человека а не	1	1
44	что у него	2	1
45	сам по себе	1	1
46	в иных случаях	1	1
47	может быть осуществлено	1	1
48	даже и в	1	1
49	в россии в	1	1
50	приходит в голову	1	1
51	преступление и наказание	1	1
52	в творчестве шекспира	1	1
53	в другом месте	1	1
54	в нем нет	3	1
55	и в этом	2	1
56	и не быть	1	1
57	притяжения и отталкивания	1	1
58	прежде всего он	1	1
59	на то что	1	1
60	одна из сторон	1	1
61	а иногда и	1	1
62	то что в	1	1
63	хотя и не	1	1
64	то к другому	1	1
65	не могут быть	2	1
66	как бы в	1	1
67	после того как	1	1
