N	2gram	Propp_Isto	Poddanst
1	не только	28	17
2	и в	40	14
3	и не	19	12
4	в области	2	11
5	в этом	13	10
6	в отношении	1	10
7	в том	12	9
8	то же	21	9
9	в качестве	8	9
10	но в	13	9
11	хотя бы	5	8
12	в пределах	4	8
13	только в	16	7
14	в обстановке	1	7
15	в то	4	7
16	е с	2	6
17	в ней	10	6
18	xix века	2	6
19	было бы	11	6
20	но и	21	6
21	и пр	11	5
22	может быть	37	5
23	с другой	8	5
24	не в	11	5
25	и о	1	5
26	в которых	2	5
27	в русской	7	4
28	и к	1	4
29	что в	19	4
30	в котором	5	4
31	по себе	4	4
32	и если	4	4
33	и потому	3	4
34	мы должны	17	4
35	на пути	2	4
36	не может	19	4
37	а в	15	4
38	то что	17	4
39	как бы	6	4
40	если бы	8	4
41	а также	2	4
42	в своем	5	4
43	том что	11	4
44	наряду с	6	3
45	в себе	6	3
46	что мы	9	3
47	ей в	2	3
48	с одной	8	3
49	мы не	12	3
50	это не	8	3
51	одной стороны	7	3
52	для того	1	3
53	между тем	2	3
54	хотя и	1	3
55	т е	30	3
56	е и	1	3
57	с тем	13	3
58	потому что	12	3
59	прежде всего	15	3
60	вслед за	7	3
61	сводится к	1	3
62	тем самым	2	3
63	сами по	1	3
64	но не	7	3
65	могут быть	5	3
66	и т	39	3
67	и как	3	3
68	с ними	2	3
69	столь же	2	3
70	в нем	8	3
71	д а	1	3
72	тот же	3	3
73	с этим	5	2
74	во всех	3	2
75	именно как	1	2
76	одних и	1	2
77	является в	1	2
78	и это	2	2
79	и других	1	2
80	в полной	1	2
81	и мы	2	2
82	которую мы	1	2
83	в европе	1	2
84	пути в	4	2
85	и вот	2	2
86	время в	2	2
87	в значительной	1	2
88	не будем	7	2
89	и дети	1	2
90	еще более	1	2
91	по-видимому не	1	2
92	по сравнению	1	2
93	каждый в	1	2
94	на этих	1	2
95	в ее	2	2
96	и тем	2	2
97	того что	6	2
98	никак не	1	2
99	как раз	2	2
100	в частности	3	2
101	в его	10	2
102	а не	18	2
103	нужно было	2	2
104	для нас	17	2
105	все это	6	2
106	в которую	3	2
107	говорить о	1	2
108	в тот	3	2
109	для них	1	2
110	и есть	5	2
111	стороны и	1	2
112	в русском	2	2
113	в виде	2	2
114	в них	2	2
115	не было	3	2
116	подошел к	1	2
117	сомнения что	1	2
118	ii в	1	2
119	к чему	4	2
120	и с	5	2
121	из важнейших	1	2
122	в начале	3	2
123	может ли	1	2
124	мысль о	2	2
125	главным образом	2	2
126	потому в	1	2
127	духа и	1	2
128	именно в	5	2
129	должно быть	2	2
130	в жизни	2	2
131	отношения к	2	2
132	современной европейской	1	2
133	друг другу	1	2
134	во всей	2	2
135	есть нечто	1	2
136	помнить что	1	2
137	в силу	7	2
138	в северной	2	2
139	одна из	4	2
140	между прочим	3	2
141	например в	7	2
142	не менее	7	2
143	не столько	1	2
144	отнюдь не	2	2
145	со стороны	3	2
146	да и	3	2
147	в эту	3	2
148	из них	5	2
149	есть не	2	2
150	и пусть	2	2
151	что из	1	2
152	к сожалению	3	1
153	были бы	2	1
154	как ненужные	1	1
155	говорится о	1	1
156	нет ничего	2	1
157	составляют часть	1	1
158	от нее	1	1
