N	3gram	Berdyaev_M	KulturaY
1	и т п	1	93
2	для того чтобы	4	38
3	с точки зрения	1	36
4	в том что	3	33
5	в самом деле	1	29
6	можно было бы	1	25
7	во всяком случае	1	19
8	в зависимости от	1	16
9	до сих пор	5	14
10	по отношению к	4	13
11	и в самом	3	11
12	не может быть	22	11
13	в этом отношении	1	11
14	о том что	3	10
15	вместе с тем	5	9
16	не в том	1	8
17	на самом деле	1	8
18	не только в	2	8
19	мере в какой	1	7
20	в той мере	1	7
21	той мере в	1	7
22	в том случае	1	7
23	после того как	2	7
24	хотя бы и	2	6
25	в отличие от	1	6
26	только тогда когда	1	6
27	потому что он	3	5
28	и в этом	1	5
29	т е в	1	5
30	не потому что	1	5
31	лишь в том	1	4
32	сам по себе	1	4
33	том что он	1	4
34	в иных случаях	1	4
35	смысле этого слова	1	4
36	но также и	2	4
37	к тому что	1	4
38	на то что	1	4
39	так же как	1	4
40	и тогда когда	1	3
41	в конце концов	3	3
42	и вместе с	4	3
43	есть вместе с	1	3
44	потому что не	1	3
45	в наше время	1	3
46	с тем что	3	3
47	сама по себе	1	3
48	не только для	1	3
49	от того что	4	3
50	в том смысле	2	3
51	мы увидим что	4	3
52	сплошь и рядом	1	3
53	все это не	1	3
54	к тому чтобы	2	3
55	в то время	2	3
56	что и в	3	3
57	и в той	1	3
58	не могут быть	2	3
59	том случае если	1	3
60	уже не только	2	3
61	что он не	3	2
62	в вопросе о	1	2
63	а может быть	1	2
64	это не значит	2	2
65	я и хочу	1	2
66	том смысле что	1	2
67	а следовательно и	1	2
68	не может уже	3	2
69	у нас нет	1	2
70	нельзя было бы	2	2
71	когда мы говорим	1	2
72	потому что она	2	2
73	должно быть в	1	2
74	потому что в	4	2
75	по природе своей	2	2
76	выйти за пределы	1	2
77	у нас все	1	2
78	между тем как	2	2
79	но для этого	2	2
80	на наших глазах	1	2
81	так как он	1	2
82	всего потому что	1	2
83	по сравнению со	1	2
84	и в том	1	2
85	тем что он	2	2
86	что не все	1	2
87	но он не	3	2
88	он должен быть	1	2
89	так и не	2	2
90	не до конца	2	2
91	прежде всего в	2	2
92	и той же	2	2
93	по сравнению с	2	2
94	трудно было бы	1	2
95	все те же	1	2
96	не что иное	4	2
97	одной и той	2	2
98	мы имеем в	1	2
99	в первый период	1	2
100	а вовсе не	1	2
101	что иное как	4	2
102	это потому что	1	2
103	также и в	2	2
104	как и всякая	1	2
105	если бы не	1	2
106	может быть и	2	2
107	в ней все	2	1
108	унес с собой	1	1
109	значит также и	1	1
110	в письме к	1	1
111	есть явление не	1	1
112	во многих других	1	1
113	что она не	1	1
114	это тем более	1	1
115	не потому ли	1	1
116	на том основании	2	1
117	всех русских писателей	1	1
118	живет такой человек?	1	1
119	для этого необходимо	2	1
120	потому что есть	2	1
121	в нынешнем его	1	1
122	он уже не	3	1
123	на том что	1	1
124	и это тем	1	1
125	и в нашем	1	1
126	между ними есть	1	1
127	я не люблю	1	1
128	только потому и	1	1
129	или нет в	1	1
130	не сам по	1	1
131	и в обществе	1	1
132	все что написано	1	1
133	был бы не	1	1
134	не значит что	1	1
135	но оно не	1	1
136	в начале xix	1	1
137	для себя и	1	1
138	потому и возможно	1	1
139	в братьях карамазовых	5	1
140	чтобы не было	1	1
141	это не есть	1	1
142	те которые в	1	1
143	и у других	1	1
144	они не могут	1	1
145	и мы увидим	1	1
146	но и с	1	1
147	которые могли бы	1	1
148	но не как	1	1
149	смысле в каком	2	1
150	а еще более	1	1
151	во втором случае	1	1
152	каждый раз когда	1	1
153	разных точек зрения	1	1
154	он не хотел	2	1
155	в которой протекает	1	1
156	ли сказать что	1	1
157	но не только	1	1
158	все более и	1	1
159	а также в	1	1
160	не в той	1	1
161	есть не что	3	1
162	он живет в	2	1
163	и есть путь	1	1
164	у самого себя	1	1
165	то же что	1	1
166	как в самом	1	1
167	у него было	1	1
168	бы и не	1	1
169	что он в	1	1
170	потому что природа	1	1
171	начале xix века	1	1
172	один из самых	4	1
173	того что составляет	1	1
174	не есть уже	3	1
175	об отношении между	1	1
176	том что в	1	1
177	и никогда не	3	1
178	обращено не к	1	1
179	основании что в	1	1
180	не имеет смысла	1	1
181	у них есть	1	1
182	это не было	3	1
183	и во многих	1	1
184	именно потому и	1	1
185	в дневнике писателя	4	1
186	было бы назвать	1	1
187	свои силы в	1	1
188	к которому он	1	1
189	духовной культуры в	1	1
190	в стороне от	1	1
191	в своей книге	2	1
192	на этом пути	4	1
193	через которые открываются	1	1
194	должно быть поставлено	1	1
195	для нас в	1	1
196	но это не	3	1
197	был бы уже	1	1
198	в значительной степени	2	1
199	берет на себя	1	1
200	но не менее	1	1
201	и в этой	5	1
202	и не может	2	1
203	только может быть	1	1
204	в них не	1	1
205	себя и для	1	1
206	он так и	1	1
207	из моментов в	1	1
208	он также и	1	1
209	том основании что	2	1
210	может уже быть	1	1
211	должны привести к	1	1
212	тем что выше	1	1
213	тем что в	1	1
214	с разных точек	1	1
215	есть один из	2	1
216	может быть интересна	1	1
217	одним из самых	1	1
218	но и в	4	1
219	в том только	1	1
220	не только от	1	1
221	мы говорим что	1	1
222	по своему значению	3	1
223	но она не	1	1
224	вполне и всецело	1	1
225	зачем живет такой	1	1
226	он принужден был	1	1
227	имеем в виду	1	1
228	но в нем	1	1
229	прежде всего вопросом	1	1
230	в такой степени	2	1
231	в себе и	2	1
232	в каждом человеке	2	1
233	как и в	2	1
234	во всей нашей	1	1
235	и не было	2	1
236	он мог бы	1	1
237	свою свободу и	3	1
238	хуже всего что	1	1
239	и в борьбе	1	1
240	всей нашей истории	1	1
241	ответ на это	1	1
242	более и более	1	1
243	не было для	2	1
244	можно ли сказать	1	1
245	то время как	2	1
246	и вот с	1	1
247	так как будто	1	1
248	не будет уже	1	1
249	говорить об этом	1	1
250	не было бы	5	1
251	что и это	1	1
252	в области литературной	1	1
253	одно из самых	2	1
254	всякий раз когда	1	1
255	но что это	1	1
256	тому как в	1	1
257	русская литература и	1	1
258	чем у нас	1	1
259	они не имеют	1	1
260	она все же	1	1
261	я подхожу к	1	1
262	так как они	1	1
263	бы для этого	1	1
264	и ничего не	1	1
265	он не знает	2	1
266	в этих словах	1	1
267	в котором в	1	1
268	во всех этих	1	1
269	та или иная	1	1
270	есть прежде всего	4	1
271	было бы и	1	1
272	если он не	1	1
273	и отсутствие у	1	1
274	почти все русские	1	1
275	выходит за пределы	1	1
276	если бы только	1	1
277	шаг вперед в	1	1
278	никогда не может	2	1
279	конце концов этот	1	1
280	вступили на путь	1	1
281	у достоевского и	3	1
282	и возможно что	1	1
283	и в смысле	1	1
284	это прежде всего	1	1
285	до конца и	1	1
286	в нем есть	5	1
287	к учению о	2	1
