N	3gram	Tiupa_Narr	Russkaja
1	друг с другом	1	14
2	то же время	3	10
3	в то же	3	10
4	с точки зрения	2	9
5	в том что	8	7
6	на самом деле	1	6
7	в последние дни	1	5
8	до сих пор	1	5
9	не может быть	5	4
10	к тому чтобы	1	4
11	более или менее	2	4
12	бы то ни	3	4
13	той или иной	4	3
14	можно было бы	2	3
15	в данном случае	4	3
16	и то что	1	3
17	не может не	2	3
18	того или иного	2	2
19	с другом и	1	2
20	точно так же	2	2
21	и тем самым	3	2
22	о том что	6	2
23	в вопросах веры	1	2
24	друг от друга	1	2
25	подлежит сомнению и	1	1
26	ему что он	1	1
27	в самом деле	1	1
28	видеть в этой	1	1
29	и как бы	1	1
30	что оно есть	1	1
31	и с точки	1	1
32	дело в том	1	1
33	но по существу	1	1
34	он еще не	1	1
35	речь идет о	2	1
36	том числе и	4	1
37	не подлежит сомнению	1	1
38	как бы не	1	1
39	до известной степени	1	1
40	так же как	2	1
41	его жизни и	1	1
42	тех или иных	1	1
43	по отношению к	6	1
44	и прежде всего	1	1
45	одной из этих	1	1
46	в том чтобы	1	1
47	по крайней мере	1	1
48	прежде всего в	1	1
49	в его жизни	1	1
50	то ни было	3	1
51	и того же	1	1
52	на первый взгляд	2	1
53	что не только	1	1
54	о себе самом	1	1
55	он не может	1	1
56	в связи с	2	1
57	то же самое	1	1
58	в том же	1	1
59	же время в	1	1
60	принадлежат к одному	1	1
61	к одному из	1	1
62	лишь постольку поскольку	1	1
63	в том числе	6	1
64	тем не менее	3	1
65	но все же	4	1
66	только то что	1	1
67	в этом отношении	3	1
68	по отношению ко	1	1
69	перед нами не	2	1
70	в свою очередь	3	1
71	никогда не было	1	1
72	тем более что	1	1
73	в значительной степени	2	1
74	тот или иной	1	1
75	или хотя бы	1	1
76	состоит в том	3	1
77	к тому же	4	1
78	совершенно очевидно что	1	1
79	одного и того	1	1
80	речь идет не	1	1
