N	2gram	Bakhtin_Pr	IolandNe
1	стр и	1	7
2	и с	10	3
3	что в	14	2
4	записок из	4	2
5	достоевского а	2	2
6	он не	11	2
7	должен быть	1	2
8	творчества достоевского	8	2
9	ничего не	8	2
10	о достоевском	12	2
11	достоевского стр	1	2
12	и не	66	2
13	в этом	40	2
14	говорить о	3	1
15	и наказания	2	1
16	все эти	12	1
17	для того	3	1
18	всего творчества	1	1
19	а в	9	1
20	и о	5	1
21	же это	2	1
22	к нам	2	1
23	утверждает что	1	1
24	это было	3	1
25	самого достоевского	8	1
26	и со	3	1
27	и та	1	1
28	что для	4	1
29	для него	23	1
30	не остается	1	1
31	с героем	2	1
32	тем что	5	1
33	только что	3	1
34	бы его	1	1
35	остался незаконченным	1	1
36	от нее	1	1
37	того же	1	1
38	художественного творчества	3	1
39	не так	3	1
40	и др	1	1
41	о жизни	1	1
42	его произведения	1	1
43	преступления и	2	1
44	жизни и	21	1
45	с другой	3	1
46	в целом	8	1
47	было не	1	1
48	литература о	3	1
49	человеке и	1	1
50	роман остался	1	1
51	в эту	1	1
52	другой стороны	3	1
53	я не	7	1
54	себя в	5	1
55	и широко	1	1
56	братья карамазовы	3	1
57	произведения и	2	1
58	с любым	1	1
59	автор не	5	1
60	слишком много	1	1
61	могло бы	1	1
62	то и	2	1
63	после смерти	1	1
64	и еще	2	1
65	как только	2	1
66	если бы	12	1
67	отношению к	17	1
68	бы все	1	1
69	в художественном	5	1
70	по существу	5	1
71	и сам	5	1
72	очень своеобразный	1	1
73	того что	4	1
74	них не	2	1
75	а с	4	1
76	для других	2	1
77	стало быть	2	1
78	только для	2	1
79	иной как	1	1
80	из подполья	14	1
81	по поводу	2	1
82	не кто	2	1
83	так то	1	1
84	человек никогда	1	1
85	так и	13	1
86	автора и	7	1
87	достоевском обогатилась	1	1
88	в основе	6	1
89	в значительной	1	1
90	достоевского она	1	1
91	о творчестве	1	1
92	ничего в	1	1
93	следовательно в	1	1
94	к достоевскому	1	1
95	очерк и	1	1
96	не выдумывал	1	1
97	от этого	2	1
98	того чтобы	5	1
99	а для	1	1
100	бы в	7	1
101	и ничего	1	1
102	не дает	4	1
103	а по	1	1
104	достоевского с	8	1
105	есть только	5	1
106	и в	59	1
107	его личности	4	1
108	видит в	1	1
109	никогда не	19	1
110	кто иной	1	1
111	все это	12	1
112	по отношению	17	1
113	со всеми	1	1
114	на котором	3	1
115	был человек	1	1
116	нисколько не	2	1
117	придется не	1	1
118	то она	1	1
119	в них	5	1
120	все ясно	1	1
121	во многом	1	1
