N	3gram	Potebnia_M	SlovoVZh
1	по отношению к	10	11
2	не может быть	7	7
3	можно сказать что	3	5
4	в том что	22	4
5	дело в том	1	4
6	в художественном произведении	1	3
7	то ни было	1	3
8	до сих пор	4	3
9	и не в	1	3
10	бы то ни	1	3
11	тем не менее	7	3
12	и не может	1	3
13	может быть и	1	3
14	формы и содержания	1	2
15	на самом деле	4	2
16	художественного произведения и	1	2
17	одной стороны и	1	2
18	то же самое	3	2
19	с этой стороны	2	2
20	одно и то	7	2
21	в данном случае	3	2
22	с одной стороны	4	2
23	с другой стороны	4	2
24	и то же	7	2
25	зависит от того	2	2
26	с точки зрения	2	2
27	но тем не	4	2
28	в настоящее время	1	2
29	можно найти в	1	1
30	со всех сторон	3	1
31	если бы даже	1	1
32	сам по себе	9	1
33	сами по себе	3	1
34	самом деле в	1	1
35	в поэтическом произведении	1	1
36	и таким образом	1	1
37	точек зрения и	1	1
38	о том что	5	1
39	не нуждаются в	1	1
40	одной точки зрения	1	1
41	в противном случае	1	1
42	в самом деле	1	1
43	один и тот	2	1
44	даже тогда когда	2	1
45	словах и в	1	1
46	если бы эта	1	1
47	в том и	1	1
48	не есть только	1	1
49	все более и	1	1
50	в свою очередь	6	1
51	искусства может быть	1	1
52	ничего общего с	1	1
53	и тот же	2	1
54	того о ком	1	1
55	по себе не	2	1
56	и в поэзии	1	1
57	а между тем	6	1
58	что не только	1	1
59	к нему как	2	1
60	и та же	2	1
61	как и в	3	1
62	может находиться в	1	1
63	как мы уже	1	1
64	сама по себе	3	1
65	в том же	2	1
66	в такой степени	1	1
67	во всяком случае	3	1
68	связь слова с	1	1
69	кажется что мы	1	1
70	как на нечто	1	1
71	связи с ним	1	1
72	равно как и	2	1
73	не может находиться	1	1
74	только то что	1	1
75	если бы слово	2	1
76	и тем же	4	1
77	подобно тому как	3	1
78	то что оно	1	1
79	одна и та	2	1
80	то что я	2	1
81	то что мы	3	1
82	ко второму лицу	1	1
83	тогда когда он	1	1
84	и поэтическое произведение	1	1
85	в этом отношении	2	1
86	то же время	8	1
87	далеко не всегда	1	1
88	между тем как	4	1
89	бы оно ни	1	1
90	для нас не	1	1
91	и притом с	1	1
92	более или менее	6	1
93	но и в	4	1
94	более и более	1	1
95	в то же	8	1
96	в чем не	1	1
97	отношению к ним	1	1
98	то время как	3	1
99	как на самом	1	1
100	слово есть выражение	1	1
101	же нам не	1	1
102	но если бы	1	1
103	и в этом	1	1
104	содержании слова и	1	1
105	по крайней мере	8	1
106	так относится к	2	1
107	с такою же	1	1
108	и тогда когда	1	1
109	влияние на другие	1	1
110	в то время	7	1
111	в этом смысле	2	1
112	но все это	1	1
113	к содержанию как	1	1
114	бы не было	1	1
115	не может стать	2	1
116	и проч и	2	1
117	нам кажется что	3	1
118	и потому не	1	1
119	мы уже сказали	1	1
120	мы видели в	1	1
121	слова и его	1	1
122	одним и тем	4	1
123	если бы не	1	1
124	к тому же	1	1
125	друг к другу	1	1
126	может быть только	4	1
127	к вопросу о	1	1
