N	4gram	Bakhtin_KF	Morfolog
1	бы то ни было	2	2
2	и тем не менее	1	2
3	ни к чему не	2	2
4	с точки зрения его	1	1
5	может быть рассмотрена как	1	1
6	не может войти в	1	1
7	и ни к чему	1	1
8	уже не может быть	2	1
9	и небо и землю	1	1
10	есть на самом деле	2	1
11	к чему не обязывающий	1	1
12	вопрос о том кто	1	1
13	в целом может быть	1	1
14	в то же время	2	1
15	в том случае когда	1	1
16	какого бы то ни	1	1
17	во всех этих случаях	1	1
18	один и тот же	3	1
19	до сих пор не	1	1
20	по отношению к которой	1	1
