N	3gram	Medvedev_B	Myshleni
1	можно было бы	1	28
2	с другой стороны	1	26
3	во всяком случае	1	18
4	прежде всего в	1	5
5	по нашему мнению	1	5
6	и во всяком	1	4
7	в значительной степени	1	4
8	все это вместе	1	2
9	если таким образом	1	2
10	тем более что	1	2
11	все же не	1	2
12	выходит за пределы	1	2
13	нельзя не признать	1	2
14	в своей книге	1	2
15	что все это	1	2
16	почти совершенно не	1	1
17	другой стороны изучение	1	1
18	всяком случае очень	1	1
19	по крайней мере	1	1
20	и меньше чем	1	1
21	чтобы можно было	1	1
22	склонен видеть в	1	1
