N	4gram	Vygotskiy_	Freidism
1	в то же время	2	6
2	одной и той же	5	3
3	один и тот же	2	3
4	и не может быть	1	3
5	заключается в том что	7	2
6	в зависимости от того	1	2
7	в том что она	4	2
8	в том что он	1	2
9	в узком смысле слова	1	2
10	и тем не менее	2	2
11	бы то ни было	1	2
12	ни в какой степени	1	2
13	и тот же предмет	1	1
14	и потому не может	1	1
15	получает смысл и значение	1	1
16	смысл и значение в	1	1
17	остается ничего другого как	2	1
18	все больше и больше	2	1
19	приходит к выводу что	2	1
20	если мы обратимся к	1	1
21	ни в коем случае	1	1
22	не остается ничего другого	2	1
23	с таким расчетом чтобы	2	1
24	уже не может быть	1	1
25	одни и те же	3	1
26	во что бы то	1	1
27	что с точки зрения	1	1
28	мы никогда не поймем	1	1
29	бы то ни стало	1	1
30	таким расчетом чтобы вызвать	2	1
31	коем случае не может	1	1
32	в этом отношении совершенно	1	1
33	одно и то же	1	1
34	на один и тот	1	1
35	в коем случае не	1	1
36	случае не может быть	2	1
37	дело в том что	1	1
38	во всяком случае в	2	1
39	в том что в	1	1
40	в самом деле что	1	1
41	от того что он	1	1
42	между субъективной и объективной	1	1
43	что бы то ни	1	1
44	от начала и до	1	1
45	не что иное как	2	1
46	в собственном смысле слова	2	1
47	в какой степени не	1	1
48	психологии они утверждают что	1	1
49	есть не что иное	1	1
50	можно согласиться с тем	1	1
