N	2gram	Nazirov_Tv	RusskieA
1	и в	40	79
2	в том	13	64
3	том что	14	59
4	что в	17	57
5	т е	1	54
6	не только	16	41
7	а а	4	40
8	во время	2	38
9	так как	6	34
10	и другие	4	33
11	в этом	11	33
12	как бы	26	31
13	но и	10	31
14	в других	1	30
15	как и	16	28
16	и на	12	28
17	может быть	11	28
18	в этот	3	26
19	этот день	1	25
20	а н	1	25
21	одна из	5	24
22	о том	9	23
23	с в	1	23
24	и т	14	23
25	при этом	14	22
26	в поле	1	22
27	т д	10	21
28	там же	11	20
29	это не	9	20
30	а в	10	20
31	как мы	1	20
32	из них	4	19
33	представляют собой	2	18
34	все это	14	18
35	с тем	1	17
36	таким образом	14	17
37	то что	9	17
38	вместе с	4	17
39	об этом	4	17
40	показывает что	5	17
41	потому что	10	17
42	мы не	3	16
43	или на	1	15
44	один из	5	15
45	в них	1	14
46	и с	9	14
47	не менее	8	14
48	тем не	2	14
49	как это	2	14
50	и что	2	14
51	мы видели	1	14
52	и не	12	14
53	у нас	2	14
54	в xix	3	14
55	в день	1	13
56	уже не	6	13
57	к этому	4	13
58	так что	4	13
59	и по	5	13
60	как в	10	13
61	в которых	3	13
62	еще не	5	13
63	не может	9	13
64	тем что	2	12
65	между собой	2	12
66	мы имеем	1	12
67	в виде	4	12
68	а затем	5	11
69	на ивана	1	11
70	не имеет	2	11
71	но это	10	11
72	а на	1	11
73	далеко не	3	11
74	что на	3	11
75	все же	9	10
76	так например	3	10
77	представляет собой	4	10
78	том чтобы	1	10
79	его в	2	10
80	между тем	2	10
81	что и	3	10
82	в течение	1	10
83	так и	5	10
84	или в	2	10
85	и других	5	10
86	то же	19	9
87	о чем	1	9
88	что они	3	9
89	к жизни	4	9
90	с ней	1	9
91	и все	6	9
92	данном случае	2	9
93	на голову	1	9
94	том же	3	9
95	но в	11	9
96	в честь	2	9
97	в русском	1	9
98	в г	1	9
99	но не	7	9
100	одно из	1	8
101	в этих	2	8
102	представление о	9	8
103	что по	1	8
104	так же	6	8
105	после этого	1	8
106	связи с	2	8
107	на себя	2	8
108	во всех	2	8
109	что это	1	8
110	их в	1	8
111	в россии	5	8
112	того что	3	8
113	ее в	3	8
114	в данном	2	8
115	не все	2	8
116	как уже	2	8
117	же в	1	8
118	в руках	1	7
119	должна была	1	7
120	настоящее время	2	7
121	в своем	4	7
122	к нему	1	7
123	а и	1	7
124	не в	3	7
125	в свете	3	7
126	а с	4	7
127	не совсем	1	7
128	было бы	2	7
129	главным образом	1	7
130	только в	7	7
131	еще в	3	7
132	это время	2	7
133	связанные с	1	7
134	из этих	1	7
135	а не	9	7
136	н а	1	7
137	начиная с	2	7
138	до конца	2	7
139	в настоящее	1	7
140	ничего не	3	7
141	и как	5	7
142	предположить что	1	7
143	мы должны	1	7
144	по этому	1	7
145	как будто	5	7
146	в эти	1	7
147	для этого	1	7
148	в году	22	6
149	с собой	1	6
150	же как	3	6
151	к тому	2	6
152	что этот	2	6
153	выше мы	1	6
154	только на	2	6
155	в одном	3	6
156	что она	5	6
157	в качестве	2	6
158	чем в	1	6
159	в разные	1	6
160	в таком	4	6
161	тому что	2	6
162	на земле	4	6
163	и у	3	6
164	на этом	1	6
165	после чего	1	6
166	должны были	1	6
167	в этой	7	6
168	в нем	4	6
169	должен был	2	6
170	в в	2	6
171	с ними	3	6
172	приводит к	4	6
173	и более	2	6
174	друг друга	2	6
175	в первый	1	6
176	в их	5	6
177	все эти	3	6
178	так в	1	6
179	она не	2	6
180	в новый	1	6
181	но она	2	6
182	и их	2	6
183	и о	2	6
184	и к	1	5
185	эта теория	1	5
186	нас к	1	5
187	например в	3	5
188	только для	2	5
189	тогда как	3	5
190	г в	2	5
191	с этим	2	5
192	входит в	1	5
193	с другой	4	5
194	связь между	1	5
195	к ним	1	5
196	как правило	3	5
197	по поводу	1	5
198	vii в	1	5
199	не было	3	5
200	в связи	2	5
201	такие же	1	5
202	в целях	2	5
203	мы уже	2	5
204	или же	1	5
205	можно было	1	5
206	и др	2	5
207	в то	23	5
208	прежде всего	10	5
209	нет никаких	1	5
210	его с	1	5
211	с ним	4	5
212	для них	2	5
213	что он	11	5
214	ничего общего	1	5
215	то и	1	5
216	в свою	8	5
217	к себе	1	5
218	заметить что	1	5
219	но если	4	5
220	тот же	3	5
221	в его	19	5
222	вывод что	1	5
223	на самом	3	5
224	за этим	1	5
225	или даже	2	5
226	в русских	1	5
227	и потому	4	5
228	в народе	1	5
229	отнюдь не	9	5
230	их на	1	5
231	в целом	7	5
232	вплоть до	2	5
233	можно встретить	1	4
234	кроме того	1	4
235	не столько	4	4
236	их не	1	4
237	в своих	8	4
238	но все	1	4
239	именно в	6	4
240	становятся в	1	4
241	всякого рода	2	4
242	во всяком	2	4
243	некоторые из	2	4
244	на этой	1	4
245	в котором	8	4
246	чтобы вызвать	2	4
247	но эти	3	4
248	не что	1	4
249	в глаза	2	4
250	в отличие	3	4
251	под названием	1	4
252	во всей	2	4
253	от них	1	4
254	не просто	1	4
255	и из	1	4
256	влияние на	3	4
257	что у	5	4
258	что иное	1	4
259	но он	3	4
260	так на	1	4
261	не был	4	4
